Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Günlük İsimler ve Mekanlar,child,"evlat, çocuk, ürün",isim,A1,,I'm not a child.,Bir çocuk değilim.
Günlük İsimler ve Mekanlar,children,"çocuklar, çocuk, döl döş",isim,A1,,I don't hate children!,Ben çocuklardan nefret etmiyorum!
Günlük İsimler ve Mekanlar,city,"kent, şehir, metropol",isim,A1,,I'm a city girl.,Ben bir şehir kızıyım.
Günlük İsimler ve Mekanlar,clock,"saat, saat tutmak, ölçmek",isim,A1,,It was six o'clock.,Saat altıydı.
Günlük Eylemler ve Sıfatlar,cold,"soğukluk, soğukkanlı, soğuk",sıfat,A1,,I've got a cold.,Soğuk aldım.
Günlük Eylemler ve Sıfatlar,cook,"yemek pişirmek, pişirmek, aşçı",fiil,A1,,I'm a good cook.,Ben iyi bir aşçıyım.
Günlük İsimler ve Mekanlar,country,"yurt, memleket, ülke",isim,A1,,I'm a country boy.,Ben bir taşra çocuğuyum.
Günlük İsimler ve Mekanlar,day,"gün, dönem, gündüz",isim,A1,,It's a hot day.,Sıcak bir gün.
Günlük İsimler ve Mekanlar,dish,"tabak, mahvetmek, oymak",isim,A1,,This is Tom's dish.,Bu Tom'un yemeği.
Günlük İsimler ve Mekanlar,dishes,"tabak çanak, bulaşık, yemekler",isim,A1,,I'll do the dishes.,Ben bulaşıkları yıkayacağım.
Günlük İsimler ve Mekanlar,dishwasher,"bulaşıkçı, bulaşık makinesi",isim,A1,,I don't have a dishwasher.,Benim bir bulaşık makinem yok.
Günlük İsimler ve Mekanlar,doctor,"doktor, tahrif etmek, tedavi etmek",isim,A1,,I'm Tom's doctor.,Tom'un doktoruyum.
Günlük İsimler ve Mekanlar,door,"kapı, eşik, giriş",isim,A1,,I'll get the door.,Kapıya bakacağım.
Günlük Eylemler ve Sıfatlar,drink,"içmek, içki, drank - drunk",fiil,A1,,I'll fix a drink.,Bir içki hazırlayacağım.
Günlük Eylemler ve Sıfatlar,drive,"sürmek, araba sürmek, dürtü",sıfat,A1,,I can drive a car.,Araba sürebilirim.
Günlük İsimler ve Mekanlar,ear,"kulak, başaklanmak, başak",isim,A1,,I'm deaf in one ear.,Bir kulağım sağır.
Günlük İsimler ve Mekanlar,earth,"kara, yeryüzü, zemin",isim,A1,,He's down to earth.,O gerçekçidir.
Günlük Eylemler ve Sıfatlar,easy,"rahat, kolay, basit",sıfat,A1,,It won't be easy.,O kolay olmayacak.
Günlük Eylemler ve Sıfatlar,eat,"yemek yemek, yemek, ate - eaten",fiil,A1,,I won't eat it.,Ben onu yemeyeceğim.
Günlük İsimler ve Mekanlar,eight,"sekiz, ambar, sekiz rakamı",isim,A1,,Get me up at eight.,Beni sekizde uyandırın.
Günlük İsimler ve Mekanlar,everybody,"cümle alem, dost düşman, herkes",zamir,B2,,He's nice to everybody.,O herkese karşı naziktir.
Günlük İsimler ve Mekanlar,everyone,"herkes, elalem, el alem",zamir,B2,,He's mad at everyone.,O herkese kızgın.
Günlük İsimler ve Mekanlar,face,"yüzleşmek, yüz yüze gelmek, yönelmek",isim,A1,,I saw Tom's face.,Tom'un yüzünü gördüm.
Günlük İsimler ve Mekanlar,father,"papaz, peder, baba",isim,A1,,I'm Tom's father.,Tom'un babasıyım.
Günlük İsimler ve Mekanlar,film,"film, zar vb kaplamak, filme almak",isim,A1,,How does the film end?,Film nasıl sona erer?
Günlük Eylemler ve Sıfatlar,flat,"düz yüzey, daire, yassı",sıfat,A1,,I got a flat tire.,Patlak bir lastiğim var.
Günlük İsimler ve Mekanlar,floor,"yeri kaplamak, kat, yer",isim,A1,,It's up one floor.,O bir kat yukarıda.
Günlük İsimler ve Mekanlar,food,"besin, yiyecek, gıda",isim,A1,,I ran out of food.,Yiyeceğim bitti.
Günlük İsimler ve Mekanlar,foot,"ayak, gitmek, hesaplamak",isim,A1,,I will go on foot.,Ben yaya gideceğim.
Günlük İsimler ve Mekanlar,friend,"ahbap, arkadaş, dost",isim,A1,,I'm an old friend.,Ben eski bir dostum.
Günlük İsimler ve Mekanlar,garden,"bahçe, çiçeklerle uğraşmak, bahçede çalışmak",isim,A1,,I am in the garden.,Bahçedeyim.
Günlük İsimler ve Mekanlar,gardener,"bahçıvan, bahçeci, bağban",isim,A1,,I used to be a gardener.,Ben eskiden bir bahçıvandım.
Günlük Eylemler ve Sıfatlar,green,"yeşil, yeşermek, yeşile boyamak",sıfat,A1,,I have a green car.,Yeşil bir arabam var.
Günlük İsimler ve Mekanlar,hand,"el, yakalamak, uzatmak",isim,A1,,I held Tom's hand.,Ben Tom'un elini tuttum.
Günlük İsimler ve Mekanlar,he,"eril o, o, kendileri",zamir,B1,,He can't do it.,"O, onu yapamaz."
Günlük Eylemler ve Sıfatlar,heavy,"ağır, ağır çekmek, fedai",sıfat,A1,,I know it's heavy.,Ağır olduğunu biliyorum.
Günlük İsimler ve Mekanlar,help,"yardım etmek, yardım, muavenet etmek",isim,A1,,I can't help it.,Elimde değil.
Günlük İsimler ve Mekanlar,her,"ona, dişil onu, ondan",zamir,B1,,He ran up to her.,"O, ona erişti."
Günlük İsimler ve Mekanlar,him,"ona, onu",zamir,B1,,I don't see him.,Onu görmüyorum.
Günlük İsimler ve Mekanlar,holiday,"bayram, tatil, tatil yapmak",isim,A1,,It's not a holiday.,Bu bir tatil değil.
Günlük İsimler ve Mekanlar,home,"ev, yerleştirmek, yuvasına dönmek",isim,A1,,I can't go home.,Eve gidemem.
Günlük İsimler ve Mekanlar,house,"ev, konut, kendi evine almak",isim,A1,,I'm at the house.,Ben evdeyim.
Günlük İsimler ve Mekanlar,i,"ben, ingiliz alfabesinin dokuzuncu harfi, romen rakamları dizisinde 1 sayısı",zamir,B1,,I'm Tom's ex.,Ben Tom'un eski eşiyim.
Günlük İsimler ve Mekanlar,it,"ona, ilişki, ebe",zamir,B1,,I can't do it.,Onu yapamam.
Günlük İsimler ve Mekanlar,jacket,"ceket, kaplamak, kap",isim,A1,,I need a new jacket.,Yeni bir cekete ihtiyacım var.
Günlük İsimler ve Mekanlar,job,"görev, iş, ufak tefek işler yapmak",isim,A1,,I'm on the job.,İş üzerindeyim.
Günlük İsimler ve Mekanlar,kitchen,"mutfak, kuzine, nevale",isim,A1,,I'm in the kitchen.,Mutfaktayım.
Günlük İsimler ve Mekanlar,knife,"bıçak, kesmek, arkadan vurmak",isim,A1,,I've got a knife.,Bir bıçağım var.
Günlük İsimler ve Mekanlar,lamp,"ampul, lamba, aydınlatmak",isim,A1,,I turned on a lamp.,Bir lamba yaktım.
Günlük İsimler ve Mekanlar,letter,"mektup, harf, basmak",isim,A1,,I sent you a letter.,Sana bir mektup gönderdim.
Günlük Eylemler ve Sıfatlar,light,"aydınlık, nur, ışık",fiil,A1,,I ran a red light.,Ben kırmızı ışıkta geçtim.
Günlük Eylemler ve Sıfatlar,live,"yaşamak, naklen, oturmak",sıfat,A1,,I live on a boat.,Bir teknede yaşıyorum.
Günlük İsimler ve Mekanlar,man,"insan, adam, erkek",isim,A1,,I'm a man now.,Ben artık bir erkeğim.
Günlük İsimler ve Mekanlar,market,"çarşı, pazar, piyasa",isim,A1,,It's a funny market.,Çok komik bir market.
Günlük İsimler ve Mekanlar,me,"ben, mi, beni",zamir,B1,,It's up to me.,Bu bana bağlı.
Günlük İsimler ve Mekanlar,meal,"öğün, yemek, sofra",isim,A1,,I had a nice meal.,Güzel bir yemek yedim.
Günlük Eylemler ve Sıfatlar,minute,"dakika, zabıt tutmak, tutanak tutmak",sıfat,A1,,Can I have a minute?,Bir dakikanızı alabilir miyim?
Günlük İsimler ve Mekanlar,month,"ay, yılın on iki bölümünden her biri",isim,A1,,I'll go next month.,Gelecek ay gideceğim.
Günlük İsimler ve Mekanlar,moon,"ay, dalıp kendi hayalleriyle başbaşa kalmak, dalgın dalgın dolaşmak",isim,A1,,It's a full moon.,Bu bir dolunay.
Günlük İsimler ve Mekanlar,mouse,"fare, fare avlamak, fare tutmak",isim,A1,,I need a mouse pad.,Bir fare altlığına ihtiyacım var.
Günlük Eylemler ve Sıfatlar,music,"müzik, ahenk, nağme",sıfat,A1,,I am fond of music.,Ben müziği çok severim.
Günlük İsimler ve Mekanlar,musician,"müzisyen, şarkıcı, çalgıcı",isim,A1,,Aren't you a musician?,Sen bir müzisyen değil misin?
Günlük İsimler ve Mekanlar,night,"gece, gecelemek, gece geçirmek",isim,A1,,I'm a night owl.,Ben bir gece kuşuyum.
Günlük İsimler ve Mekanlar,nine,"dokuz, dokuzu, 9",isim,A1,,I'm on cloud nine.,İçim içime sığmıyor.
Günlük İsimler ve Mekanlar,nobody,"hiç kimse, bir hiç, hiç",zamir,B1,,I am just a nobody.,Ben bir hiçim.
Günlük Eylemler ve Sıfatlar,open,"açılmak, açmak, açık",fiil,A1,,Let's open it up.,Bunu açalım.
Günlük İsimler ve Mekanlar,paint,"boyamak, boya, portresini yapmak",isim,A1,,I have to paint it.,Onu boyamak zorundayım.
Günlük İsimler ve Mekanlar,park,"park etmek, park, park yapmak",isim,A1,,I'm in the park.,Ben parktayım.
Günlük İsimler ve Mekanlar,party,"taraf, parti, kutlamak",isim,A1,,It wasn't a party.,O bir parti değildi.
Günlük İsimler ve Mekanlar,person,"kişi, şahıs, kimse",isim,A1,,I'm a cat person.,Kediciyimdir.
Günlük İsimler ve Mekanlar,picture,"resim, resmetmek, yansıtmak",isim,A1,,Can I get a picture?,Bir fotoğraf çekebilir miyim?
Günlük İsimler ve Mekanlar,place,"koymak, oturtmak, yerleştirmek",isim,A1,,I can't place him.,Kim olduğunu hatırlamıyorum.
Günlük İsimler ve Mekanlar,plane,"düzlemek, düz, düzlem",isim,A1,,I'll go by plane.,Uçakla gideceğim.
Günlük Eylemler ve Sıfatlar,plate,"plaka, tabak, levha",fiil,A1,,This is Tom's plate.,Bu Tom'un tabağı.
Günlük İsimler ve Mekanlar,play,"oynamak, çalmak, piyes",isim,A1,,I play in a band.,Ben bir grupta çalıyorum.
Günlük Eylemler ve Sıfatlar,police,"polis, inzibat altına almak, güvenliği sağlamak",fiil,A1,,I'm not the police.,Ben polis değilim.
Günlük Eylemler ve Sıfatlar,poor,"kötü, fakir, zavallı",sıfat,A1,,I used to be poor.,Eskiden fakirdim.
Günlük İsimler ve Mekanlar,rain,"yağmur yağmak, yağmur, yağmur gibi yağdırmak",isim,A1,,I don't like rain.,Yağmuru sevmem
Günlük Eylemler ve Sıfatlar,rich,"zengin, varsıl, bol bol",sıfat,A1,,I'm a rich man.,Ben zengin bir adamım.
Günlük İsimler ve Mekanlar,river,"nehir, akış, akarsu",isim,A1,,I swam in the river.,Ben nehirde yüzdüm.
Günlük İsimler ve Mekanlar,road,"yol, uyulan ilke, bir amaca ulaşmak için başvurulması gereken yöntem",isim,A1,,I'm on the road.,Ben yoldayım.
Günlük İsimler ve Mekanlar,room,"oda, oturmak, kalmak",isim,A1,,I'm in my room.,Odamdayım.
Günlük Eylemler ve Sıfatlar,run,"çalıştırmak, işletmek, koşmak",fiil,A1,,I'm able to run.,Koşabilirim.
Günlük İsimler ve Mekanlar,school,"mektep, okul, yetiştirmek",isim,A1,,I'll go to school.,Okula gideceğim.
Günlük Eylemler ve Sıfatlar,see,"görmek, bakmak, saw - seen",fiil,A1,,I can't see it.,Onu göremiyorum.
Günlük İsimler ve Mekanlar,she,"dişi hayvan, dişi, kadın",zamir,B1,,She's on a diet.,O diyet yapıyor.
Günlük Eylemler ve Sıfatlar,ship,"gemi, kürekleri içeri almak, mal yüklemek",fiil,A1,,It's a cargo ship.,Bu bir kargo gemisi.
Günlük Eylemler ve Sıfatlar,sing,"söylemek, ötmek, şarkı söylemek",fiil,A1,,I said I'd sing.,Şarkı söyleyeceğimi söyledim.
Günlük İsimler ve Mekanlar,six,"şeş, altı rakamı, altı",isim,A1,,I get up at six.,Ben altıda kalkarım.
Günlük İsimler ve Mekanlar,sky,"gök, gökyüzü, yükseğe atmak",isim,A1,,Look up at the sky.,Gökyüzüne bak.
Günlük İsimler ve Mekanlar,sleep,"uyumak, uyku, slept - slept",isim,A1,,I sleep on a cot.,Ben bir karyolada uyurum.
Günlük Eylemler ve Sıfatlar,small,"az, küçük, ufak",sıfat,A1,,It's a small dog.,Bu küçük bir köpek.
Günlük İsimler ve Mekanlar,snow,"kar, yağmak, karla kaplamak",isim,A1,,I don't like snow.,Karı sevmiyorum.
Günlük İsimler ve Mekanlar,somebody,"biri, birisi, şahsiyet",zamir,B2,,Somebody had to do it.,Birisinin yapması gerekiyordu.
Günlük İsimler ve Mekanlar,someone,"birisi, kimse, bir kimse",zamir,B2,,Someone has to do it.,Birisi onu yapmalı.
Günlük İsimler ve Mekanlar,soup,"çorba, nitrogliserin, yoğun sis",isim,A1,,Don't you want soup?,Çorba istemiyor musun?
Günlük İsimler ve Mekanlar,station,"terminal, istasyon, görevlendirmek",isim,A1,,I am near the station.,Ben istasyona yakınım.
Günlük İsimler ve Mekanlar,street,"cadde, sokak, mahalle",isim,A1,,I live on Park Street.,Park Street'te yaşıyorum.
Günlük İsimler ve Mekanlar,student,"öğrenci, talebe, mektepli",isim,A1,,I'm a bad student.,Ben kötü bir öğrenciyim.
Günlük İsimler ve Mekanlar,study,"incelemek, çalışmak, çalışma",isim,A1,,I do study a lot.,Ben çok çalışırım.
Günlük İsimler ve Mekanlar,sugar,"şeker, kompliman yapmak, şeker katmak",isim,A1,,I'm out of sugar.,Şekerim bitti.
Günlük İsimler ve Mekanlar,sun,"güneş, güneşte bırakmak, güneşlenmek",isim,A1,,Is the sun up yet?,Güneş doğdu mu?
Günlük Eylemler ve Sıfatlar,table,"masa, tablo, sofra",sıfat,A1,,It's on the table.,O masada.
Günlük Eylemler ve Sıfatlar,tasty,"lezzetli, çeşnili, tatlı",sıfat,A1,,The food was very tasty.,Yemek çok lezzetliydi.
Günlük İsimler ve Mekanlar,tea,"çay, çeşitli bitkilerin demlenmesinden elde edilen içeceklerin tümü, çay servis edilen parti ve eğlence",isim,A1,,I don't like tea.,Çay sevmem.
Günlük İsimler ve Mekanlar,teacher,"öğretmen, hoca, muallim",isim,A1,,I'm Tom's teacher.,Ben Tom’un öğretmeniyim.
Günlük İsimler ve Mekanlar,them,"onlara, onları",zamir,B1,,I can't pay them.,Onları ödeyemem.
Günlük İsimler ve Mekanlar,they,"bunlar, onlar, kendileri",zamir,B1,,They won't do it.,Onlar onu yapmayacaklar.
Günlük İsimler ve Mekanlar,three,"iskambilde üçlü, üç rakamı, se",isim,A1,,I'm on page three.,Ben sayfa üçteyim.
Günlük İsimler ve Mekanlar,time,"kez, kere, müddet",isim,A1,,I'll be on time.,Zamanında geleceğim.
Günlük İsimler ve Mekanlar,town,"şehir, kasaba, şehir merkezi",isim,A1,,I'll be in town.,Şehirde olacağım.
Günlük Eylemler ve Sıfatlar,travel,"gezmek, seyahat etmek, yolculuk etmek",fiil,A1,,It's fun to travel.,Seyahat etmek eğlencelidir.
Günlük İsimler ve Mekanlar,tree,"ağaç, ağaca çıkarmak, ağaçlarla örtmek",isim,A1,,It's a dead tree.,O ölü bir ağaç.
Günlük Eylemler ve Sıfatlar,trip,"seyahat, yolculuk, gezi",fiil,A1,,Let's take a trip.,Bir gezi yapalım.
Günlük İsimler ve Mekanlar,two,"iki, iskambilde ikili, iki rakamı",isim,A1,,We won six to two.,Biz altı iki kazandık.
Günlük İsimler ve Mekanlar,us,"biz, abd, bizi",zamir,B1,,It's up to us.,Bu bize kalmış.
Günlük İsimler ve Mekanlar,village,"köy, köy halkı, şehir ve kasabalardan küçük ama kalıcı yerleşim birimi",isim,A1,,He lives in a village.,"O, bir köyde yaşıyor."
Günlük Eylemler ve Sıfatlar,walk,"yürümek, dolaşmak, yürüyerek gitmek",fiil,A1,,I don't walk fast.,Hızlı yürümüyorum.
Günlük Eylemler ve Sıfatlar,warm,"ısıtmak, ısınmak, ılık",sıfat,A1,,I'll keep it warm.,Onu sıcak tutacağım.
Günlük İsimler ve Mekanlar,wash,"yıkanmak, aşındırmak, yıkamak",isim,A1,,I will wash my car.,Arabamı yıkayacağım.
Günlük İsimler ve Mekanlar,watch,"seyretmek, gözlemek, izlemek",isim,A1,,I don't watch TV.,TV izlemem.
Günlük İsimler ve Mekanlar,water,"sulamak, su, hafifletmek",isim,A1,,He's in hot water.,O hapı yuttu.
Günlük İsimler ve Mekanlar,we,biz,zamir,B1,,We can't do it.,Onu yapamayız.
Günlük İsimler ve Mekanlar,week,"hafta, ardışık yedi günlük süre",isim,A1,,I'll wait a week.,Bir hafta bekleyeceğim.
Günlük Eylemler ve Sıfatlar,white,"beyaz, ak, solgun",sıfat,A1,,I'm sick of white.,Ben beyazdan bıktım.
Günlük İsimler ve Mekanlar,wife,"kocanın eşi, hanım, karı",isim,A1,,I'm Tom's wife.,Ben Tom'un eşiyim.
Günlük İsimler ve Mekanlar,window,"pencere, camekan, vitrin",isim,A1,,I sat by the window.,Pencerenin yanında oturdum.
Günlük İsimler ve Mekanlar,woman,"kadın, hanım, karı",isim,A1,,I'm not a woman.,Ben kadın değilim.
Günlük İsimler ve Mekanlar,women,"kadınlar, kadın milleti",isim,A1,,I don't trust women.,Kadınlara güvenmem.
Günlük Eylemler ve Sıfatlar,work,"çalışmak, işe yaramak, iş yapmak",fiil,A1,,I work at a bar.,Ben bir barda çalışıyorum.
Günlük İsimler ve Mekanlar,world,"alem, dünya, evren",isim,A1,,It's a big world.,Bu büyük bir dünya.
Günlük Eylemler ve Sıfatlar,write,"yazmak, wrote - written, kaydetmek",fiil,A1,,I can't write yet.,Henüz yazamam.
Günlük İsimler ve Mekanlar,writer,"yazar, müellif, muharrir",isim,A1,,He is a good writer.,O iyi bir yazar.
Günlük İsimler ve Mekanlar,year,"yıl, sene, ihtiyarlık",isim,A1,,I did it last year.,Ben onu geçen yıl yaptım.
Günlük İsimler ve Mekanlar,you,"siz, sen, seni",zamir,B1,,I'm mad at you.,Sana kızgınım.
Günlük Eylemler ve Sıfatlar,yummy,"lezzetli, nefis, harika",sıfat,A1,,Coffee with cream and sugar is yummy.,Krema ve şekerli kahve nefis.
