Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
down,"aşağıya doğru, aşağı, alaşağı etmek",edat,B1,,I'm down here.,Aşağıdayım.
during,"zarfında, süresince, sırasında",edat,B1,,Don't talk during class.,Ders esnasında konuşma.
except,"haricinde, hariç, dışında",edat,B1,,No one came except Tom.,Tom hariç hiç kimse gelmedi.
excluding,"hariç, dışlama, müstesna",edat,B2,,We're not excluding anybody.,Biz kimseyi dışarıda bırakmıyoruz.
for,"için, yönünden, zarfında",edat,A1,,I'm for it.,Onun lehindeyim.
from,"itibaren, -den beri, -den",edat,A1,,I'm from here.,Ben buradanım.
hence,"buradan, bunun sonucu olarak, bundan",bağlaç,B1,,"Hence careful analysis, significant differences were identified.",Dikkatli analize rağmen / sırasında (buradan) önemli farklılıklar tespit edildi.
however,"bununla birlikte, yine de, her nasılsa",bağlaç,B2,,"However, that didn't happen.","Ancak, o olmadı."
in,"içeri, içinde, iç",edat,A1,,I'll go in.,İçeri gideceğim.
inside,"iç taraf, içeri, içte",edat,B1,,I'll be inside.,İçeride olacağım.
into,"içine, şekline, biçimine",edat,B1,,I got into bed.,Yatağa girdim.
like,"beğenmek, hoşlanmak, sevmek",edat,B1,,I like R&B.,Ben R & B'yi seviyorum.
near,"yakın, yakınlaşmak, yaklaşmak",edat,A1,,Is Tom near you?,Tom sana yakın mı?
nor,"ne de, ne, nor operatörü",bağlaç,B1,,He can't see nor hear.,O ne görebilir ne de duyabilir.
notwithstanding,"buna rağmen, bağlı olmaksızın, gerçi",bağlaç,B2,,"Notwithstanding careful analysis, significant differences were identified.",Dikkatli analize rağmen / sırasında (buna rağmen) önemli farklılıklar tespit edildi.
of,"karşı, olan, hakkında",edat,A1,,Let go of it.,Onu bırak.
off,"kapalı, dışında, kalkmak",edat,B1,,I'm off beer.,Bira içmeyi bıraktım.
on,"üstünde, üzerinde, yanmak",edat,A1,,It's on me.,Ben ödeyeceğim.
onto,"üstüne, üzerine, onto",edat,B1,,Tom held onto Mary.,Tom Mary'yi tutmaya çalıştı.
or,"ya da, veya, altın sarısı",bağlaç,B1,,Here or to go?,"Burada mı, paket mi?"
out,"çıkış, dışarıda, dışarı",edat,B1,,He's out now.,O şimdi dışarda.
outside,"dıştan, dışarı, dışarısı",edat,B2,,I'll be outside.,Dışarıda olacağım.
over,"bitmiş, üzerine, üstüne",edat,B1,,I'm over it.,Onu aştım.
past,"geçmiş, geçmiş zaman, bir kimsenin geçmişi",edat,B1,,We're past that.,Onu aştık.
per,"her, beher, rücuen",edat,B1,,What is the rate per day?,Günlük oran nedir?
providing,"temin etme, sağlama, eğer",bağlaç,B2,,We're providing an affordable service.,Uygun fiyatlı bir hizmet sağlıyoruz.
since,"ondan sonra, o zamandan beri, sonradan",bağlaç,B1,,Tom has since retired.,Tom o zamandan beri emekli.
so,"bu yüzden, öyle, böyle",bağlaç,B1,,I'm so fat.,Çok şişmanım.
than,"hariç, -den, -mektense",edat,B1,,Better him than me.,Ben olmaktansa onun olması daha iyi.
therefore,"bu sebeple, bu yüzden, bu nedenle",bağlaç,B2,,"Therefore, it is necessary to reduce the cost.","Bu nedenle, maliyetin düşürülmesi gereklidir."
though,"gerçi, -diği halde, fakat",bağlaç,B1,,"Is that true, though?",Bu doğru mu ki?
through,"başından sonuna kadar, yoluyla, üzerinden",edat,B2,,I'm almost through.,Neredeyse ayrıldım.
throughout,"boyunca, baştanbaşa, baştan başa",edat,B2,,It rained throughout the night.,Tüm gece boyunca yağmur yağdı.
times,"kere, defa, kez",edat,B1,,I read the Times.,Ben Times okurum.
to,"karşı, -mek/-mak, kadar",edat,A1,,I had to go.,Gitmek zorunda kaldım.
towards,"doğru, karşı, -e doğru",edat,B2,,Tom came towards me.,Tom bana doğru geldi.
under,"altında, alt, az",edat,B1,,I'm under orders.,Emir altındayım.
underneath,"altında, bir şeyin alt bölümü, bir şeyin alt kısmı",edat,B2,,Tom crawled underneath the bed.,Tom yatağın altında süründü.
up,"yukarı, yükseltmek, artırmak",edat,B1,,I'll get up.,Kalkacağım.
upon,"üzerine, üzerinde, üstünde",edat,B1,,Fate smiled upon me.,Kader bana gülümsedi.
via,"vasıtasıyla, aracılığıyla, kanalıyla",edat,B1,,She went to Europe via America.,O Amerika üzerinden Avrupa'ya gitti.
when,"ne zaman, zaman, ne vakit",bağlaç,B1,,When do we go?,Ne zaman gideriz?
which,"hangi, kaçıncı, hangisini",bağlaç,B1,,Which are Tom's?,Hangileri Tom'unki?
while,"sırasında, iken, olduğu halde",bağlaç,B1,,I waited a while.,Ben bir süre bekledim.
who,"kim, kimi, kime",bağlaç,B1,,Who's it for?,O kim için?
with,"ile, -lı, beraberinde",edat,A1,,I'm with NTT.,NTT ile çalışıyorum.
within,"dahilinde, içinde, içerisinde",edat,B1,,Put it within reach.,Onu ulaşılabilir yere koy.
without,"dış, dıştan, dışarıda",edat,B2,,Go on without me.,Bensiz devam edin.
yet,"henüz, gerçi, yine de",bağlaç,B1,,Don't go yet.,Henüz gitmeyin.
