Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
biological,"yaşambilimsel, dirimbilimsel, biyolojik",sıfat,C1,,He's my biological father.,O benim biyolojik babam.
biting,"ısırma, sokma, iğneli",sıfat,B1,,What's biting you?,Sizi ne ısırıyor?
blind,"kör, kör etmek, körletmek",sıfat,B1,,I'm not blind.,Ben kör değilim.
boiling,"kaynama, haşlama, kaynatma",sıfat,B2,,I'm boiling water.,Su kaynatıyorum.
bored,"sıkılmış, delinmiş, bıkkın",sıfat,B1,,I'm so bored.,Çok sıkıldım.
botanical,"bitkibilimsel, bitkisel, botanik",sıfat,B2,,We found many strange plants in a botanical garden.,Biz bir botanik bahçesinde çok tuhaf bitkiler bulduk.
both,"her ikisi de, her iki, her ikisi",sıfat,B1,,I can do both.,Her ikisini de yapabilirim.
british,"ingiliz, ingiliz halkı, ingilizler",sıfat,B2,,Tom has a British accent.,Tom'un bir İngiliz aksanı var.
broke,"parasız, züğürt, meteliksiz",sıfat,B1,,I broke a nail.,Bir tırnak kırdım.
calibrated,"taksimatlı, ayarlanmış, ayarlı",sıfat,C1,,This instrument needs to be calibrated.,Bu alet ayarlanmalı.
calm,"sakinleştirmek, sakinlik, soğukkanlı",sıfat,B1,,I'm calm now.,Ben şimdi sakinim.
calming,"yatıştırıcı, teskin, huzur veren",sıfat,B2,,Tom is calming down.,Tom sakinleşiyor.
captured,"mazbut, yakalanmış, esir edilmiş",sıfat,B2,,I've been captured.,Ben yakalandım.
cardiovascular,"kardiyovasküler, kalp ve damarlara ilişkin",sıfat,C1,,Kickboxing is great cardiovascular exercise.,Kick boks yapmak harika bir kardiyo egzersizidir.
carefully,"özenle, idareli biçimde, itinayla",zarf,B2,,I did it carefully.,Ben bunu dikkatlice yaptım.
carried,"taşınan, taşınmış, kabul edildi/edilmiştir!",sıfat,B2,,He carried a cane.,O bir baston taşıyordu.
cautiously,"ihtiyatla, dikkatlice, temkinli bir şekilde",zarf,C1,,We're cautiously optimistic.,Biz temkinli iyimseriz.
celestial,"gökyüzü ile ilgili, gök, göksel",sıfat,B2,,The initial results proved to be remarkably celestial.,İlk sonuçların son derece gökyüzü ile ilgili olduğu kanıtlandı.
cellular,"hücresel, cep telefonu, gözeli",sıfat,B2,,The initial results proved to be remarkably cellular.,İlk sonuçların son derece hücresel olduğu kanıtlandı.
certain,"kesin, belirli, belli",sıfat,B2,inevitable,I was so certain.,Çok emindim.
challenging,"dürtücü, zorlu, meydan okuma",sıfat,C1,,It's really challenging.,O gerçekten büyüleyici.
changed,"değiştirilmiş, değişmiş, değişime uğramış",sıfat,B2,,I've changed it.,Onu değiştirdim.
charged,"yüklenmiş, şarj edilmiş, dolu",sıfat,B2,,Has Tom been charged?,Tom suçlandı mı?
charming,"cazibeli, alımlı, çekici",sıfat,B2,,Tom was so charming.,Tom çok çekiciydi.
cheerful,"neşeli, mutluluk veren, şen",sıfat,B2,,He is a cheerful boy.,"O, neşeli bir çocuktur."
cheery,"neşeyle, neşeli, keyifli",sıfat,B1,,The initial results proved to be remarkably cheery.,İlk sonuçların son derece neşeyle olduğu kanıtlandı.
chemical,"kimyasal madde, kimyasal, kimyevi",sıfat,B2,,Tom is a chemical engineer.,Tom bir kimya mühendisi.
choice,"tercih, seçenek, ayırma",sıfat,B1,,I had a choice.,Bir seçeneğim vardı.
chronic,"kronik, müzmin, devamlı",sıfat,B2,,Tom suffers from chronic pain.,Tom kronik ağrıdan muzdarip.
classic,"klasik, klas, değerini kanıtlamış yapıt",sıfat,B2,,It's a classic.,Bu bir klasik.
classical,"klasik, klas, eski dile ait",sıfat,B2,,I like classical music.,Ben klasik müziği severim.
clear,"belirgin, açık, net",sıfat,B1,,It'll clear up.,Aydınlanacak.
clearly,"açık bir biçimde, açıkça, ayan beyan",zarf,B2,"openly, frankly, plainly",It's clearly a fake.,Bunun sahte olduğu çok belli.
cleverly,"zekice, akıllıca",zarf,B2,,The initial results proved to be remarkably cleverly.,İlk sonuçların son derece zekice olduğu kanıtlandı.
cloudy,"bulutlu, gölgeli, töhmet altında",sıfat,B1,,It's a cloudy day.,Bulutlu bir gün.
collaborative,"işbirlikçi, ortak çalışmaya dayalı",sıfat,C1,,It was a collaborative effort.,Ortak çalışmaya dayalı bir çabaydı.
collected,"toplu, aklı başında, sakinleşmiş",sıfat,B2,,Tom collected old coins.,Tom eski bozuk paraları topladı.
collective,"toplu, müşterek, kolektif",sıfat,C1,,Collective interests must be protected.,Toplu çıkarlar korunmalıdır.
colorless,"renksiz, sıkıcı, soluk",sıfat,B2,,The initial results proved to be remarkably colorless.,İlk sonuçların son derece renksiz olduğu kanıtlandı.
colossal,"şaşırtıcı, iri yarı, ızbandut gibi",sıfat,B2,,What a colossal waste of time!,Ne devasa bir zaman kaybı!
combined,"karma, birleşik, bileşik",sıfat,B2,,He combined two ideas into one.,"O, iki fikri teke dönüştürdü."
comfortable,"rahat, rahatlatıcı, teselli edici",sıfat,C1,,I'm not comfortable.,Rahat değilim.
coming,"geliş, gelme, varış",sıfat,B1,,I'm coming in.,Ben içeri geliyorum.
common,"alışılmış, alelade, yaygın",sıfat,B1,,It's very common.,Bu çok yaygın.
compared,"karşılaştırılmış, karşılaştırılan",sıfat,B2,,I compared notes with Tom.,Tom'la görüş alışverişinde bulundum.
competing,"yarışma, rekabet, rakip",sıfat,B2,,I want to keep competing.,Ben yarışmaya devam etmek istiyorum.
complete,"tamamlamak, tam, bütün",sıfat,B2,,My life is complete.,Artık ölsem de gam yemem.
completely,"büsbütün, tamamen, komple",zarf,C1,,I'm completely deaf.,Ben tamamen sağırım.
complicated,"çetrefil, komplike, çetrefilli",sıfat,C1,,It's so complicated.,Çok karmaşık.
comprehensive,"etraflı, kapsamlı, tam veya her şey dahil",sıfat,C1,,This is a comprehensive approach.,Bu kapsamlı bir yaklaşımdır.
computational,"sayısal, hesaba dayalı, bilgisayımsal",sıfat,C1,,He studies computational linguistics.,Bilişimsel dil bilim öğrenimi yapmaktadır.
conceal,"gizlemek, gizli tutmak, örtbas etmek",sıfat,B2,,I can't conceal it from you.,Onu senden gizleyemem.
concealed,"gizlenen, gizlenmiş, saklı",sıfat,B2,,He concealed the fact from me.,"O, gerçeği benden gizledi."
concerned,"ilgili, endişeli, alakadar",sıfat,B2,,I'm not concerned.,Ben endişeli değilim.
conducted,"bir rehber ya da lider tarafından idare edilen, yürütülen",sıfat,B2,,An autopsy will be conducted.,Bir otopsi yapılacak.
confined,"sınırlı, sınırlanmış, sınırlandırılmış",sıfat,B2,,He is confined to bed now.,"O, şimdi yatağa mahkûm."
confused,"şaşkın, zihni bulanık, karmakarışık",sıfat,B2,,I'm so confused.,Kafam çok karışık.
confusing,"şaşırtma, çetrefil, kafa karıştırıcı",sıfat,B2,,Am I confusing you?,Kafanı karıştırıyor muyum?
consciously,"bile bile, kasten, bilinçli olarak",zarf,C1,,The initial results proved to be remarkably consciously.,İlk sonuçların son derece bile bile olduğu kanıtlandı.
considerable,"hatırı sayılır derecede, kaydadeğer, hatırı sayılır",sıfat,C1,,He has a considerable income.,O önemli bir gelire sahiptir.
considered,"dikkate alınan, saygıdeğer, dikkate alınmış",sıfat,C1,,I considered not going.,Ben gitmemeyi düşündüm.
consistent,"istikrarlı, tutarlı, bağıntılı",sıfat,C1,,You're not consistent.,Sen tutarlı değilsin.
constant,"sabit, durağan, değişmez",sıfat,B2,persistent,I'm in constant danger.,Sürekli tehlikedeyim.
consumed,tamamen harcanmış,sıfat,B2,,The fire consumed the whole house.,Yangın bütün evi yuttu.
consuming,"yakan, tüketici, bitiren",sıfat,B2,,It's time-consuming.,Bu zaman alıcı.
contagious,"bulaşıcı, geçici, salgın",sıfat,C1,,Tom's smile was contagious.,Tom'un gülümsemesi bulaşıcıydı.
contemporary,"modern, çağdaş, günümüze ait",sıfat,C1,,Scott was a contemporary of Byron.,"Scott, çağdaş bir Byron'du."
continual,"ardı arkası kesilmeyen, durmadan, ardı arkası gelmeyen",sıfat,B2,,Today is the fifth day of continual stock price decline.,Bugün süregelen hisse senedi fiyat düşüşünün beşinci günüdür.
continued,"devamlı, aralıksız, devam eden",sıfat,B2,,He continued to work.,O çalışmaya devam etti.
continuously,"aralıksız, sürekli, harıl harıl",zarf,C1,,It rained continuously all day.,Tüm gün sürekli yağmur yağdı.
convenient,"müsait, münasip, uygun",sıfat,C1,,It's very convenient.,Bu çok uygun.
conventional,"geleneksel, itibari, basmakalıp",sıfat,C1,,Tom isn't conventional.,Tom konvansiyonel değil.
convincing,"inandırıcı, ikna edici, ikna",sıfat,C1,,It's pretty convincing.,O oldukça inandırıcı.
cool,"soğutmak, serinlik, serin",sıfat,B1,,It's so cool.,Çok serin.
cooperative,"kooperatif, işbirliği, yardımcı",sıfat,C1,,Tom isn't cooperative.,Tom işbirlikçi değil.
countless,"sayısız, çok, hadsiz hesapsız",sıfat,B2,,Countless lives have been lost.,Pek çok hayat kayboldu.
crazy,"deli, çıldırmış, çılgın",sıfat,B1,,I'm not crazy.,Ben deli değilim!
creamy,"kremalı, kaymaklı, kremsi",sıfat,B1,,"I love thick, creamy mushroom soup.","Koyu, kremalı mantar çorbası severim."
credible,"inandırıcı, güvenilir, inanılır",sıfat,B2,,Tom isn't credible.,Tom inandırıcı değil.
critical,"kritik, ciddi, hassas",sıfat,B2,,Don't be so critical.,Bu kadar eleştirici olmayın.
crucial,"çok önemli, kritik, önemli",sıfat,B2,,The context is crucial.,Bağlam önemlidir.
cultural,"kültürel, ekinsel",sıfat,B2,,It's a cultural thing.,Bu kültürel bir şey.
culturally,kültürel olarak,zarf,C1,,The initial results proved to be remarkably culturally.,İlk sonuçların son derece kültürel olarak olduğu kanıtlandı.
customary,"göreneksel, alışılmış, adet olan",sıfat,B2,,It's customary for waiters and waitresses to introduce themselves using only their first names.,Bay ve bayan garsonların ilk isimlerini kullanarak kendilerini tanıtması gelenekseldir.
dangerous,"tehlikeli, çekinceli, riskli",sıfat,B2,,I'm not dangerous.,Ben tehlikeli değilim.
dark,"karanlık, koyu, belirsizlik",sıfat,B1,,It's so dark.,Çok karanlık.
dated,"tarihli, eski, tarih verilmiş",sıfat,B1,,It's a little dated.,O biraz demode.
dazzling,"göz kamaştırıcı, baş döndürücü, baş döndüren",sıfat,B2,"stunning, marvelous, impressive",The initial results proved to be remarkably dazzling.,İlk sonuçların son derece göz kamaştırıcı olduğu kanıtlandı.
decided,"kararlı, karar verilmiş, tartışmasız",sıfat,B2,,I decided to go.,Gitmeye karar verdim.
deep,"derin, deniz, derince",sıfat,B1,,How deep is it?,O ne kadar derindir?
defined,"tanımlanmış, belirtili, tamlanan",sıfat,B2,,Tom's muscles are well-defined.,Tom'un kasları iyi tanımlanmıştır.
definite,"belirli, belli, mahdut",sıfat,B2,,I have no definite plans.,Kesin planlarım yok.
definitely,"kesinlikle, tamamen, elbette",zarf,C1,,It's definitely Tom.,O kesinlikle Tom.
delayed,"rötarlı, geciktirilmiş, tehirli",sıfat,B2,,Our train is delayed.,Bizim tren gecikti.
deliberately,"kasten, bilerek, kasti olarak",zarf,C1,,I deliberately did that.,Onu kasıtlı olarak yaptım.
delicious,"nefis, leziz, lezzetli",sıfat,B2,,Isn't it delicious?,Bu lezzetli değil mi?
demonstrated,"ispat edilmiş, ispat edilen",sıfat,C1,,Tom demonstrated how to core an apple.,Tom elmanın göbeğini nasıl çıkaracağını gösterdi.
dependable,"güvenilir, güvenli, güvenilebilir",sıfat,C1,,Tom isn't dependable.,Tom güvenilir değil.
dependent,"bağımlı, bağımlı kimse, başkasına muhtaç kimse",sıfat,B2,,Tom is dependent on his wife.,Tom eşine bağlı.
desired,"geçer, arzu edilen, gerekli",sıfat,B2,,We all want to be desired.,Hepimiz arzulanmak istiyoruz.
detailed,"ayrıntılı, detaylı, ayrıntılandırılmış",sıfat,B2,,It's very detailed.,Bu çok ayrıntılı.
determined,"azimli, belirlenmiş, kararlı",sıfat,C1,persistent,What a determined man!,Ne kararlı bir adam!
detrimental,"zararlı, muzır, zarar veren",sıfat,C1,,Tom's stressful job is having a detrimental effect on his health.,Tom'un stresli işi sağlığı üzerinde zararlı bir etkiye sahiptir.
developed,"gelişmiş, bayındırlaşmak, bayındır",sıfat,B2,,He developed his own theory.,"O, kendi teorisini geliştirdi."
diagnosed,teşhis edilmiş,sıfat,B2,,What was Tom diagnosed with?,Tom'a ne tanısı kondu?
diagnostic,"teşhis, tanısal, kontrol",sıfat,C1,,The initial results proved to be remarkably diagnostic.,İlk sonuçların son derece teşhis olduğu kanıtlandı.
dietary,"rejim kuralları, rejim yemeği, perhiz yemeği",sıfat,B2,,The initial results proved to be remarkably dietary.,İlk sonuçların son derece rejim kuralları olduğu kanıtlandı.
different,"farklı, değişik, başka",sıfat,B2,,I'm no different.,Farklı değilim.
difficult,"çetin, zor, zorlu",sıfat,B2,,It's so difficult.,Bu çok zor.
digital,"dijital, tuş, parmağa ait",sıfat,B2,,Can I borrow your digital camera tonight?,Bu gece senin dijital kameranı ödünç alabilir miyim?
diminish,"azalmak, eksiltmek, hafifletmek",sıfat,B2,"decrease, reduce, lessen, decline",The rights of every man are diminished when the rights of one man are threatened.,"Bir insanın haklarının tehdit edildiğinde, her insanın hakları azaltılır."
direct,"yönlendirmek, yöneltmek, yönetmek",sıfat,B1,,I'll be direct.,Direkt olacağım.
disabled,"engelli, özürlü, etkisiz kılınmış",sıfat,B2,,My husband is disabled.,Kocam özürlüdür.
disappointed,"hayal kırıklığına uğramış, hüsrana uğramış, hayal kırıklığı uğramış",sıfat,C1,,I'm so disappointed.,Çok hayal kırıklığına uğradım.
discussed,"görüşülmüş, tartışılmış",sıfat,B2,,We've discussed this.,Bunu tartıştık.
disgusting,"tiksindirici, iğrenç, çirkef",sıfat,C1,,Don't be disgusting.,İğrenç olma.
distant,"uzakta, uzak, mesafeli",sıfat,B2,,That's very distant.,O çok uzak.
distinct,"belirgin, seçik, şüphesiz",sıfat,B2,,That's a distinct possibility.,Bu ayrı bir olasılık.
diverse,"çeşit çeşit, türlü, değişik",sıfat,B2,,It is an ethnically diverse school.,"Bu, etnik açıdan farklı bir okul."
domestic,"iç, evcil, hizmetçi",sıfat,B2,,The horse is a domestic animal.,At evcil bir hayvandır.
done,"yapılmış, iyi pişmiş, olmuş",sıfat,B1,,I'm all done.,Tamamen bitirdim.
driving,"sürme, sevk, sürücü",sıfat,B2,,He is bad at driving.,O araba sürmede kötüdür.
due,"vadesi dolmuş, hak vergi, alacak",sıfat,B1,,Give Tom his due.,Tom'a hakkını ver.
dull,"donuk, sıkıcı, mat",sıfat,B1,,The knife is dull.,Bıçak kör.
early,"erken, erken olan şey, erken olgunlaşan meyve ya da çiçek",zarf,B1,,It's so early.,Çok erken.
easily,"rahatlıkla, rahatça, kolayca",zarf,B1,,I'm easily bored.,Kolayca sıkılırım.
eaten,"yenmiş, yenilmiş",sıfat,B1,,I haven't eaten.,Yemedim.
eating,"yeme, yiyim, yemek",sıfat,B1,,I'm eating now.,Şimdi yemek yiyorum.
ecologic,"ekolojik, bir çevredeki canlı organizmaların birbirine bağımlılığıyla ifade edilen",sıfat,B2,,The initial results proved to be remarkably ecologic.,İlk sonuçların son derece ekolojik olduğu kanıtlandı.
ecological,"çevre, çevrebilimsel, ekolojik",sıfat,C1,,The world's tropical rainforests are critical links in the ecological chain of life on the planet.,"Dünyadaki tropikal yağmur ormanları, gezegende yaşamın ekolojik zincirine kritik bağlantılıdır."
economic,"ekonomik, iktisadi, hesaplı",sıfat,B2,,It doesn't make economic sense.,Ekonomik açıdan anlamsız.
educational,"eğitsel, eğitimsel, eğitici",sıfat,C1,,Tom majored in educational psychology.,Tom eğitim psikolojisi alanında eğitim aldı.
effective,"efektif, etkileyici, etkili",sıfat,B2,,It's not effective.,Bu etkili değil.
effectively,"etkili bir şekilde, etkileyici, etkin olarak",zarf,C1,,"Last year, I spent so much time by myself that I almost forgot how to communicate effectively with others.",Geçen yıl tek başıma o kadar uzun bir zaman geçirdim ki diğerleriyle etkili şekilde nasıl iletişim kuracağımı neredeyse unuttum.
efficient,"etkili, liyakatli, verimli",sıfat,B2,,He's very efficient.,O çok verimlidir.
efficiently,"yeterli olarak, verimli biçimde, etkin",zarf,C1,,You have to use your time efficiently.,Vaktini verimli kullanmalısın.
elevated,"keyifli, yüksek, yüce",sıfat,B2,,The initial results proved to be remarkably elevated.,İlk sonuçların son derece keyifli olduğu kanıtlandı.
emotional,"dokunaklı, duygusal, hissi",sıfat,B2,,Don't get emotional.,Duygusallaşma.
endangered,"tehlikeye atılmış, tehlikede, nesli tükenmekte olan",sıfat,C1,,It is an endangered species.,Nesli tükenmekte olan bir türdür.
engaged,"bağlanmış, meşgul, nişanlı",sıfat,B2,,Tom isn't engaged.,Tom nişanlı değil.
enough,"kafi, yeterli, yeter",sıfat,B1,,I'm old enough.,Yeterince yaşlıyım.
entertained,"ağırlanmış, eğlendirilmiş, meşgul edilmiş",sıfat,C1,,Tom kept us entertained.,Tom bizi ağırlamaya devam etti.
entire,"bütün, tüm, tamam",sıfat,B1,,I read the entire book.,Tüm kitabı okudum.
entirely,"tümüyle, külliyen, büsbütün",zarf,B2,,Is it entirely over?,O tamamen bitti mi?
environmental,"çevre, çevresel, muhite ait",sıfat,C1,,Tom is an environmental activist.,Tom çevrecidir.
equal,"denk, eşit, muadili olmak",sıfat,B1,,All men are equal.,Bütün insanlar eşittir.
especially,"özellikle, hele, ille",zarf,C1,,It is especially hot today.,Hava bugün özellikle çok sıcak.
essential,"ana, esas, esaslı",sıfat,B2,,Food is essential to life.,Gıda yaşam için elzemdir.
establish,"kanıtlamak, kurmak, tesis etmek",sıfat,B2,,Let's establish some ground rules.,Bazı temel kurallar belirleyelim.
european,"avrupalı, frenk, avrupai",sıfat,B2,,Spain is a European country.,İspanya bir Avrupa ülkesidir.
even,"düzgün, düz, pürüzsüz",sıfat,B1,,Now we're even.,Biz şimdi çiftiz.
every,"her, bütün, alışılmış",sıfat,B1,,I cry every day.,Her gün ağlarım.
evident,"belli, vazıh, açık",sıfat,B2,,It's self-evident.,"O, apaçık ortadadır."
evolving,"gelişmekte olan, gitgide gelişen, gitgide evrimleşen",sıfat,B2,,Software is constantly evolving.,Yazılım sürekli gelişiyor.
exceptional,"fevkalade, müstesna, istisnai",sıfat,C1,,I had an exceptional year.,Olağanüstü bir yıl geçirdim.
exceptionally,"fevkalade, müstesna olarak, son derece",zarf,C1,,Tom did exceptionally well.,Tom son derece iyi yaptı.
excessive,"haddinden fazla, aşırı, aşkın",sıfat,B2,,Isn't that excessive?,Aşırı değil mi?
executed,"asılı, yapılmış, uygulanmış",sıfat,B2,,Tom will be executed.,Tom asılacak.
exhausted,"yorgun, tükenmiş, bitik",sıfat,B2,tired,I am so exhausted!,Çok yorgunum!
exhibited,"sergilenmiş, sergilenen",sıfat,B2,,He exhibited no remorse for his crime.,Suçu için hiç pişmanlık göstermedi.
existed,"mevcut, var olmuş, geçinmiş",sıfat,B2,,I didn't know it existed.,Bunun var olduğunu bilmiyordum.
existing,"mevcut, olma, var olma",sıfat,B2,,They lost faith in the existing system.,Mevcut sisteme inançlarını kaybettiler.
expanding,"genişleyen, tevsi, genişleme",sıfat,B2,,Our business is expanding.,İşimiz genişliyor.
expected,"beklenen, umulan, beklenilen",sıfat,B2,,We expected to win.,Biz kazanmayı bekliyorduk.
experienced,"tecrübeli, deneyimli, deneyim edilmiş",sıfat,C1,,He's very experienced.,O çok deneyimlidir.
experimental,"deneysel, tecrübi, deneyde kullanılan",sıfat,C1,,The initial results proved to be remarkably experimental.,İlk sonuçların son derece deneysel olduğu kanıtlandı.
explored,keşfedilmiş,sıfat,B2,,They explored the Antarctic.,Onlar Antartika'yı araştırdı.
exquisite,"çok büyük, nazik, seçkin",sıfat,B2,,This is an exquisite little painting.,Bu enfes bir küçük tablodur.
extensive,"yaygın, geniş, kapsamlı",sıfat,B2,,The list is extensive.,Liste kapsamlıdır.
extra,"ekstra, ilave gazete, ilave",sıfat,B1,,I'll pay extra.,Fazladan ödeyeceğim.
extraordinary,"fevkalade, olağandışı, olağanüstü",sıfat,C1,,That would be extraordinary.,Bu olağanüstü olurdu.
extreme,"aşırı, aşırı derece, aşırılık",sıfat,B2,,It was too extreme.,O çok aşırıydı.
extremely,"gayetle, feci, aşırı",zarf,B2,,I'm extremely fat.,Ben son derece şişmanım.
faint,"bayılmak, bayılma, bitkin düşmek",sıfat,B1,,I'm going to faint.,Bayılacağım.
fair,"panayır, fuar, açık tenli",sıfat,B1,,I can be fair.,Adil olabilirim.
fairly,"büsbütün, adil bir şekilde, uygunca",zarf,B1,,I'm fairly busy.,Oldukça meşgulüm.
far,"uzak, çok fazla, uzun",sıfat,B1,,It's too far.,Bu çok uzak.
fast,"süratli, çabuk, hızlı",sıfat,B1,,I'm very fast.,Ben çok hızlıyım.
favorite,"favori, gözde, en çok beğenilen",sıfat,B2,,That's my favorite.,Bu benim favorim.
female,"kadın, dişi, kız",sıfat,B1,,A doe is a female deer.,Dişi geyiğe maral denir.
fertile,"verimli, bereketli, mümbit",sıfat,B2,,He has a fertile imagination.,Onun yaratıcı bir hayal gücü var.
final,"final, nihai, kesin",sıfat,B1,,My answer is final.,Cevabım nihai.
finished,"tamamlanmış, bitmiş, tamam",sıfat,B2,,I'm finished now.,Şimdi hazırım.
firm,"firma, sıkı, sert",sıfat,B1,,We must be firm.,Katı olmalıyız.
