Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",authority,"yetki, otorite, bilirkişi",isim,B2,,I don't have the authority.,Benim yetkim yok.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",authors,yazarlar,isim,B2,,He is one of Spain's most famous authors.,"O, İspanya'nın en ünlü yazarlarından biridir."
C1 Üst Düzey Akademik İsimler,automobile,"otomobil, otomobilde seyahat etmek, araba",isim,C1,,An automobile ran over him.,Bir otomobil onu ezdi.
B2 İleri Akademik İsimler,average,"ortalama, ortalamasını bulmak, belirli bir miktar tüketmek",isim,B2,,I'm just an average guy.,Ben sadece sıradan bir erkeğim.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",awareness,"farkındalık, bilinçlenme, farkında olma",isim,B2,knowledge,Developing political awareness takes time.,Siyasi farkındalık edinmek zaman alır.
B1 Temel Akademik İsimler,ax,"balta, kovmak, azaltmak",isim,B1,,He has an ax to grind.,Onun şikayeti var.
B1 Temel Akademik İsimler,axe,"balta, kısmak, azaltmak",isim,B1,,She always has some axe to grind.,Onun her zaman bir şikâyeti vardır.
C1 Üst Düzey Akademik İsimler,background,"arka plan, fon, ardyöre",isim,C1,,I'll stay in the background.,Ben arka planda kalacağım.
C1 Üst Düzey Akademik İsimler,backgrounds,"şeffaf zemin, web arka planları",isim,C1,,I want to meet people from all types of backgrounds.,Her türlü kökenden insanlarla tanışmak istiyorum.
B2 İleri Akademik İsimler,balance,"dengede tutmak, dengelemek, bakiye",isim,B2,,I almost lost my balance.,Neredeyse dengemi kaybediyordum.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",banks,"bankalar, alabama eyaletinde şehir",isim,B1,,I don't trust banks.,Bankalara güvenmiyorum.
B2 İleri Akademik İsimler,barrage,"yoğun yaylım ateşi, yaylım ateşi, baraj",isim,B2,,The investigation highlighted the critical role of barrage.,Soruşturma yoğun yaylım ateşi kavramının kritik rolünü vurguladı.
B2 İleri Akademik İsimler,barrier,"set, bariyer, aperitif",isim,B2,,High tariffs have become a barrier to international trade.,Yüksek tarifeler uluslararası ticaret için bir engel haline gelmiştir.
B2 İleri Akademik İsimler,barriers,"engeller, radyasyon emen bariyerler",isim,B2,,We must work hard to break down social barriers.,Bizim sosyal engelleri yıkmak için çok çalışmamız gerekmektedir.
B1 Temel Akademik İsimler,barter,"takas, takas yapmak, değiş tokuş etmek",isim,B1,,The investigation highlighted the critical role of barter.,Soruşturma takas kavramının kritik rolünü vurguladı.
B1 Temel Akademik İsimler,base,"dayandırmak, üs, baz",isim,B1,,Our company's base is in Tokyo.,Şirketimizin merkezi Tokyo'dadır.
B1 Temel Akademik İsimler,battle,"savaş, muharebe, dövüşmek",isim,B1,,We'll win the battle.,Biz savaşı kazanacağız.
B1 Temel Akademik İsimler,bears,"bu söylediğimi doğruluyor, tekrar söylemeye değer, tekrar söylemekte fayda var",isim,B1,,I am afraid of bears.,Ayılardan korkarım.
B2 İleri Akademik İsimler,becomes,"boynuz kulağı geçer, ava giden avlanır, boynuz kulağı geçermiş",isim,B2,,It becomes a vicious circle.,Bir kısır döngü haline gelir.
B2 İleri Akademik İsimler,behavior,"davranış, hareket tarzı, tutum",isim,B2,,Tom's behavior was bad.,Tom'un davranışı kötüydü.
B2 İleri Akademik İsimler,behaviors,davranışlar,isim,B2,,The investigation highlighted the critical role of behaviors.,Soruşturma davranışlar kavramının kritik rolünü vurguladı.
B1 Temel Akademik İsimler,being,"yapı, vücut, tanrı",isim,B1,,I'm a human being.,Ben bir insanım.
B2 İleri Akademik İsimler,belonging,"eşya, aidiyet, ait olma",isim,B2,,He lost all his belongings.,"O, bütün eşyalarını kaybetti."
C1 Üst Düzey Akademik İsimler,belongings,"ayniyat, özel eşya, kişisel eşyalar",isim,C1,,He lost all his belongings.,"O, bütün eşyalarını kaybetti."
B2 İleri Akademik İsimler,benefit,"yararlanmak, menfaat, çıkar",isim,B2,,This is for your benefit.,Bu senin menfaatin için.
C1 Üst Düzey Akademik İsimler,benefiting,"asılanma, yararlanma",isim,C1,,The investigation highlighted the critical role of benefiting.,Soruşturma asılanma kavramının kritik rolünü vurguladı.
B1 Temel Akademik İsimler,better,"daha iyi, iyileştirmek, ıslah etmek",isim,B1,,I'm a lot better.,Ben çok daha iyiyim.
B1 Temel Akademik İsimler,bias,"önyargı, aklını çelmek, bir tarafa etki etmek",isim,B1,,Cut the cloth on the bias.,Kumaşı diyagonal kesin.
B1 Temel Akademik İsimler,bigger,"daha büyük, büyük",isim,B1,,I need a bigger box.,Daha büyük bir kutuya ihtiyacım var.
B1 Temel Akademik İsimler,bike,"bisiklete binmek, bisiklet, bisiklet sürmek",isim,B1,,I was on a bike.,Bir bisikletteydim.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",billion,"milyar, bilyon",isim,B2,,A billion adults are illiterate.,Bir milyar yetişkin okuma yazma bilmemektedir.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",biologists,"dirimbilimci, yaşambilimci, biyolog",isim,C1,,Biologists released some turtles into the sea.,Biyologlar bazı kaplumbağaları denize bıraktılar.
C1 Üst Düzey Akademik İsimler,blamelessness,"suçsuzluk, kusursuzluk, masumluk",isim,C1,,The investigation highlighted the critical role of blamelessness.,Soruşturma suçsuzluk kavramının kritik rolünü vurguladı.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",blood,"kan, akrabalık, asalet",isim,B1,,I didn't donate blood.,Kan bağışında bulunmadım.
B1 Temel Akademik İsimler,boats,"köprüleri atmak, kayıklar ve kayıkçılık, bir ulusun refahı herkese yarar sağlar",isim,B1,,I don't care about boats.,Ben teknelerle ilgilenmiyorum.
B1 Temel Akademik İsimler,books,"kitaplar, kayıtlar",isim,B1,,I don't read books.,Ben kitap okumuyorum.
B1 Temel Akademik İsimler,border,"hudut, kenarlık, kenar",isim,B1,,We live near the border.,Biz sınıra yakın yaşıyoruz.
B1 Temel Akademik İsimler,bore,"bunaltmak, delmek, sıkmak",isim,B1,,Don't be a bore.,Sıkma insanı.
B1 Temel Akademik İsimler,boring,"bıktırıcı, bıktıran, sıkıcı",isim,B1,,It's kind of boring.,Bu biraz sıkıcı.
B1 Temel Akademik İsimler,bounce,"sektirmek, zıplamak, sekmek",isim,B1,,A rubber ball bounces because it is elastic.,Elastik olduğu için lastik bir top seker.
B2 İleri Akademik İsimler,boundary,"sınır, had, hudut",isim,B2,,There is a fence marking the boundary between our yard and the neighbor's.,Bizim ve komşunun avlusu arasındaki sınırı işaretlemek için bir çit vardır.
B1 Temel Akademik İsimler,bowl,"tas, çanak, kase",isim,B1,,I had a bowl of soup.,Bir kase çorba içtim.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",brain,"beyin, kafasına ağır bir darbe indirmek, kafa yarmak",isim,B1,,He has a good brain.,O akıllıdır.
B1 Temel Akademik İsimler,branch,"dallanmak, şube, dal",isim,B1,,I cut a branch from the tree.,Ben ağaçtan bir dal kestim.
C1 Üst Düzey Akademik İsimler,breakthrough,"ilerleme, atılım, buluş",isim,C1,,This is a real breakthrough.,Bu gerçek bir atılım.
B1 Temel Akademik İsimler,breast,"meme, göğüs, göğüs germek",isim,B1,,Breast cancer is a disease.,Meme kanseri bir hastalıktır.
B1 Temel Akademik İsimler,bridge,"köprü, köprü kurmak, köprü yapmak",isim,B1,,How long is the bridge?,Köprü ne kadar uzunluktadır?
B2 İleri Akademik İsimler,bridges,köprüler,isim,B2,,I'm burning my bridges.,Köprüleri yakıyorum.
B2 İleri Akademik İsimler,bringing,"getirmek, getiri, getiren",isim,B2,,You're bringing me down.,Sen beni makamımdan indiriyorsun.
B1 Temel Akademik İsimler,buddy,"ahbap, kanka, kafadar",isim,B1,,"I'll help you, buddy.","Sana yardım edeceğim, dostum."
B2 İleri Akademik İsimler,building,"inşaat, bina, yapma",isim,B2,,The building's on fire.,Bina yanıyor.
B2 İleri Akademik İsimler,buildings,"site, inşaat, yapılar",isim,B2,,There are many tall buildings.,Birçok yüksek bina var.
C1 Üst Düzey Akademik İsimler,businesses,"aile işletmeleri, emlak işleri, işlerin çoğunun fiziksel temsilciler vasıtası ile fiziksel ürünler satarak gerçekleştirildiği eski ve geleneksel ticaret yöntemi",isim,C1,,"As businesses failed, workers lost their jobs.",İşler başarısız sonuçlanınca işçiler işlerini kaybettiler.
B1 Temel Akademik İsimler,cabin,"kabin, tahdit etmek, küçük bir yere kapamak",isim,B1,,We rented a cabin by a lake.,Gölün yanında bir kabin kiraladık.
B1 Temel Akademik İsimler,cake,"kek, pasta, katılaşmak",isim,B1,,He made me a cake.,Bana bir kek yaptı
B1 Temel Akademik İsimler,cal,"kilokalori, kalsiyum hidroksit, cal",isim,B1,,The investigation highlighted the critical role of cal.,Soruşturma kilokalori kavramının kritik rolünü vurguladı.
B2 İleri Akademik İsimler,cameras,kameralar,isim,B2,,I have a lot of cameras.,Çok fazla kameram var.
B1 Temel Akademik İsimler,can,"olabilmek, kovmak, konservelemek",isim,B1,,I can't do it.,Onu yapamam.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",cancer,"kanser, yengeç burcu, kötü şey",isim,B1,,I don't have cancer.,Kanserim yok.
B1 Temel Akademik İsimler,cap,"başlık, kapak, kep",isim,B1,,I have lost my cap.,Benim kepimi kaybettim.
C1 Üst Düzey Akademik İsimler,capabilities,yetenekler,isim,C1,,The investigation highlighted the critical role of capabilities.,Soruşturma yetenekler kavramının kritik rolünü vurguladı.
C1 Üst Düzey Akademik İsimler,capability,"kabiliyet, iktidar, yararlılık",isim,C1,,The investigation highlighted the critical role of capability.,Soruşturma kabiliyet kavramının kritik rolünü vurguladı.
B2 İleri Akademik İsimler,capacity,"kapasite, iktidar, yeterlik",isim,B2,,The bus was filled to capacity.,Otobüs tam kapasite doluydu.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",capillaries,kılcal damarlar,isim,C1,,The investigation highlighted the critical role of capillaries.,Soruşturma kılcal damarlar kavramının kritik rolünü vurguladı.
"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",capillary,"ince boru, kılcal damar, kılla ilgili",isim,B2,,The investigation highlighted the critical role of capillary.,Soruşturma ince boru kavramının kritik rolünü vurguladı.
B1 Temel Akademik İsimler,carbs,karbonhidrat,isim,B1,,The investigation highlighted the critical role of carbs.,Soruşturma karbonhidrat kavramının kritik rolünü vurguladı.
B1 Temel Akademik İsimler,care,"önem vermek, aldırmak, umursamak",isim,B1,,Ask me if I care.,Çok da umurumda!
B2 İleri Akademik İsimler,carrying,"taşıma, nakliye, taşımacılık",isim,B2,,I saw men carrying guns.,Silahlı adamlar gördüm.
B1 Temel Akademik İsimler,cars,arabalar,isim,B1,,I am fond of cars.,Ben arabaları çok severim.
B1 Temel Akademik İsimler,case,"dava, kasa, kılıf",isim,B1,,That isn't the case.,Olay bu değil.
B1 Temel Akademik İsimler,cases,"davalar, vakalar, vukuat",isim,B1,,What's in those cases?,Şu kutularda ne var?
B1 Temel Akademik İsimler,cat's,"kedi, tehlikeli işi üzerine almak, sırıtmak",isim,B1,,The investigation highlighted the critical role of cat's.,Soruşturma kedi kavramının kritik rolünü vurguladı.
B1 Temel Akademik İsimler,cause,"sebebiyet vermek, sebep olmak, yol açmak",isim,B1,,I don't cause trouble.,Ben soruna neden olmam.
B1 Temel Akademik İsimler,cavity,"çukur, delik, kavite",isim,B1,,I think I have a cavity.,Sanırım dişimde bir delik var.
B1 Temel Akademik İsimler,center,"ortalamak, merkez, ortaya yerleştirmek",isim,B1,,He works in a call center.,O bir çağrı merkezinde çalışır.
B2 İleri Akademik İsimler,centuries,yüzyıllar,isim,B2,,This cathedral was built more than four centuries ago.,"Bu katedral, dört yüzyıldan fazla süre önce inşa edilmiş."
B2 İleri Akademik İsimler,century,"asır, yüzyıl, 100'ün üzerindeki skor/sayı/100'lük seri",isim,B2,,I'm over a half century old.,Yarım asrı geçtim.
B1 Temel Akademik İsimler,ch,"isviçre:ch, ch-4 yağ sınıfı, reform kilisesi",isim,B1,,The investigation highlighted the critical role of ch.,Soruşturma isviçre:ch kavramının kritik rolünü vurguladı.
C1 Üst Düzey Akademik İsimler,challenges,zorluklar,isim,C1,,We do have some challenges.,Bazı zorluklarımız var.
B1 Temel Akademik İsimler,chance,"olanak, ihtimal, şans",isim,B1,,I'll take a chance.,Şansımı deneyeceğim.
B1 Temel Akademik İsimler,change,"değişmek, değiştirmek, değişiklik",isim,B1,,I'll try to change.,Ben değiştirmeye çalışacağım.
C1 Üst Düzey Akademik İsimler,characterization,"niteleme, nitelendirme, nitelendirilme",isim,C1,,The investigation highlighted the critical role of characterization.,Soruşturma niteleme kavramının kritik rolünü vurguladı.
B1 Temel Akademik İsimler,charge,"yüklemek, suçlamak, şarj etmek",isim,B1,,I'm in charge now.,Artık ben sorumluyum.
B1 Temel Akademik İsimler,charm,"albeni, cazibe, çekicilik",isim,B1,,It worked like a charm.,Çok işe yaradı.
B1 Temel Akademik İsimler,cheer,"neşelendirmek, neşe, şenlendirmek",isim,B1,,It'll cheer you up.,Seni neşelendirecek.
B1 Temel Akademik İsimler,chefs,"herkes patron, herkes patron kesilmiş, bir işe elli kişi karışırsa …",isim,B1,,The investigation highlighted the critical role of chefs.,Soruşturma herkes patron kavramının kritik rolünü vurguladı.
