Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
cellular,"hücresel, cep telefonu, gözeli",sıfat,B2,,The empirical results of the study were remarkably cellular.,Çalışmanın ampirik sonuçlarının son derece hücresel olduğu görüldü.
certain,"kesin, belirli, belli",sıfat,B2,inevitable,I can't be certain.,Emin olamıyorum.
changed,"değiştirilmiş, değişmiş, değişime uğramış",sıfat,B2,,I'm a changed man.,Ben değişmiş bir insanım.
charged,"yüklenmiş, şarj edilmiş, dolu",sıfat,B2,,You charged me too much.,Siz bana çok fazla ücret ödettiniz.
charming,"cazibeli, alımlı, çekici",sıfat,B2,,She has a charming face.,Onun çekici bir yüzü var.
cheerful,"neşeli, mutluluk veren, şen",sıfat,B2,,He is a cheerful boy.,"O, neşeli bir çocuktur."
cheery,"neşeyle, neşeli, keyifli",sıfat,B1,,The empirical results of the study were remarkably cheery.,Çalışmanın ampirik sonuçlarının son derece neşeyle olduğu görüldü.
chemical,"kimyasal madde, kimyasal, kimyevi",sıfat,B2,,Magnesium is a chemical element.,Magnezyum kimyasal bir elementtir.
choice,"tercih, seçenek, ayırma",sıfat,B1,,Do I have a choice?,Bir seçeneğim var mı?
chronic,"kronik, müzmin, devamlı",sıfat,B2,,She suffers from a chronic illness.,O kronik bir hastalıktan muzdarip.
classic,"klasik, klas, değerini kanıtlamış yapıt",sıfat,B2,,This song is a classic.,Bu şarkı bir klasik.
classical,"klasik, klas, eski dile ait",sıfat,B2,,Do you like classical music?,Klasik müzik hoşuna gidiyor mu?
clear,"belirgin, açık, net",sıfat,B1,,It's a clear day.,Bu açık bir gün.
cloudy,"bulutlu, gölgeli, töhmet altında",sıfat,B1,,It's a cloudy day.,Bulutlu bir gün.
collected,"toplu, aklı başında, sakinleşmiş",sıfat,B2,,He collected a lot of stamps.,"O, çok sayıda pul topladı."
colorless,"renksiz, sıkıcı, soluk",sıfat,B2,,The empirical results of the study were remarkably colorless.,Çalışmanın ampirik sonuçlarının son derece renksiz olduğu görüldü.
colossal,"şaşırtıcı, iri yarı, ızbandut gibi",sıfat,B2,,What a colossal waste of time!,Ne devasa bir zaman kaybı!
combined,"karma, birleşik, bileşik",sıfat,B2,,He combined two ideas into one.,"O, iki fikri teke dönüştürdü."
coming,"geliş, gelme, varış",sıfat,B1,,I'm coming to you.,Sana geliyorum.
common,"alışılmış, alelade, yaygın",sıfat,B1,,It's a common name.,Bu yaygın bir isim.
compared,"karşılaştırılmış, karşılaştırılan",sıfat,B2,,I compared notes with Tom.,Tom'la görüş alışverişinde bulundum.
competing,"yarışma, rekabet, rakip",sıfat,B2,,I want to keep competing.,Ben yarışmaya devam etmek istiyorum.
complete,"tamamlamak, tam, bütün",sıfat,B2,,I hope it's complete.,Umarım o tamdır.
conceal,"gizlemek, gizli tutmak, örtbas etmek",sıfat,B2,,I can't conceal it from you.,Onu senden gizleyemem.
concealed,"gizlenen, gizlenmiş, saklı",sıfat,B2,,He concealed the fact from me.,"O, gerçeği benden gizledi."
concerned,"ilgili, endişeli, alakadar",sıfat,B2,,I'm a little concerned.,Biraz endişeliyim.
conducted,"bir rehber ya da lider tarafından idare edilen, yürütülen",sıfat,B2,,An autopsy will be conducted.,Bir otopsi yapılacak.
confined,"sınırlı, sınırlanmış, sınırlandırılmış",sıfat,B2,,He is confined to bed now.,"O, şimdi yatağa mahkûm."
confused,"şaşkın, zihni bulanık, karmakarışık",sıfat,B2,,I'm a bit confused.,Biraz kafam karıştı.
confusing,"şaşırtma, çetrefil, kafa karıştırıcı",sıfat,B2,,It was confusing to me.,Bu benim kafamı karıştırıyordu.
constant,"sabit, durağan, değişmez",sıfat,B2,persistent,I'm in constant danger.,Sürekli tehlikedeyim.
consumed,tamamen harcanmış,sıfat,B2,,The fire consumed the whole house.,Yangın bütün evi yuttu.
consuming,"yakan, tüketici, bitiren",sıfat,B2,,This is a very time-consuming task.,Bu çok zaman alan bir görevdir.
continual,"ardı arkası kesilmeyen, durmadan, ardı arkası gelmeyen",sıfat,B2,,Today is the fifth day of continual stock price decline.,Bugün süregelen hisse senedi fiyat düşüşünün beşinci günüdür.
continued,"devamlı, aralıksız, devam eden",sıfat,B2,,He continued to mock me.,O beni taklit etmeye devam etti.
cool,"soğutmak, serinlik, serin",sıfat,B1,,I'm so not cool.,Hiç cool değilim.
countless,"sayısız, çok, hadsiz hesapsız",sıfat,B2,,Countless lives have been lost.,Pek çok hayat kayboldu.
crazy,"deli, çıldırmış, çılgın",sıfat,B1,,I am a bit crazy.,Ben biraz deliyim.
creamy,"kremalı, kaymaklı, kremsi",sıfat,B1,,"I love thick, creamy mushroom soup.","Koyu, kremalı mantar çorbası severim."
credible,"inandırıcı, güvenilir, inanılır",sıfat,B2,,Tom's story sounded credible.,Tom'un hikayesi kulağa inanılır gibi geliyordu.
critical,"kritik, ciddi, hassas",sıfat,B2,,Don't be so critical.,Bu kadar eleştirici olmayın.
crucial,"çok önemli, kritik, önemli",sıfat,B2,,The timing will be crucial.,Zamanlama çok önemli olacak.
cultural,"kültürel, ekinsel",sıfat,B2,,It's a cultural thing.,Bu kültürel bir şey.
customary,"göreneksel, alışılmış, adet olan",sıfat,B2,,It's customary for waiters and waitresses to introduce themselves using only their first names.,Bay ve bayan garsonların ilk isimlerini kullanarak kendilerini tanıtması gelenekseldir.
dangerous,"tehlikeli, çekinceli, riskli",sıfat,B2,,I think it's dangerous.,Sanırım o tehlikeli.
dark,"karanlık, koyu, belirsizlik",sıfat,B1,,It's dark in here.,Burası karanlık.
dated,"tarihli, eski, tarih verilmiş",sıfat,B1,,It's a little dated.,O biraz demode.
dazzling,"göz kamaştırıcı, baş döndürücü, baş döndüren",sıfat,B2,"stunning, marvelous, impressive",The empirical results of the study were remarkably dazzling.,Çalışmanın ampirik sonuçlarının son derece göz kamaştırıcı olduğu görüldü.
decided,"kararlı, karar verilmiş, tartışmasız",sıfat,B2,,I've decided to go.,Gitmeye karar verdim.
deep,"derin, deniz, derince",sıfat,B1,,He's deep in debt.,"O, borca batmış."
defined,"tanımlanmış, belirtili, tamlanan",sıfat,B2,,Tom's muscles are well-defined.,Tom'un kasları iyi tanımlanmıştır.
definite,"belirli, belli, mahdut",sıfat,B2,,I have no definite plans.,Kesin planlarım yok.
delayed,"rötarlı, geciktirilmiş, tehirli",sıfat,B2,,Tom's flight was delayed.,Tom'un uçuşu ertelendi.
delicious,"nefis, leziz, lezzetli",sıfat,B2,,I think this is delicious.,Bunun lezzetli olduğunu düşünüyorum.
dependent,"bağımlı, bağımlı kimse, başkasına muhtaç kimse",sıfat,B2,,We're dependent on each other.,Biz birbirimize bağlıyız.
desired,"geçer, arzu edilen, gerekli",sıfat,B2,,We all want to be desired.,Hepimiz arzulanmak istiyoruz.
detailed,"ayrıntılı, detaylı, ayrıntılandırılmış",sıfat,B2,,I expect a detailed report.,Ayrıntılı bir rapor bekliyorum.
developed,"gelişmiş, bayındırlaşmak, bayındır",sıfat,B2,,He developed his own theory.,"O, kendi teorisini geliştirdi."
diagnosed,teşhis edilmiş,sıfat,B2,,Have you ever been diagnosed with HIV?,Hiç HIV tanısı aldınız mı?
dietary,"rejim kuralları, rejim yemeği, perhiz yemeği",sıfat,B2,,The empirical results of the study were remarkably dietary.,Çalışmanın ampirik sonuçlarının son derece rejim kuralları olduğu görüldü.
different,"farklı, değişik, başka",sıfat,B2,,It's all so different.,Onun hepsi çok farklı.
difficult,"çetin, zor, zorlu",sıfat,B2,,It's a difficult job.,Bu zor bir iş.
digital,"dijital, tuş, parmağa ait",sıfat,B2,,Can I borrow your digital camera tonight?,Bu gece senin dijital kameranı ödünç alabilir miyim?
diminish,"azalmak, eksiltmek, hafifletmek",sıfat,B2,"decrease, reduce, lessen, decline",The rights of every man are diminished when the rights of one man are threatened.,"Bir insanın haklarının tehdit edildiğinde, her insanın hakları azaltılır."
direct,"yönlendirmek, yöneltmek, yönetmek",sıfat,B1,,Is it a direct flight?,O bir direkt uçuş mu?
disabled,"engelli, özürlü, etkisiz kılınmış",sıfat,B2,,That poor lady is disabled.,Şu zavallı kadın engelli.
discussed,"görüşülmüş, tartışılmış",sıfat,B2,,I discussed it with Tom.,Onu Tom'la tartıştım.
distant,"uzakta, uzak, mesafeli",sıfat,B2,,Why are you being so distant?,Neden bu kadar samimiyetsiz davranıyorsun?
distinct,"belirgin, seçik, şüphesiz",sıfat,B2,,That's a distinct possibility.,Bu ayrı bir olasılık.
diverse,"çeşit çeşit, türlü, değişik",sıfat,B2,,It is an ethnically diverse school.,"Bu, etnik açıdan farklı bir okul."
domestic,"iç, evcil, hizmetçi",sıfat,B2,,The horse is a domestic animal.,At evcil bir hayvandır.
done,"yapılmış, iyi pişmiş, olmuş",sıfat,B1,,I've done a lot.,Ben çok yaptım.
driving,"sürme, sevk, sürücü",sıfat,B2,,He is bad at driving.,O araba sürmede kötüdür.
due,"vadesi dolmuş, hak vergi, alacak",sıfat,B1,,When is the baby due?,Bebek ne zaman doğacak?
dull,"donuk, sıkıcı, mat",sıfat,B1,,I have a dull ache here.,Burada künt bir ağrım var.
eaten,"yenmiş, yenilmiş",sıfat,B1,,I haven't eaten yet.,Henüz yemek yemedim.
eating,"yeme, yiyim, yemek",sıfat,B1,,I'm eating a pear.,Bir armut yiyorum.
ecologic,"ekolojik, bir çevredeki canlı organizmaların birbirine bağımlılığıyla ifade edilen",sıfat,B2,,The empirical results of the study were remarkably ecologic.,Çalışmanın ampirik sonuçlarının son derece ekolojik olduğu görüldü.
economic,"ekonomik, iktisadi, hesaplı",sıfat,B2,,It doesn't make economic sense.,Ekonomik açıdan anlamsız.
effective,"efektif, etkileyici, etkili",sıfat,B2,,I wasn't very effective.,Çok etkili değildim.
efficient,"etkili, liyakatli, verimli",sıfat,B2,,I think I was efficient.,Sanırım verimliydim.
elevated,"keyifli, yüksek, yüce",sıfat,B2,,The empirical results of the study were remarkably elevated.,Çalışmanın ampirik sonuçlarının son derece keyifli olduğu görüldü.
emotional,"dokunaklı, duygusal, hissi",sıfat,B2,,I was a bit emotional.,Ben biraz duygusaldım.
engaged,"bağlanmış, meşgul, nişanlı",sıfat,B2,,I'm engaged to Tom.,Ben Tom'la nişanlıyım.
enough,"kafi, yeterli, yeter",sıfat,B1,,I hope it's enough.,Umarım o yeterlidir.
entire,"bütün, tüm, tamam",sıfat,B1,,I read the entire book.,Tüm kitabı okudum.
equal,"denk, eşit, muadili olmak",sıfat,B1,,I am not equal to it.,Ben ona uygun değilim.
essential,"ana, esas, esaslı",sıfat,B2,,Food is essential to life.,Gıda yaşam için elzemdir.
establish,"kanıtlamak, kurmak, tesis etmek",sıfat,B2,,Let's establish some ground rules.,Bazı temel kurallar belirleyelim.
european,"avrupalı, frenk, avrupai",sıfat,B2,,Spain is a European country.,İspanya bir Avrupa ülkesidir.
even,"düzgün, düz, pürüzsüz",sıfat,B1,,I won't even try.,Denemeyeceğim bile.
every,"her, bütün, alışılmış",sıfat,B1,,I see it every day.,Onu her gün görüyorum.
evident,"belli, vazıh, açık",sıfat,B2,,It is evident that he did it.,Onun onu yaptığı bellidir.
evolving,"gelişmekte olan, gitgide gelişen, gitgide evrimleşen",sıfat,B2,,The empirical results of the study were remarkably evolving.,Çalışmanın ampirik sonuçlarının son derece gelişmekte olan olduğu görüldü.
excessive,"haddinden fazla, aşırı, aşkın",sıfat,B2,,Excessive honesty can be disastrous.,Aşırı dürüstlük feci olabilir.
executed,"asılı, yapılmış, uygulanmış",sıfat,B2,,He was executed as a spy.,O bir casus olarak idam edildi.
exhausted,"yorgun, tükenmiş, bitik",sıfat,B2,tired,I'm exhausted right now.,Şu anda bitkinim.
exhibited,"sergilenmiş, sergilenen",sıfat,B2,,He exhibited no remorse for his crime.,Suçu için hiç pişmanlık göstermedi.
existed,"mevcut, var olmuş, geçinmiş",sıfat,B2,,I didn't know it existed.,Bunun var olduğunu bilmiyordum.
existing,"mevcut, olma, var olma",sıfat,B2,,They lost faith in the existing system.,Mevcut sisteme inançlarını kaybettiler.
expanding,"genişleyen, tevsi, genişleme",sıfat,B2,,The workers are expanding the road.,İşçiler yolu genişletiyor.
expected,"beklenen, umulan, beklenilen",sıfat,B2,,I think I'm expected.,Sanırım bekleniyorum.
explored,keşfedilmiş,sıfat,B2,,He explored the Amazon jungle.,"O, Amazon ormanını araştırdı."
exquisite,"çok büyük, nazik, seçkin",sıfat,B2,,This is an exquisite little painting.,Bu enfes bir küçük tablodur.
extensive,"yaygın, geniş, kapsamlı",sıfat,B2,,The damage is too extensive.,Zarar çok geniş çaplıdır.
extra,"ekstra, ilave gazete, ilave",sıfat,B1,,This is an extra one.,Bu ilave bir tane.
extreme,"aşırı, aşırı derece, aşırılık",sıfat,B2,,It's a bit extreme.,Bu biraz aşırıdır.
faint,"bayılmak, bayılma, bitkin düşmek",sıfat,B1,,I'm going to faint.,Bayılacağım.
fair,"panayır, fuar, açık tenli",sıfat,B1,,I think it's fair.,Onun adil olduğunu düşünüyorum.
far,"uzak, çok fazla, uzun",sıfat,B1,,I won't go far.,Çok ileri gitmeyeceğim.
fast,"süratli, çabuk, hızlı",sıfat,B1,,I'm a fast eater.,Ben hızlı bir yiyiciyim.
favorite,"favori, gözde, en çok beğenilen",sıfat,B2,,It's Tom's favorite.,"O, Tom'un favorisi."
female,"kadın, dişi, kız",sıfat,B1,,A doe is a female deer.,Dişi geyiğe maral denir.
fertile,"verimli, bereketli, mümbit",sıfat,B2,,He has a fertile imagination.,Onun yaratıcı bir hayal gücü var.
final,"final, nihai, kesin",sıfat,B1,,I guess that's final.,Sanırım bu son.
finished,"tamamlanmış, bitmiş, tamam",sıfat,B2,,I think I'm finished.,Sanırım bitirdim.
firm,"firma, sıkı, sert",sıfat,B1,,It's a solvent firm.,O bir çözücü firması.
flowing,"seyelan, akma, akış",sıfat,B2,,Tears were flowing down her cheeks.,Gözyaşları onun yanaklarından süzülüyordu.
focused,"üzerine odaklanılmış, odaklanmış",sıfat,B2,,I tried to stay focused.,Ben odaklı kalmaya çalıştım.
foggy,"sisli, sersem, bulanık",sıfat,B1,,It's really foggy here.,Burası gerçekten sisli.
following,"taraftarlar, takip etme, izleyen",sıfat,B2,,A dog is following us.,Bir köpek bizi takip ediyor.
forced,"zoraki, mecbur, mecburi",sıfat,B1,,He forced me to go.,Ben gitmek zorundaydım.
fragrant,"kokulu, hoş, rayihalı",sıfat,B2,,These flowers are not only beautiful but also fragrant.,Bu çiçekler sadece güzel değil fakat aynı zamanda güzel kokulu da.
free,"bağımsız, beleş, muaf",sıfat,B1,,I'm a free man.,Ben özgür bir insanım.
fresh,"taze, serinlik, dirilik",sıfat,B1,,I need a fresh start.,Yeni bir başlangıca ihtiyacım var.
fruitful,"bereketli, verimli, artağan",sıfat,B2,,We've had very fruitful discussions.,Çok verimli görüşmeler yaptık.
full,"tok, tam, dolu",sıfat,B1,,I'm full of hope.,Ben umut doluyum.
general,"genel, avam, komutan",sıfat,B2,,That's the general idea.,Bu genel bir fikir.
genetic,"genetik yapı, soyaçekim, kalıtsal",sıfat,B2,,Genetic diversity is a good thing.,Genetik çeşitlilik güzel bir şey.
gigantic,"devasa, cüsseli, çam yarması gibi",sıfat,B2,,She owns a gigantic house.,"O, kocaman bir eve sahip."
global,"küresel, dünya çapında, bütün dünyayı kapsayan",sıfat,B1,,A global crisis is at hand.,Küresel bir kriz yakındır.
gloomy,"kasvetli, hüzün verici, sıkıntılı",sıfat,B1,,Why are you so gloomy?,Neden bu kadar sıkıntılısın?
golden,"altın, altından, itidal",sıfat,B1,,What's the golden rule?,Altın kural nedir?
good,"güzel, hayırlı, iyi",sıfat,B1,,I'm a good boy.,Ben iyi bir çocuğum.
gradual,"kademeli, yavaş, yavaş yavaş olan",sıfat,B2,,The changes have been gradual.,Değişiklikler kademeliydi.
grave,"kabir, mezar, kazımak",sıfat,B1,,This is Tom's grave.,"Bu, Tom'un mezarı."
gray,"ağarmak, ağartmak, gri",sıfat,B1,,My hair's turned gray.,Saçım ağardı.
great,"mükemmel, müthiş, harika",sıfat,B1,,It's a great deal.,Bu harika bir anlaşma.
growing,"gelişen, büyüyen, büyüme",sıfat,B2,,I'm growing a beard.,Sakal bırakıyorum.
grown,"büyümüş, yetişmiş, olmuş",sıfat,B1,,I'm a grown-up.,Ben olgunum.
grownup,yetişkin,sıfat,B2,,The grownups were talking among themselves.,Yetişkinler kendi aralarında konuşuyordu.
half,"yarım, yarı, devre",sıfat,B1,,I'm half your age.,Ben senin yarı yaşındayım.
handled,"yürütülen, kulplu, işlendi",sıfat,B2,,That job was handled by Tom.,O iş Tom tarafından halledildi.
happy,"sevinçli, mutlu, çakırkeyif",sıfat,B1,,I'm a happy man.,Ben mutlu bir adamım.
hard,"çetin, sert, zahmetli",sıfat,B1,,It's hard to do.,Bunu yapmak zor.
having,"sahip olma, sahip olan, -li",sıfat,B1,,I'm having a baby.,Bir çocuk sahibi olacağım.
hazardous,"tehlikeli, riskli, şüpheli",sıfat,B2,,Gusty winds are making travel hazardous for high profile vehicles.,Şiddetli rüzgarlar yüksek profilli araçlar için seyahati tehlikeli yapıyorlar.
healthful,"sağlığa yararlı, yararlı, sıhhatli",sıfat,B2,,The empirical results of the study were remarkably healthful.,Çalışmanın ampirik sonuçlarının son derece sağlığa yararlı olduğu görüldü.
healthy,"sıhhatli, sağlıklı, sağlığa yararlı",sıfat,B2,,I'm fit and healthy.,Ben formda ve sağlıklıyım.
helpful,"yardımsever, faydalı, yararlı",sıfat,B2,,How can I be helpful?,Nasıl yardımcı olabilirim?
helpless,"aciz, çaresiz, miskin",sıfat,B2,,I feel helpless right now.,Şu anda çaresiz hissediyorum.
hidden,"gizli, saklı, kapalı",sıfat,B1,,What's hidden in there?,Orada ne saklı?
high,"yüksek, direnmek, öfkelenmek",sıfat,B1,,He is a little high.,"O, biraz sarhoştur."
historic,"tarihi, evrimsel, önemli",sıfat,B2,,Today is a historic day.,Bugün tarihi bir gün.
holy,"kutsal, kutsal yer, mukaddes",sıfat,B1,,The Holy Roman Empire came to an end in the year 1806.,Kutsal Roma İmparatorluğu 1806 yılında sona erdi.
homeless,"evsiz, evi barkı olmayan, yurtsuz",sıfat,B2,,I'm no longer homeless.,Ben artık evsiz değilim.
hopeless,"umutsuz, ümitsiz, umarsız",sıfat,B2,,I know it's hopeless.,Bunun umutsuz olduğunu biliyorum.
horrible,"berbat, müthiş, kötü",sıfat,B2,,I'm horrible at math.,Matematikte berbatım.
horrified,"dehşete düşmüş, korkmuş, dehşete kapılmış",sıfat,B2,,The empirical results of the study were remarkably horrified.,Çalışmanın ampirik sonuçlarının son derece dehşete düşmüş olduğu görüldü.
hot,"kızgın, ateşli, acı",sıfat,B1,,It's a hot day.,Sıcak bir gün.
huge,"iri, kocaman, devasa",sıfat,B1,,I had a huge dog.,Büyük bir köpeğim var.
humid,"rutubetli, nemli, yaş",sıfat,B1,,It's been hot and humid.,Hava sıcak ve nemli.
ideal,"ülkü, ideal, mefkure",sıfat,B1,,It's ideal for us.,Bizim için idealdir.
ill,"hasta, fenalık, kötülük",sıfat,B1,,He can't be ill.,O hasta olamaz.
immune,"bağışık, bağışık kimse, ayrıcalıklı",sıfat,B1,,I'm immune to smallpox.,Çiçek hastalığına bağışıklığım var.
impatient,"sabırsız, titiz, hoşgörüsüz",sıfat,B2,,Don't be so impatient.,Çok sabırsız olma.
important,"mühim, önemli, gururlu",sıfat,B2,,It's important to me.,Bu benim için önemli.
including,"kapsama, içerme, şamil",sıfat,B2,,There are six people including him.,O dahil altı kişi var.
inclusive,"dahil, şümulu olan, içlemci",sıfat,B2,,The empirical results of the study were remarkably inclusive.,Çalışmanın ampirik sonuçlarının son derece dahil olduğu görüldü.
incurable,"tedavi edilemez kimse, amansız, çaresiz",sıfat,B2,,They say it's incurable.,Bunun tedavi edilemez olduğu söyleniyor.
ingenious,"ustalık, becerikli, maharetli",sıfat,B2,,The ingenious boy won a prize for his invention.,Becerikli genç buluşu için bir ödül kazandı.
inhabited,"meskun, iskan edilmiş, mekün",sıfat,B2,,The region has never been inhabited by people.,Bölgede insanlar hiç yaşamadı.
initial,"ilk harf, baş harf, baştaki",sıfat,B2,,That was my initial thought.,O benim ilk düşüncemdi.
instant,"anlık, esna, dakika",sıfat,B2,,It changed in an instant.,Bir anda değişti.
intense,"yoğun, gergin, istekli",sıfat,B2,,The pain was very intense.,Ağrı çok yoğundu.
intensive,"yoğun, şiddetli, aşırı",sıfat,B2,,The two gunshot victims are in the intensive care unit at a nearby hospital.,İki kurşun mağduru yakındaki bir hastanede yoğun bakım ünitesinde bulunmaktadır.
invented,"icat edilmiş, uydurmasyon, icat edilen",sıfat,B2,,It was invented by Tom.,Bu Tom tarafından icat edildi.
involved,"ilgili, karmaşık, girift",sıfat,B2,,I can't get involved.,Ben karışamam.
irritable,"asabi, titiz, barut gibi",sıfat,B2,,He is always a little irritable in the morning.,"O, her zaman sabahleyin biraz asabidir."
irritated,"sinirli, sinirlendirilmiş, öfkeli",sıfat,B2,,I know you're irritated.,Sinirli olduğunuzu biliyorum.
joyful,"sevinçli, şatır, sevindirici",sıfat,B1,,Christmas is a joyful time.,Noel neşeli bir zamandır.
kind,"tür, çeşit, cins",sıfat,B1,,He's kind to me.,O bana karşı nazik.
knowing,"haberdar, haberi olan, bilen",sıfat,B2,,It was nice knowing you.,Seninle tanışmak güzeldi.
known,"bilinen, bilindik, malum",sıfat,B1,,I've always known it.,Onu her zaman tanıyordum.
large,"iri, geniş, büyük",sıfat,B1,,It's a large one.,Bu büyük biri.
