Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
giving,"verme, bağışlama, hibe",isim,B1,,I'm not giving up.,Ben vazgeçmiyorum.
globe,"küre, küre biçimine getirmek, yeryuvarlağı",isim,B1,,She has traveled all over the globe.,"O, dünyanın her yerinde seyahat etti."
goal,"gaye, erek, gol",isim,B1,,That isn't our goal.,Bizim amacımız o değil.
goat,"teke, keçi, pis",isim,B1,,I want to be a goat.,Ben bir oğlak olmak istiyorum.
going,"gidiş, ayrılış, tempo",isim,B1,,I'm going to go.,Gideceğim.
gold,"altın, servet, altın para",isim,B1,,Here's a gold coin.,İşte altın bir sikke.
goods,"mal, yük, ayniyat",isim,B1,,The goods arrive by sea.,Mallar deniz yoluyla gelir.
grade,"puanlamak, sınıf, rütbe",isim,B1,,I got a bad grade.,Kötü bir not aldım.
ground,"yer, zemin, toprak",isim,B1,,I sat on the ground.,Yere oturdum.
group,"grup, gruplandırmak, toplanmak",isim,B1,,It's Tom's group.,"O, Tom'un grubu."
growth,"büyüme, nema, geliştirme",isim,B1,,High taxes stifle economic growth.,Yüksek vergiler ekonomik büyümeyi engelliyor.
guard,"korumak, nöbetçi, muhafız",isim,B1,,I'm on guard here.,Burada nöbet tutuyorum.
guest,"davetli, konuk, misafir",isim,B1,,I'm Tom's guest.,Ben Tom'un misafiriyim.
guests,"konuklar, misafirler, davetliler",isim,B1,,You'll be my guests.,Benim misafirlerim olacaksınız.
habit,"alışkanlık, huy, yaradılış",isim,B1,,It's a bad habit.,Kötü bir alışkanlık.
habits,"adetler, alışkanlıklar",isim,B1,,Man is a slave to habits.,"İnsan, alışkanlıklarının kölesidir."
handle,"idare etmek, işlemek, ele almak",isim,B1,,I can't handle it.,Ben bunun üstesinden gelemem.
harbor,"barındırmak, liman, beslemek",isim,B1,,The island has a fine harbor.,Adanın güzel bir limanı var.
harms,"sigara içmenin zararları, sigaranın zararları, sigara sağlığa zararlıdır",isim,B1,,Carbon dioxide sometimes harms people.,Karbon dioksit bazen insanlara zarar verir.
hazard,"risk, tehlike, tehlikeye atmak",isim,B1,,That's a safety hazard.,Bu bir güvenlik tehlikesi.
heat,"ısıtmak, sıcaklık, hararet",isim,B1,,I turned on the heat.,Isıyı açtım.
heel,"topuk, topuk pası vermek, topuğunu yere vurarak dansetmek",isim,B1,,She's wearing high heels.,O yüksek topuklu giyiyor.
height,"yükseklik, boy, yükselti",isim,B1,,"Line up by height, please.",Boy sırasına geçin lütfen.
hiding,"dayak, saklama, sopa",isim,B1,,I'm hiding from Tom.,Tom'dan saklanıyorum.
higher,"ileri, daha yüksek, daha yukarı",isim,B1,,I wish I had a higher salary.,Keşke daha yüksek bir maaşım olsaydı.
hiking,"doğa yürüyüşü, günübirlik doğa yürüyüşü, fiyatları yükseltme",isim,B1,,I don't like hiking.,Yürüyüş sevmiyorum.
hinder,"engellemek, engel olmak, aksatmak",isim,B1,,He hindered me in my work.,"O, işimde beni engelledi."
hint,"çıtlatmak, ima etmek, ima",isim,B1,,He gave me a hint.,O bana bir ipucu verdi.
his,"eril onunki, onun, onunki",isim,B1,,He's on his way.,O yolda.
hit,"çarpmak, vurmak, isabet etmek",isim,B1,,I won't hit you.,Sana vurmayacağım.
hole,"çukur, delik, kapanmak",isim,B1,,I fell into a hole.,Bir çukura düştüm.
homes,"moruk, ahbap, evler",isim,B1,,People are losing their homes.,İnsanlar evlerini kaybediyor.
hope,"ummak, umut etmek, ümit etmek",isim,B1,,I hope it's OK.,Umarım tamamdır.
horror,"korku, istikrah, yılgı",isim,B1,,Do you like horror movies?,Korku filmlerini sever misin?
host,"ağırlamak, ev sahibi, sunuculuk yapmak",isim,B1,,Who will host the party?,Partiye kim ev sahipliği yapacak?
hour,"saat, vakit, zaman",isim,B1,,I'm an hour late.,Bir saat geciktim.
hours,"saatler, saat, saatte bir doğrula",isim,B1,,Give me a few hours.,Bana birkaç saat ver.
human,"insan, insani, insanlık",isim,B1,,I'm a human being.,Ben bir insanım.
humor,"mizah, ayak uydurmak, suyuna gitmek",isim,B1,,We'd better humor Tom.,Tom'u neşelendirsek iyi olur.
imp,"bir kuşun uçuş gücünü artırmak için kanat veya kuyruğuna tüy eklemek, kuvvetlendirmek, parça takarak bir tüyü onarmak",isim,B1,,The investigation highlighted the critical role of imp.,Soruşturma bir kuşun uçuş gücünü artırmak için kanat veya kuyruğuna tüy eklemek kavramının kritik rolünü vurguladı.
impact,"darbe, etki, çarpma",isim,B1,,The storm had a bad impact on the crops.,Fırtınanın ürünlerin üzerinde kötü bir etkisi vardı.
infant,"bebek, çocuk, küçük çocuk",isim,B1,,The young woman was carrying an infant in her arms.,Genç kadın kollarında bir bebek taşıyordu.
iq,"zeka düzeyi, zeka katsayısı, ıq",isim,B1,,I don't know my IQ.,Ben zeka düzeyimi bilmiyorum.
iron,"ütülemek, demir, ütü",isim,B1,,Is it made of iron?,Bu demirden mi yapıldı?
issue,"mesele, sorun, yayınlamak",isim,B1,,It's not an issue.,Sorun değil.
issues,sorunlar,isim,B1,,I had issues I had to deal with.,Uğraşmam gereken sorunlarım vardı.
item,"kalem, madde, adet",isim,B1,,What is this item called?,Bu maddeye ne denir?
its,"onun, -in",isim,B1,,It's on its way.,Yolda.
jail,"hapishane, hapis, cezaevi",isim,B1,,I'm now in jail.,Şimdi hapisteyim.
jailer,"gardiyan, zindancı",isim,B1,,The investigation highlighted the critical role of jailer.,Soruşturma gardiyan kavramının kritik rolünü vurguladı.
joke,"komiklik, şaka, espri yapmak",isim,B1,,It's not a joke.,O bir şaka değil.
jungle,"orman, karışıklık, cangıl",isim,B1,,We're not in the jungle.,Biz cangılda değiliz.
keys,"anahtarlar, ana resimler",isim,B1,,I'll get my keys.,Anahtarlarımı alacağım.
kid,"velet, çocuk, küçük çocuk",isim,B1,,I'm a big kid.,Ben büyük bir çocuğum.
kidney,"böbrek, huy, tip",isim,B1,,I need a new kidney.,Yeni bir böbreğe ihtiyacım var.
kids,çocuklar,isim,B1,,I don't have kids.,Çocuklarım yok.
km,"kilometre, km",isim,B1,,"They fly about 35,000 km in eight months.","Onlar sekiz ayda yaklaşık 35,000 km uçarlar."
knives,bıçaklar,isim,B1,,They're armed with knives.,Onlar bıçaklarla silahlanmıştı.
lamb,"kuzu, kuzulamak, kuzu gibi masum ve zayıf kimse",isim,B1,,The wolf killed the lamb.,"Kurt, kuzuyu öldürdü."
ldl,"düşük dansiteli lipoprotein, düşük dansiteli okside lipoprotein, düşük dansiteli lipoprotein kolesterol",isim,B1,,The investigation highlighted the critical role of ldl.,Soruşturma düşük dansiteli lipoprotein kavramının kritik rolünü vurguladı.
lea,"otlak, mera, çayır",isim,B1,,We've got a lead.,Bizim bir kurşunumuz var.
lead,"yol göstermek, rehberlik etmek, sürmek",isim,B1,,We've got a lead.,Bizim bir kurşunumuz var.
leads,"yol açar, sabreden derviş muradına ermiş, aksilikler/sorunlar hep üst üste gelir",isim,B1,,He leads a hectic life.,O telaşlı bir hayat sürüyor.
leaf,"yaprak vermek, yaprak, yapraklanmak",isim,B1,,What's on the leaf?,Yaprağın üzerindeki nedir?
leaves,"kitap yaprağı, yapraklar",isim,B1,,The train leaves at six.,Tren altıda ayrılır.
led,"neden olmuş, çok küçük ampul, ışık yayan diyot",isim,B1,,He led a sober life.,"O, gösterişsiz bir hayat sürdü."
legacy,"miras, kalıt, vasiyetname ile bırakılan mal veya varlık",isim,B1,,The investigation highlighted the critical role of legacy.,Soruşturma miras kavramının kritik rolünü vurguladı.
lesson,"ders, azar, hisse",isim,B1,,Is it the last lesson?,Bu son ders mi?
level,"seviye, düzey, kademe",isim,B1,,The river level is high.,Nehir seviyesi yüksektir.
levels,"sel sınıflama derecesi, çehrenin, yüzün üç basamağı",isim,B1,,My cholesterol levels are high.,Benim kolesterol seviyelerim yüksektir.
life,"yaşam, hayat, can",isim,B1,,I owe him my life.,Ona hayatımı borçluyum.
limit,"sınırlandırmak, kısıtlamak, sınırlamak",isim,B1,,I'm over my limit.,Ben sınırımı aştım.
limits,"çerçeve, hudut hatları, sınırlar",isim,B1,,This area's off limits.,Bu alan yasak bölge.
line,"astarlamak, satır, hat",isim,B1,,I'm next in line.,Ben sırada bir sonrakiyim.
liver,"karaciğer, ciğer, emaye dalgası",isim,B1,,I need a liver transplant.,Karaciğer nakline ihtiyacım var.
longer,"can atan kimse, özlemiş kimse, daha uzun",isim,B1,,I no longer need it.,Artık buna ihtiyacım yok.
looks,görünüş,isim,B1,,It looks OK to me.,Bu bana iyi görünüyor.
lorry,"kamyon, alçak, açık",isim,B1,,The investigation highlighted the critical role of lorry.,Soruşturma kamyon kavramının kritik rolünü vurguladı.
loss,"zarar, kayıp, hasar",isim,B1,,It's a huge loss.,Bu büyük bir kayıp.
lot,"pay, bölüştürmek, taksim etmek",isim,B1,,I do talk a lot.,Ben çok konuşurum.
lower,"düşürmek, alçaltmak, indirmek",isim,B1,,Can you lower the price?,Fiyatı düşürebilir misiniz?
luck,"şans, talih, akyazı",isim,B1,,I'll try my luck.,Ben şansımı deneyeceğim.
lumber,"kereste, ormanda ağaç kesmek, ağaç kesmek",isim,B1,,We need lumber to build a barn.,Ahır inşa etmek için keresteye ihtiyacımız var.
major,"asıl, büyük, başlıca",isim,B1,,This is a major issue.,Bu büyük bir sorun.
makes,"bahaneci, beni öldürmeyen şey beni güçlendirir, başarı aptal insanları bilge gibi gösterir",isim,B1,,It makes me feel old.,Bu beni yaşlı hissettiriyor.
making,"yapma, etme, yapım",isim,B1,,I'm making a list.,Ben bir liste yapıyorum.
male,"erkek, bay, erkek fiş",isim,B1,,Is that dog male or female?,O köpek erkek mi yoksa dişi mi?
