Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
been,"yapılan zararı telafi etmek, yapmıştır, imzalamıştır",fiil,B1,,It's been a week.,Bir hafta oldu.
began,"başlamadan bitmek, dünya kurulduğundan beri, taşlar yerine oturdu işte",fiil,B1,,He began a new life.,"O, yeni bir hayata başladı."
begin,"başlatmak, başlamak, began - begun",fiil,B1,,I'm about to begin.,Başlamak üzereyim.
beware,"çekinmek, sakınmak, gözünü açmak",fiil,B1,,Beware of the double standards.,Çifte standartlara dikkat edin.
bind,"ciltlemek, bağlamak, bound - bound",fiil,B1,,He knows how to bind books.,"O, kitapları nasıl ciltleyeceğini bilir."
bite,"ısırmak, lokma, bit - bitten",fiil,B1,,I won't bite you.,Seni ısırmayacağım.
bleed,"bled - bled, para sızdırmak, yolmak",fiil,B1,,He has a nose bleed.,Onun burnu kanıyor.
blow,"esmek, üflemek, darbe",fiil,B1,,That's a big blow.,Bu büyük bir darbe.
break,"kopmak, kırmak, bozmak",fiil,B1,,I'm on my break.,Ben moladayım.
bring,"getirmek, brought - brought, neden olmak",fiil,B1,,I'll bring it back.,Onu geri getireceğim.
build,"inşa etmek, built - built, yapı yapmak",fiil,B1,,Let's build a fire.,Ateş yakalım.
carry,"taşımak, sürüklemek, elde etmek",fiil,B1,,I can't carry a tune.,Müzik yeteneğim yok.
char,"kömürleşmek, yakarak kömürleştirmek, karbonlaştırmak",fiil,B1,,The research committee agreed to char the proposed methodology.,Araştırma komitesi önerilen metodolojiyi kömürleşmek konusunda mutabık kaldı.
cheat,"kopya çekmek, aldatmak, aldatma",fiil,B1,,You can't cheat fate.,Kaderi aldatamazsın.
choose,"seçmek, chose - chosen, ayırmak",fiil,B1,,It's hard to choose.,Bunu seçmek zor.
climb,"tırmanmak, tırmanış, aşama kaydetmek",fiil,B1,,Don't climb on this!,Buna tırmanma!
cloud,"bulut, karartmak, bozmak",fiil,B1,,I'm on cloud nine.,İçim içime sığmıyor.
come,"gelmek, came - come, gelip dayanmak",fiil,B1,,I'll come by bus.,Otobüsle geleceğim.
convey,"iletmek, geçirmek, ulaştırmak",fiil,B1,,I want to convey my sympathy.,Sempatimi iletmek istiyorum.
could,"-abilirdi, -er misin, -ebilirdi",fiil,B1,,Could I get a hug?,Sarılınabilir miyim?
create,"meydana getirmek, oluşturmak, yaratmak",fiil,B1,,We didn't create it.,Onu biz yaratmadık.
cure,"iyileştirmek, tedavi etmek, çare",fiil,B1,"treat, heal, remedy",Have you found a cure?,Bir çare buldun mu?
damn,"suçu yüklemek, sövmek, lanet etmek",fiil,B1,,The research committee agreed to damn the proposed methodology.,Araştırma komitesi önerilen metodolojiyi suçu yüklemek konusunda mutabık kaldı.
damp,"nem, rutubet, rutubetli",fiil,B1,,My hair is still damp.,Saçım hâlâ nemli.
date,"çıkmak, randevuya çıkmak, zaman",fiil,B1,,It's not a date.,Bu bir randevu değil.
debate,"çekişmek, çekişme, tartışma",fiil,B1,,It was a hot debate.,O sıcak bir tartışmaydı.
decide,"karar vermek, belirlemek, azmetmek",fiil,B1,,I'll let you decide.,Karar vermene izin vereceğim.
defeat,"yenmek, bozguna uğratmak, mağlup etmek",fiil,B1,,You can't defeat me.,Beni yenemezsin.
defend,"savunmak, korumak, kanat açmak",fiil,B1,,I won't defend Tom.,Tom'u savunmayacağım.
define,"tanımlamak, sınırlamak, belirtmek",fiil,B1,,Let's define our terms.,Şartlarımızı tanımlayalım.
delay,"gecikmek, ertelemek, rötar",fiil,B1,,We had a slight delay.,Hafif bir gecikmemiz vardı.
deny,"yalanlamak, inkar etmek, reddetmek",fiil,B1,,I can't deny it.,Bunu inkar edemem.
depend,"bağlı olmak, güvenmek, bağımlı olmak",fiil,B1,,Don't depend on it.,Ona bağlı olma.
detect,"keşfetmek, sezmek, belirlemek",fiil,B1,,I can't detect any pattern.,Ben bir bağlantı kuramadım.
die,"ölmek, vefat etmek, rahmetli olmak",fiil,B1,,Don't die on me.,Üstümde ölme.
do,"etmek, yapmak, did - done",fiil,B1,,I can't do it.,Onu yapamam.
donate,"bağışta bulunmak, bağışlamak, hibe etmek",fiil,B1,,I didn't donate blood.,Kan bağışında bulunmadım.
draw,"karalamak, çekmek, çizmek",fiil,B1,,I didn't draw this.,Bunu ben çizmedim.
drop,"düşmek, düşürmek, düşüş",fiil,B1,decline,I won't drop it.,Onu düşürmeyeceğim.
dwell,"ikamet etmek, dwelt/dwelled - dwelt/dwelled, kalmak",fiil,B1,,I try not to dwell on the past.,Geçmişte yaşamamaya çalışıyorum.
emerge,"ortaya çıkmak, meydana çıkmak, sudur etmek",fiil,B1,,She emerged from the kitchen.,"O, mutfaktan çıktı."
emit,"atmak, yayınlamak, belirtmek",fiil,B1,,The research committee agreed to emit the proposed methodology.,Araştırma komitesi önerilen metodolojiyi atmak konusunda mutabık kaldı.
employ,"işe almak, çalıştırmak, kullanmak",fiil,B1,,They don't employ enough people.,Yeteri kadar insan çalıştırmıyorlar.
ensure,"sağlama almak, sağlamak, garantiye almak",fiil,B1,,I'll do my best to ensure that such mistakes don't occur in the future.,Bu tür hataların gelecekte olmamasını sağlamak için elimden geleni yapacağım.
ever,"durmadan, her zaman, daima",fiil,B1,,Don't ever let go.,Hiç bırakma.
evolve,"evrim geçirmek, yavaş yavaş gelişmek, gelişmek",fiil,B1,,We did not evolve from monkeys. We share a common ancestor.,Biz maymunlardan evrim geçirmedik. Ortak bir atayı paylaşıyoruz.
expand,"yayılmak, genişlemek, genişletmek",fiil,B1,,Can you expand on that?,Onu ayrıntılarıyla açıklayabilir misin?
expect,"ummak, beklemek, ümit etmek",fiil,B1,,I didn't expect it.,Bunu beklemiyordum.
expel,"defetmek, azletmek, çıkarmak",fiil,B1,,The research committee agreed to expel the proposed methodology.,Araştırma komitesi önerilen metodolojiyi defetmek konusunda mutabık kaldı.
extend,"sunmak, genişletmek, uzatmak",fiil,B1,,Can I extend my stay?,Kalışımı uzatabilir miyim?
fall,"inmek, düşmek, güz",fiil,B1,,I didn't fall down.,Ben düşmedim.
feel,"hissetmek, felt - felt, sezmek",fiil,B1,,I can't feel it.,Bunu hissedemiyorum.
find,"bulmak, found - found, rastlamak",fiil,B1,,I can't find it.,Onu bulamıyorum.
fire,"ateşlemek, kovmak, yangın",fiil,B1,,I can't fire Tom.,Tom'u işten kovamam.
first,"birinci, ilk, önce",fiil,B1,,I'll go in first.,İlk olarak ben gideceğim.
fog,"sis, donuklaşmak, sis kaplamak",fiil,B1,,The fog's very dense.,Sis çok yoğun.
found,"kurmak, tesis etmek, kalıba dökmek",fiil,B1,,I've found a job.,Ben bir iş buldum.
fuel,"yakıt, yakıt sağlamak, yakmak",fiil,B1,,I ran out of fuel.,Yakıtım bitti.
fuse,"eritmek, fünye, sigorta",fiil,B1,,We've blown a fuse.,Bir sigortayı patlattık.
get,"elde etmek, almak, kazanmak",fiil,B1,,I can't get in.,İçeri giremiyorum.
give,"vermek, gave - given, bahşetmek",fiil,B1,,I can't give up.,Vazgeçemem.
glow,"korlaşmak, parıltı, coşmak",fiil,B1,,You could see the glow of the fire for miles.,Ateşin parıltısını millerce görebildiniz.
go,"hareket etmek, gitmek, went - gone",fiil,B1,,I can't go on.,Ben devam edemem.
goats,"davar, küçükbaş, iyiyi ve kötüyü birbirinden ayırmak",fiil,B1,,We're selling our goats.,Keçilerimizi satıyoruz.
goes,"sözü vermek, peşin parayla alışveriş etmek, geniş bir alanı kapsamak",fiil,B1,,I hope it goes OK.,Onun iyi gittiğini umuyorum.
govern,"kontrol etmek, kullanmak, frenlemek",fiil,B1,,They wanted the right to govern themselves.,Kendilerini yönetme hakkı istediler.
grew,"olmak, yaşlandıkça, bu civarda büyüdüm",fiil,B1,,I grew up with Tom.,Tom'la birlikte büyüdüm.
grow,"yetişmek, büyümek, grew - grown",fiil,B1,,You need to grow up.,Büyümelisin.
guess,"tahmin etmek, tahmin, sanmak",fiil,B1,,I guess it's OK.,Sanırım bu tamam.
had,"have fiilinin ikinci hali, kandırılmış",fiil,B1,,I had to do it.,Onu yapmak zorunda kaldım.
harm,"zarar, zeval vermek, kötülük yapmak",fiil,B1,,I won't harm you.,Sana zarar vermeyeceğim.
has,sahip olmak,fiil,B1,,He has a hat on.,Kafasında bir şapkası vardı.
have,"sahip olmak, had - had, elinde tutmak",fiil,B1,,I have a Ph.D.,Doktora derecem var.
heal,"şifa bulmak, iyileştirmek, defetmek",fiil,B1,"cure, treat, recover",It's going to heal.,Bu iyileşecek.
here,"burada, buraya, burda",fiil,B1,,I won't be here.,Burada olmayacağım.
hide,"saklamak, gizlemek, saklanmak",fiil,B1,,I'll hide in here.,Burada saklanacağım
hike,"yürüyüşe çıkmak, yükseltmek, kaldırmak",fiil,B1,,We're going on a hike.,Yürüyüşe çıkıyoruz.
hold,"sahip olmak, zaptetmek, düzenlemek",fiil,B1,,I can't hold it.,Onu tutamam.
hop,"sekmek, dans etmek, şerbetçiotu yetiştirmek",fiil,B1,,Hop in. I'll give you a ride.,Atla. Seni arabayla götüreceğim.
hurt,"acımak, incitmek, yaralamak",fiil,B1,,I can't hurt Tom.,Ben Tom'a zarar veremem.
intend,"niyet etmek, demek istemek, niyeti olmak",fiil,B1,,I intend to do so.,Ben öyle yapmak niyetindeyim.
invent,"icat etmek, yumurtlamak, düzmek",fiil,B1,,We should invent a secret language.,Gizli bir dil icat etmemiz gerek.
invest,"yatırım yapmak, birine yetki vermek, yetki vermek",fiil,B1,,We must invest in our future.,Geleceğimize yatırım yapmalıyız.
is,"olmak, -dir, -dır",fiil,B1,,He is a bad boy.,O kötü bir çocuk.
join,"birleştirmek, katılmak, katmak",fiil,B1,,I can't join you.,Size katılamam.
jokes,"şaka yapmak, fıkra anlatmak, şakalar yapmak",fiil,B1,,I like Tom's jokes.,Tom'un şakaları severim.
jump,"sıçramak, zıplamak, atlamak",fiil,B1,,I'm going to jump.,Atlayacağım.
just,"sadece, adil, yalnızca",fiil,B1,,I'm just a boy.,Ben sadece bir çocuğum.
keep,"tutmak, saklamak, kept - kept",fiil,B1,,I can't keep it.,Bunu saklayamam.
kill,"katletmek, öldürmek, öldürme",fiil,B1,,I won't kill you.,Seni öldürmeyeceğim.
knows,"tanışık çıkmak, tanış çıkmak, allah bilir!",fiil,B1,,He knows who I am.,Kim olduğumu biliyor.
last,"sonuncu, son, tutunmak",fiil,B1,,I want to be last.,Ben sonuncu olmak istiyorum.
laugh,"gülmek, gülme, gülüş",fiil,B1,,Don't laugh at me.,Bana gülme.
launch,"başlatmak, piyasaya sürmek, fırlatmak",fiil,B1,,The probe launch was successful.,Uydu fırlatılışı başarılıydı.
lay,"sermek, laid - laid, kurmak",fiil,B1,,I lay on my bed.,Yatağımda uzandım.
leave,"bırakmak, ayrılmak, terk etmek",fiil,B1,,I can't leave Tom.,Tom'u terk edemem.
lessen,"eksiltmek, hafifletmek, eksilmek",fiil,B1,diminish,The pain has lessened a little.,Acı biraz azaldı.
let,"izin vermek, let - let, vermek",fiil,B1,,Let's go on in.,Evde devam edelim.
let's,"coşmak, haber vermek, izin vermek",fiil,B1,,The research committee agreed to let's the proposed methodology.,Araştırma komitesi önerilen metodolojiyi coşmak konusunda mutabık kaldı.
locate,"yerini saptamak, yerini bulmak, yerini tespit etmek",fiil,B1,,We couldn't locate Tom.,Tom'u bulamadık.
long,"uzun, hasretini çekmek, susamak",fiil,B1,,I won't be long.,Yakında döneceğim.
look,"bakmak, görünüş, bakış",fiil,B1,,I've had a look.,Bakıverdim.
lose,"kaybetmek, yitirmek, lost - lost",fiil,B1,,I won't lose it.,Onu kaybetmeyeceğim.
lots,"bir sürü, adçekmek, kura çekmek",fiil,B1,,It was lots of fun.,O çok eğlenceliydi.
love,"sevmek, sevda, aşk",fiil,B1,,I'd love to go.,Gitmek istiyorum.
make,"yapmak, made - made, katetmek",fiil,B1,,I can't make it.,Ben onu yapamam.
manage,"işletmek, idare etmek, yönetmek",fiil,B1,,I think I'll manage.,Becereceğimi sanıyorum.
maybe,"belki, belki de, haydi",fiil,B1,,Maybe it's a fake.,Belki o bir taklit.
melt,"eritmek, erimek, ergitmek",fiil,B1,,The snow has begun to melt.,Kar erimeye başladı.
might,"mümkün olmak, olası olmak, -abilir",fiil,B1,,It might be a trap.,O bir tuzak olabilir.
misuse,"suistimal etmek, istismar etmek, hatalı kullanmak",fiil,B1,,It's a blatant misuse of public money.,Bu halkın parasını çarçur etmekten başka bir şey değil.
mix,"karıştırmak, karışım, karışmak",fiil,B1,,Don't mix me up.,Beni karıştırmayın.
more,"daha fazla, daha, fazla şey",fiil,B1,,I'll say no more.,Ben artık söylemiyeceğim.
much,"fazla, çok, çok şey",fiil,B1,,I don't do much.,Ben fazla yapmam.
noise,"ses, gürültü, gürültü etmek",fiil,B1,,Don't make a noise.,Gürültü yapmayın.
not,"olumsuzluk, hükümsüzlük, gayri",fiil,B1,,I'm not a cop.,Ben bir polis değilim.
now,"şimdi, şu anda, şimdiki zaman",fiil,B1,,I'm a man now.,Ben artık bir erkeğim.
obtain,"edinmek, elde etmek, almak",fiil,B1,,It was easy to obtain.,Onu elde etmek kolaydı.
only,"tek, sırf, yalnızca",fiil,B1,,I'm only a man.,Ben sadece bir insanım.
ought,"gerekli, lazım, gerekir",fiil,B1,,I ought to go now.,Şimdi gitmek zorundayım.
own,"sahip olmak, kendi, itiraf etmek",fiil,B1,,I'm on my own.,Ben kendi başımayım.
pass,"geçirmek, geçmek, geçiş izni",fiil,B1,,We'll pass it on.,Onu vereceğiz.
patrol,"devriye, devriye gezmek, kol gezmek",fiil,B1,,I'm the patrol leader.,Ben devriye lideriyim.
pave,"döşemek, asfalt kaplamak, kaldırım döşemek",fiil,B1,,The street is paved with asphalt.,Cadde asfalt ile kaplanmıştır.
pay,"ödemek, ödeme, ücret",fiil,B1,,I can't pay Tom.,Tom'a para ödeyemem.
please,"memnun etmek, lütfen, gönlünü hoş etmek",fiil,B1,,I'm easy to please.,Beni memnun etmek kolaydır.
prove,"kanıtlamak, ispat etmek, proved - proven/proved",fiil,B1,,I can't prove it.,Onu ispat edemem.
push,"itelemek, itmek, kakmak",fiil,B1,,Let's not push it.,Onu itmeyelim.
put,"koymak, put - put, hamletmek",fiil,B1,,I put on a tie.,Bir kravat taktım.
quite,"epeyce, pek, epey",fiil,B1,,It's quite a mess.,Büyük bir karışıklık oldu.
reach,"ulaşmak, ermek, erişmek",fiil,B1,,I can't reach it.,Ben ona ulaşamam.
react,"tepki göstermek, tepkimek, tepki vermek",fiil,B1,,I tried not to react.,Ben tepki göstermemeye çalıştım.
reduce,"dönüştürmek, kısmak, kırmak",fiil,B1,diminish,He was able to reduce taxes.,"O, vergileri azaltabildi."
reform,"reform yapmak, yeniden düzenlemek, adam olmak",fiil,B1,,The new law was a major reform.,Yeni yasa büyük bir reformdu.
refuse,"geri çevirmek, reddetmek, imtina etmek",fiil,B1,,I refuse to do it.,Ben onu yapmayı reddediyorum.
rehab,"rehabilitasyon, rehabilite etmek, iyileştirmek",fiil,B1,,I don't want to go to rehab.,Rehabilitasyona gitmek istemiyorum.
reject,"geri çevirmek, reddetmek, kabul etmemek",fiil,B1,,He got them to reject it.,O onlara onu geri çevirtti.
relax,"rahatlamak, rahatlatmak, dinlenmek",fiil,B1,,I've got to relax.,Rahatlamalıyım.
rely,"güvenmek, dayanmak, inanmak",fiil,B1,,Can I rely on you?,Sana güvenebilir miyim?
remain,"geriye kalmak, kalmak, artmak",fiil,B1,,I will remain at home.,Evde kalacağım.
repeat,"yinelemek, tekrarlamak, yenilemek",fiil,B1,,I have to repeat it.,Onu tekrarlamam gerekiyor.
repel,"püskürtmek, geçirmemek, itelemek",fiil,B1,,The scent of cedar repels moths.,Sedir kokusu güveleri iter.
reside,"ikamet etmek, oturmak, -e dayanmak",fiil,B1,,She resides in New York.,"O, New York'ta oturmaktadır."
rise,"doğmak, yükselmek, yükseliş",fiil,B1,,My cake didn't rise.,Benim kekim kabarmadı.
rout,"bozgun, tarumar etmek, darmadağın etmek",fiil,B1,,The research committee agreed to rout the proposed methodology.,Araştırma komitesi önerilen metodolojiyi bozgun konusunda mutabık kaldı.
say,"söylemek, demek, said - said",fiil,B1,,I say it's OK.,Bunun tamam olduğunu söylüyorum.
scan,"taramak, görüntülemek, incelemek",fiil,B1,,I have to be honest. I was a little bit nervous the first time I had an MRI scan.,Dürüst olmak zorundayım. Ben bir MRI taraması ilk yaptırdığım zaman biraz sinirliydim.
scare,"ürkütmek, korkutmak, ödünü koparmak",fiil,B1,,You can't scare me.,Beni korkutamazsın.
search,"araştırmak, aramak, araştırma",fiil,B1,,I knew where to search.,Nerede arayacağımı biliyordum.
secure,"sağlamlaştırmak, güvenceye almak, elde etmek",fiil,B1,,How secure is my job?,İşim ne kadar güvende?
sedate,"sakinleştirmek, yatıştırmak, yatıştırıcı vermek",fiil,B1,,I've never been sedated before.,Bana daha önce hiç yatıştırıcı verilmedi.
seem,"gözükmek, görünmek, gelmek",fiil,B1,,I seem to be lost.,Kaybolmuş gibi görünüyorum.
seems,"sanki, göründüğü gibi olmamak, görünüşe göre",fiil,B1,,He seems to be rich.,O zengin gibi görünüyor.
send,"yollamak, göndermek, sent - sent",fiil,B1,,I'll send for you.,Senin için göndereceğim.
serve,"hizmet etmek, tapmak, yaramak",fiil,B1,,How may I serve you?,Size nasıl hizmet edebilirim?
set,"kurmak, set, takım",fiil,B1,,Let's set a date.,Bir tarih belirleyelim.
should,"gerekmek, -malı, -meli",fiil,B1,,I should be in bed.,Yatakta olmam gerekir.
sip,"yudumlamak, yudum, çekmek",fiil,B1,,Can I have a sip?,Bir yudum alabilir miyim?
skies,"göklere çıkarmak, birini aşırı derecede övmek, öve öve bitirememek",fiil,B1,,The skies won't be clear.,Gökyüzü açık olmayacak.
skip,"atlamak, sekmek, atlama",fiil,B1,,Don't skip this step.,Bu adımı atlama.
smell,"koklamak, kokmak, koku",fiil,B1,,What's it smell like?,O nasıl kokuyor?
smile,"gülümsemek, gülücük yapmak, tebessüm etmek",fiil,B1,,I love Tom's smile.,Tom'un gülümsemesini seviyorum.
smoke,"sigara içmek, duman, duman tütmek",fiil,B1,,Don't smoke in bed.,Yatakta sigara içme.
solve,"çözmek, halletmek, çözümlemek",fiil,B1,,I just can't solve it.,Sadece onu çözemiyorum.
spite,"rahatsız etmek, nispet vermek, zarar vermek",fiil,B1,,Did you do it out of spite?,Bunu inadına mı yaptın?
stand,"geçerli olmak, katlanmak, ayakta durmak",fiil,B1,,I can't stand it.,Ona katlanamıyorum.
start,"başlamak, başlatmak, başlangıç",fiil,B1,,It'll be a start.,Bu bir başlangıç olacak.
state,"belirtmek, ifade etmek, devlet",fiil,B1,,He's in a bad state.,O hapı yuttu.
stick,"saplamak, batırmak, yapışmak",fiil,B1,,Hit it with a stick.,Ona bir sopayla vur.
still,"durgun, hareketsiz, hala",fiil,B1,,I'm still a kid.,Ben hâlâ bir çocuğum.
take,"almak, çekmek, götürmek",fiil,B1,,I didn't take it.,Onu almadım.
tell,"haber vermek, söylemek, anlatmak",fiil,B1,,Do as I tell you.,Sana söylediğim gibi yap.
tend,"eğilimi olmak, yüz tutmak, yol açmak",fiil,B1,,I tend to be lazy.,Tembel olmaya eğilimliyim.
test,"sınamak, test, sınav",fiil,B1,,We need to test it.,Onu test etmeliyiz.
then,"o zamanlar, o zamanki, o zamanın",fiil,B1,,I was a baby then.,Ben o zaman bebektim.
there,"oraya, orada, ora",fiil,B1,,I can't go there.,Oraya gidemem.
think,"sanmak, düşünmek, thought - thought",fiil,B1,,I think I'm OK.,Sanırım iyiyim.
today,"bugün, içinde bulunulan dönem, zamane",fiil,B1,,Can I do it today?,Onu bugün yapabilir miyim?
too,"gereğinden çok, çok, aşırı",fiil,B1,,"I'll do it, too.",Ben de onu yapacağım.
treat,"davranmak, işlemek, muamele etmek",fiil,B1,"cure, heal, medicate",I got you a treat.,Sana bir ikramım var.
trek,"göçmek, öküz arabasıyla yol almak, kağnı ile gitmek",fiil,B1,,What's your favorite Star Trek episode?,Favori Star Trek bölümünüz hangisidir?
try,"denemek, deneme, yoklamak",fiil,B1,,Can I try it on?,Onu deneyebilir miyim?
turn,"dönmek, döndürmek, çevirmek",fiil,B1,,I made a U-turn.,U dönüşü yaptım.
unite,"birleşmek, birleştirmek, raptetmek",fiil,B1,,The two companies plan to unite.,İki şirket birleşmeyi planlıyor.
urge,"dürtü, dürtmek, ısrar etmek",fiil,B1,,We urge you to be patient.,Sabırlı olmanı ısrarla tavsiye ediyoruz.
verify,"doğrulamak, soruşturmak, kanıtlamak",fiil,B1,,We have no way to verify this.,Bunu doğrulamak için hiçbir yöntemimiz yok.
want,"istemek, istek, isteklenmek",fiil,B1,,I don't want it.,Ben onu istemiyorum.
was,"aynen bırakmak, doğduğuna pişman olmak, laf ağzında kalmak",fiil,B1,,I was in a coma.,Ben komadaydım.
went,gitmenin  2. hali,fiil,B1,,I'm glad I went.,Gittiğime memnun oldum.
were,"bölgeden yer yer çatışma haberleri gelmek, alınan kararlar, adeta",fiil,B1,,I knew you were OK.,İyi olduğunu biliyordum.
why,"neden, niçin, niye",fiil,B1,,Why can't I go?,Neden gidemem?
wind,"sarmak, dolamak, yel",fiil,B1,,A cold wind blew in.,Evde soğuk bir rüzgar esti.
worry,"endişelenmek, üzülmek, merak etmek",fiil,B1,,I try not to worry.,Üzülmemeye çalışıyorum.
wound,"yaralamak, yara, vurmak",fiil,B1,,Is the wound very deep?,Yara çok derin mi?
