Ana Klasör,Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,accomplishment,"başarma, becerme, başarılan iş",isim,C1,,It's a great accomplishment.,Bu büyük bir başarı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,according,"uyma, binaenaleyh, uyarak",isim,B2,,It all went according to plan.,Onun hepsi plana göre gitti.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,account,"hesap, açıklamasını yapmak, avlamak",isim,B2,,Put it on my account.,Bunu benim hesabıma yatır.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,accurate,"doğru, kesin, dakik",fiil,B2,,I hope this is accurate.,İnşallah bu doğrudur.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,accuse,"suçlamak, itham etmek, suçlamada bulunmak",fiil,B1,,Don't accuse him of that.,Onu onunla suçlama.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,accused,"zanlı, sanık, suçlu",sıfat,B2,,He is accused of murder.,O cinayetle suçlanıyor.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,achievement,"başarı, eser, edinim",isim,C1,,It's a big achievement.,O büyük bir başarı.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,acquire,"elde etmek, edinmek, iktisap etmek",fiil,B2,,It's very difficult to acquire.,Kazanmak çok zordur.
Kütüphane: Bağlaçlar & Edatlar,Zaman ve Süreç Edatları,across,"karşıya, aşırı, karşı karşıya",edat,B1,,I cut across the park.,Parka kestirmeden gittim.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,act,"davranmak, hareket etmek, eylem",isim,B1,,It's all an act.,Hepsi numara.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,action,"çalışma, davranış, aksiyon",isim,B1,,It's time for action.,Eylem zamanı.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),actively,"bilfiil, aktif olarak, etkin bir şekilde",zarf,B2,,The empirical results of the study were remarkably actively.,Çalışmanın ampirik sonuçlarının son derece bilfiil olduğu görüldü.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,activists,"siyasal eylemciler, hayvan hakları savunucuları",isim,B2,,The activists deny the accusations.,Eylemciler suçlamaları reddediyor.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,activities,"icraat, aktiviteler, etkinlikler",isim,C1,,I'm fully aware of Tom's activities.,Tom'un faaliyetlerinin tamamen farkındayım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,activity,"etkinlik, faaliyet, meşguliyet",isim,B2,,This is a fun activity.,"Bu, eğlenceli bir aktivite."
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,adapt,"adapte etmek, uyarlamak, uymak",fiil,B1,,You just have to adapt.,Sadece uyarlamak zorundasın.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,adaptable,"uyabilen, uyumlu, yeni koşullara uyarlanabilen",sıfat,B2,,The empirical results of the study were remarkably adaptable.,Çalışmanın ampirik sonuçlarının son derece uyabilen olduğu görüldü.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,adaptive,"uyarlanır, uyabilen, uyar",sıfat,B2,,The empirical results of the study were remarkably adaptive.,Çalışmanın ampirik sonuçlarının son derece uyarlanır olduğu görüldü.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,add,"toplamak, eklemek, ilave etmek",fiil,B1,,Add it to my bill.,Hesabıma ekle.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,added,"munzam, katma, ekli",sıfat,B1,,He added to his savings.,"O, birikimlerini topladı."
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,adding,"ekleme, cemi, izafe",isim,B1,,I'm adding the last touch.,Son rötuşları yapıyorum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,addition,"ek, ilave, toplama",isim,B2,,Do you need anything in addition?,Buna ek olarak bir şeye ihtiyacın var mı?
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,additional,"fazladan, ek, ilave",sıfat,C1,,There is an additional problem.,Ek bir sorun var.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,addressing,"retorik, sesleniş, hitabet",isim,C1,,He always talks as though he were addressing a public meeting.,O her zaman halka açık bir toplantıya sesleniyor gibi konuşur.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,adequate,"yeterli, kafi, elverişli",fiil,B2,,I don't consider that adequate.,Bunun yeterli olduğunu düşünmüyorum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,adjust,"ayarlamak, hizaya getirmek, uydurmak",fiil,B1,,We had to adjust everything.,Her şeyi ayarlamak zorunda kaldık.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,adjustable,"ayarlı, ayarlanır, ayarlanabilir",sıfat,C1,,The empirical results of the study were remarkably adjustable.,Çalışmanın ampirik sonuçlarının son derece ayarlı olduğu görüldü.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,admin,"yönetici, idare, yönetim",isim,B1,,The investigation highlighted the critical role of admin.,Soruşturma yönetici kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,administer,"yönetmek, idare etmek, tatbik etmek",isim,C1,,He administered his friend's affairs.,"O, arkadaşlarının işlerini idare etti."
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",administration,"yönetim, idare, yerine getirme",isim,C1,,Give the administration a chance.,Yönetime bir şans ver.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,admit,"itiraf etmek, kabul etmek, almak",fiil,B1,,I admit I do that.,Bunu yaptığımı kabul ediyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,admitted,"kabul edilen, kabul edilmiş, herkesçe bilinen",sıfat,B2,,I admitted I did it.,Bunu yaptığımı itiraf ettim.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,adolescence,"ergenlik çağı, ergenlik, büyüme çağı",isim,C1,,The investigation highlighted the critical role of adolescence.,Soruşturma ergenlik çağı kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,adolescent,"ergen, gençlik, genç",sıfat,C1,,The audience were mostly adolescents.,Seyirciler genellikle gençti.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,adult,"yetişkin, er kişi, yetişkin kişi",sıfat,B1,,I'm an adult now.,Artık bir yetişkinim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,adult's,"yetişkin, yetişkin gözetiminde bulunmak, yetişkin gözetiminde olmak",isim,B2,,The investigation highlighted the critical role of adult's.,Soruşturma yetişkin kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,adulthood,"erişkinlik dönemi, erginlik, yetişkinlik",isim,B2,,The investigation highlighted the critical role of adulthood.,Soruşturma erişkinlik dönemi kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,advance,"terfi ettirmek, avans vermek, geliştirmek",isim,B2,,We knew that in advance.,Biz önceden biliyorduk.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,advancement,"ilerleme, yükselme, gelişme",isim,C1,,Does this job offer opportunities for advancement?,"Bu iş, ilerleme için fırsatlar sunuyor mu?"
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,advancements,teknolojik gelişmeler,isim,C1,,The investigation highlighted the critical role of advancements.,Soruşturma teknolojik gelişmeler kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,advances,"avanslar, arkadaşlık teklifleri, göze girmek için yapılan öneriler",isim,B2,,Recent advances in medicine are remarkable.,Tıptaki son gelişmeler dikkat çekiyor.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,adverse,"olumsuz, aksi, ters",sıfat,B2,,Is there any adverse reaction?,Herhangi bir olumsuz reaksiyon var mı?
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,advice,"nasihat, tavsiye, öğüt",isim,B1,,I took Tom's advice.,Tom'un tavsiyesini aldım.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,advise,"öğütlemek, öğüt vermek, nasihat etmek",fiil,B1,,I advise you to wait.,Beklemenizi tavsiye ederim.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,advocate,"avukat, desteklemek, müdafaa etmek",fiil,B2,,I'm playing the devil's advocate.,Ben şeytanın avukatını oynuyorum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,affect,"etkilemek, tesir etmek, gibi davranmak",fiil,B1,,That doesn't affect me.,Bu beni etkilemiyor.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,affluent,"ırmak ayağı, bir nehrin ayağı, gürül gürül akan",sıfat,B2,,The empirical results of the study were remarkably affluent.,Çalışmanın ampirik sonuçlarının son derece ırmak ayağı olduğu görüldü.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,affordable,"bütçeye uygun, ekonomik, düşük maliyetli",sıfat,C1,,We want to make it affordable.,Bunu satın alınabilir yapmak istiyoruz.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,africa,afrika,isim,B1,,He was born in Africa.,O Afrika'da doğdu.
Kütüphane: Bağlaçlar & Edatlar,Zaman ve Süreç Edatları,after,"sonra, öğleden sonra, sonra gelen",edat,B1,,He is after a job.,"O, iş arıyor."
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,against,"aykırı, karşı, ters olarak",edat,B2,,I'm against the war.,Savaşa karşıyım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,age,"yaş, çağ, devir",isim,B1,,He is just my age.,O tam benim yaşımda.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,ages,"uzun süre, uzun zaman, asırlar",isim,B1,,I did that ages ago.,Onu uzun süre önce yaptım.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,ago,"evvel, önce, eskiden",fiil,B1,,It is too long ago.,Çok uzun zaman öncedir.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,agree,"aynı fikirde olmak, anlaşmak, razı olmak",fiil,B1,,I'm glad we agree.,Anlaştığımıza memnun oldum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,aid,"yardım etmek, yardım, yardımcı olmak",isim,B1,,She came to my aid.,Benim yardımıma geldi.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,aim,"amaçlamak, hedeflemek, nişan almak",isim,B1,,I aim to be a writer.,Ben bir yazar olmayı hedefliyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,air,"havalandırmak, yayına girmek, hava",isim,B1,,We're on the air.,Canlı yayındayız.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,airbus,"uçak, kısa mesafelerde çok sayıda yolcu taşımak üzere tasarlanmış uçak, jet yolcu uçağı",isim,B1,,The investigation highlighted the critical role of airbus.,Soruşturma uçak kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,aircraft,"uçak, uçaklar, hava taşıtı",isim,B2,,One of the aircraft's engines cut out.,Uçağın motorlarından biri durdu.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,airless,"havasız, boğucu, sakin",sıfat,B2,,The empirical results of the study were remarkably airless.,Çalışmanın ampirik sonuçlarının son derece havasız olduğu görüldü.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,airline,"hava yolu, havayolu, düz hat",isim,B2,,Which airline do you work for?,Hangi hava yolu için çalışıyorsun?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,airplane,"uçak, tayyare, teyyare",isim,B2,,Can you fly an airplane?,Bir uçağı uçurabilir misin?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,airplanes,uçaklar,isim,B2,,Can you sleep on airplanes?,Uçaklarda uyuyabilir misin?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,airport,"havalimanı, havaalanı, hava limanı",isim,B2,,I'm at the airport.,Havaalanındayım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,alcohol,"alkol, ispirto, içki",isim,B2,,I can't drink alcohol.,Alkol içemem.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,all,"tüm, bütün, hepsi",sıfat,B1,,I'm all for it.,Ben tamamen destekliyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,allied,"bağlaşık, müttefik, birbirine bağlı",sıfat,B1,,Germany was once allied with Italy.,Almanya bir zamanlar İtalya ile müttefikti.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,allow,"izin vermek, müsaade etmek, kabul etmek",fiil,B1,,I can't allow it.,Buna izin veremem.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,allowing,izin verilen,sıfat,B2,,I'm allowing you to go.,Gitmene izin veriyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,alone,"yalnız, bir, kimsesiz",sıfat,B1,,I can't go alone.,Tek başıma gidemem.
Kütüphane: Bağlaçlar & Edatlar,Zaman ve Süreç Edatları,along,"boyunca, yanında, yanına",edat,B1,,I'll be along soon.,Yakında birlikte olacağız.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,alongside,"yanına, yanı sıra, yan yana",fiil,B2,,The two houses stand alongside of each other.,İki ev yan yana duruyor.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,already,"zaten, çoktan, halihazırda",fiil,B2,,I'm already on it.,Ben zaten onun üzerindeyim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,also,"ayrıca, yine, da",fiil,B1,,I also have a son.,Benim ayrıca bir oğlum var.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,alter,"değiştirmek, değişiklik yapmak, hadım etmek",isim,B1,,We must alter our plan.,Planımızı değiştirmeliyiz.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,alteration,"değişiklik, değişim, değiştirme",isim,C1,,The investigation highlighted the critical role of alteration.,Soruşturma değişiklik kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,alternative,"alternatif, çare, şık",sıfat,C1,,We've got no alternative.,Hiç alternatifimiz yok.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,alternatives,"çareler, seçenekler, seçilebilecek yollar",isim,C1,,Let's look at alternatives.,Alternatiflere bakalım.
Kütüphane: Bağlaçlar & Edatlar,Zıtlık ve Karşılaştırma,although,"her ne kadar, rağmen, gerçi",bağlaç,B2,,"Although it is snowing, I must go.",Kar yağmasına rağmen gitmek zorundayım.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,am,"olmak, birleşmek, birleştirmek",fiil,B1,,I am who I am.,Ben neysem oyum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,amb,"amb, büyükelçi, ambulans",isim,B1,,The investigation highlighted the critical role of amb.,Soruşturma amb kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,american,"amerikan, amerikalı, amerika",isim,B2,,He must be an American.,O bir Amerikalı olmalı.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,among,"arasına, arasında, içinde",edat,B1,,He is popular among us.,"O, aramızda popülerdir."
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,amount,"miktar, tutar, meblağ",isim,B1,,It's a large amount.,O büyük bir miktar.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,amuse,"eğlendirmek, oyalamak, güldürmek",fiil,B1,,That amuses me very much.,Bu beni çok eğlendiriyor.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,amused,"memnuniyet içinde, mutlu, eğlenen",sıfat,B1,,The joke amused the audience.,Espri seyirciyi eğlendirdi.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,amusement,"eğlendiren oyun veya uğraş, oyalanma, eğlenme",isim,B2,,Reading is his chief amusement.,Okumak onun baş eğlencesidir.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,amusing,"eğlenceli, zevkli, komik",sıfat,B2,,I found her very amusing.,Ben onu çok eğlenceli buldum.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",an,"bir, hollanda antilleri, anabatik rüzgar",isim,B1,,I'm an ex-con.,Ben eski bir mahkumum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,analysis,"çözümleme, analiz, tahlil",isim,B2,,The analysis is very clear.,Analiz çok açık.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,analyst,"çözümlemeci, analist, araştırmacı",isim,B2,"researcher, scientist, examiner",You have an excellent analyst.,Mükemmel bir analistin var.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,analyze,"incelemek, çözümlemek, analiz etmek",fiil,B2,,Let's analyze the facts.,Gerçekleri analiz edelim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,ancient,"antik, çok yaşlı kimse, uzun zaman önce yaşamış kimse",sıfat,B2,,This is an ancient law.,Bu eski bir yasadır.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,and,"ile, ve, ek şart",bağlaç,A1,,I'll go and see.,Gideceğim ve göreceğim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,animal,"hayvan, yetenekli kimse, izbandut gibi adam",sıfat,B1,,I'm a party animal.,Ben parti hayvanıyım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,anomalies,"anormallikler, aykırılıklar, kural dışı durumlar",isim,B2,,The investigation highlighted the critical role of anomalies.,Soruşturma anormallikler kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,answer,"yanıt vermek, cevaplamak, cevap vermek",isim,B1,,I can't answer that.,Ona cevap veremem.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,antibodies,antikorlar,isim,C1,,Antibodies fight off infections and viruses.,Antikorlar enfeksiyonları ve virüsleri defeder.
Kütüphane: Akademik Fiiller,C1 Üst Düzey Paragraf Fiilleri,anticipate,"beklemek, ummak, sezmek",fiil,C1,,I didn't anticipate this.,Bunu beklemiyordum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,anxiety,"endişe, kaygı, tasa",isim,B2,,She could not cope with anxiety.,Anksiyete ile baş edemedi.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,anxious,"endişeli, kaygılı, huzursuz",sıfat,B2,,I'm a bit anxious.,Biraz endişeliyim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,any,"her, hiçbir, herhangi",sıfat,B1,,I don't have any.,Bende hiç yok.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,anybody,"kimse, hiç kimse, herhangi biri",zamir,B2,,I can't see anybody.,Ben kimseyi göremiyorum.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,anyone,"hiç kimse, kimse, herhangi bir kimse",zamir,B1,,I can't see anyone.,Ben kimseyi göremiyorum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,apart,"ayrı, farklı özellikleri olan, ayrı bir yere",fiil,B1,,Let's take it apart.,Onu sökelim.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,apartment,"daire, apartman katı, apartman dairesi",isim,A1,,I'm in my apartment.,Ben dairemdeyim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,appalling,"müthiş, dehşete düşüren, korkunç",sıfat,B2,,I think that's appalling.,Onun korkunç olduğunu düşünüyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,apparent,"aşikar, ortada, belirgin",sıfat,B2,,The apparent truth was really a lie.,Bariz gerçek gerçekten bir yalandı.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,appear,"belli olmak, görünmek, belirmek",fiil,B1,,Do I appear that weak?,O kadar cılız görünüyor muyum?
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,appearance,"dış görünüş, görünüm, görünüş",isim,C1,,Avoid the appearance of evil.,Şeytanın hilesinden sakının.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,appeared,göründü,fiil,B2,,He hasn't appeared yet.,"O, henüz ortaya çıkmadı."
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,appears,"görüntüsü vermek, göründüğü gibi olmamak, görünen o ki",fiil,B2,,He often appears on TV.,"O, sık sık televizyonda görünür."
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,appliance,"cihaz, gereç, aygıt",isim,B2,,It's an energy-efficient appliance.,Enerji verimi yüksek bir cihaz.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,application,"tatbik, uygulama, başvuru",isim,C1,,I lied on my job application.,İş başvurumda yalan söyledim.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,applications,uygulamalar,isim,C1,,Applications are due by Monday.,Başvurular için süre sonu pazartesi.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),apply,"uygulamak, yürürlüğe koymak, başvurmak",zarf,B1,"implement, conduct, practice, execute",May I apply for asylum?,Sığınma için başvurabilir miyim?
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,applying,uygulanıyor,isim,B2,,I'm applying for a job.,Bir iş başvurusu yapıyorum.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,appraise,"değer biçmek, kıymet takdir etmek, fiyat saptamak",fiil,B2,,The research committee agreed to appraise the proposed methodology.,Araştırma komitesi önerilen metodolojiyi değer biçmek konusunda mutabık kaldı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,approach,"yanaşmak, yaklaşmak, yaklaşım",isim,B2,,I like Tom's approach.,Tom'un yaklaşımını seviyorum.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,approve,"onaylamak, beğenmek, kabul etmek",fiil,B2,,I'm glad you approve.,Kabul ettiğine sevindim.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),approximately,"takriben, yaklaşık olarak, aşağı yukarı",zarf,C1,,We're approximately the same age.,Biz yaklaşık olarak aynı yaştayız.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,apps,"apps denetimi, istemci uygulamaları",isim,B1,,I have dozens of apps on my phone that I seldom use.,"Telefonumda, nadiren kullandığım düzinelerce uygulamam var."
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,architect,"mimar, yapmak, planlamak",isim,B2,,I want to be an architect.,Ben mimar olmak istiyorum.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,architects,mimarlar,isim,C1,,The investigation highlighted the critical role of architects.,Soruşturma mimarlar kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,are,"ar, 100 metrekare'ye eşit alan ölçüsü birimi, yüz metrekare, ar",isim,B1,,Are you at Tom's?,Tom'larda mısın?
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,area,"alan, saha, bölge",isim,A1,,I was in the area.,Ben alandaydım.
