Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
environment,"çevre, ortam, etraf",isim,C1,,It's a hostile environment.,Bu düşmanca bir ortam.
environments,"endüstriyel ortamlar, daha zorlu ortamlarda, finansal çevreler",isim,C1,,Rural environments are too quiet for me.,Kırsal ortamlar benim için çok sessiz.
examination,"inceleme, muayene, sınav",isim,C1,,He took an oral examination.,"O, bir sözlü sınava girdi."
excavation,"kazı, kazma, hafriyat",isim,C1,"digging, mining, unearthing",Human remains were found during the excavation.,Kazı sırasında insan kalıntıları bulundu.
experiment,"deney, deney yapmak, deney uygulamak",isim,C1,,I know it's an experiment.,Bunun bir deney olduğunu biliyorum.
experiments,deneyler,isim,C1,,The experiments led to great discoveries.,Deneyler büyük buluşlara yol açtı.
explanation,"açıklama, izah, anlam",isim,C1,,I'd like an explanation.,Bir açıklama istiyorum.
failures,"arızalar arası ortalama zaman, banka iflasları, işletme başarısızlıkları",isim,B2,,We're going to have failures.,Hatalarımız olacak.
forest,"orman, ağaçlandırmak, ormanlaştırmak",isim,B1,,We're in the forest.,Biz ormandayız.
forestation,"ağaçlandırma, ormancılık",isim,C1,,The investigation highlighted the critical role of forestation.,Soruşturma ağaçlandırma kavramının kritik rolünü vurguladı.
form,"biçimlendirmek, şekillendirmek, oluşturmak",isim,B1,,Heat is a form of energy.,Isı bir enerji şeklidir.
fossil,"taşlaşmak, köhneleşmek, fosilleşmek",isim,B1,,He is a living fossil!,O yaşayan bir fosil!
fund,"kaynak, sermaye, fon",isim,B1,,He's good at fund raising.,"O, fon sağlamada iyidir."
government,"hükümet, devlet yönetimi, siyasal bilgiler",isim,C1,,I'm a government worker.,Ben bir devlet işçisiyim.
governments,"hükümetlerin meşruluğu, adlarına bu sözleşmenin imzalandığı hükümetler bundan sonra ""katılımcı devletler"" olarak anılacaktır, devletin kolu uzundur",isim,C1,,They were members of the local governments.,Onlar yerel yönetimin üyeleriydi.
governor,"vali, banka müdürü, amir",isim,B2,,Will you run for governor?,Valilik için yarışacak mısın?
healing,"şifa, şifalı, sağlığına kavuşma",isim,B2,,Tom's leg is healing.,Tom'un bacağı iyileşiyor.
health,"sıhhat, sağlık, afiyet",isim,B1,,How's Tom's health?,Tom'un sağlığı nasıl?
healthcare,sağlık hizmeti,isim,C1,,Some healthcare workers spend more time doing paperwork than taking care of patients.,Bazı sağlık çalışanları hastalara bakmak yerine evrak işleri yaparak daha çok zaman geçirmektedirler.
hill,"tepe, toprak yığmak, tepelemek",isim,B1,,I ran up the hill.,Tepeye koştum.
history,"geçmiş, tarih, kayıtlar",isim,B2,,I am good at history.,Ben tarihte iyiyim.
identification,"kimlik saptama, aynileştirme, özdeşleştirme",isim,C1,,Can I see some identification?,Bir kimliğinizi görebilir miyim?
illness,"hastalık, maraz, illet",isim,B2,,It's a serious illness.,Bu ciddi bir hastalık.
immunity,"bağışıklık, ayrıcalık, masuniyet",isim,B2,,The investigation highlighted the critical role of immunity.,Soruşturma bağışıklık kavramının kritik rolünü vurguladı.
importance,"önem, saygınlık, etki",isim,C1,,It's of no importance.,Bu önemli değil.
incident,"hadise, olay, yük",isim,B2,,It was a small incident.,O küçük bir kazaydı.
inequality,"eşitsizlik, sapma, değişebilirlik",isim,C1,,No inequality should be allowed to exist between men and women.,Kadınlar ve erkekler arasında hiçbir eşitsizliğin var olmasına izin verilmemesi gerekir.
infection,"enfeksiyon, bulaşma, iltihap",isim,B2,,I have an ear infection.,Bir kulak enfeksiyonum var.
injury,"zarar, halel, incinme",isim,B1,,Tom's injury isn't serious.,Tom'un sakatlığı ciddi değil.
investigation,"soruşturma, araştırma, teftiş",isim,C1,,Am I under investigation now?,Şimdi soruşturma altında mıyım?
investigations,"soruşturmalar, tahkikat, taharriyat",isim,C1,,The investigation highlighted the critical role of investigations.,Soruşturma soruşturmalar kavramının kritik rolünü vurguladı.
investigator,"müfettiş, dedektif, araştırmacı",isim,C1,researcher,I'm a private investigator.,Ben özel bir müfettişim.
killer,"öldürücü, katil, öldürücü darbe",isim,B1,,I'm not a killer.,Ben bir katil değilim.
law,"yasa, hukuk, kanun",isim,B1,,I'm a law student.,Hukuk öğrencisiyim.
lawyer,"avukat, hukukçu, dava vekili",isim,B1,,I'm Tom's lawyer.,Tom'un avukatıyım.
lawyers,hukukçular,isim,B2,,Tom's parents were lawyers.,Tom'un anne-babası avukattı.
lung,"akciğer, ciğer",isim,B1,,He's got lung cancer.,Onun akciğer kanseri var.
lungs,"akciğer, ciğer, akciğerler",isim,B1,,Smoking does damage your lungs.,Sigara içmek akciğerlerinize zarar verir.
marketing,"pazarlama, alışveriş, alışveriş yapma",isim,B2,,He is the head of marketing.,O pazarlama müdürüdür.
medication,"ilaç, ilaç tedavisi, iyileştirme",isim,C1,"treatment, medicine, drug, cure",I don't need medication.,Benim ilaca ihtiyacım yok.
medicine,"tıp, ilaç, katlanmak",isim,B2,medication,I have to take medicine.,İlaç almak zorundayım.
medics,"kabayonca, doktor, korunga",isim,B1,,The investigation highlighted the critical role of medics.,Soruşturma kabayonca kavramının kritik rolünü vurguladı.
member,"üye, organ, mensup",isim,B1,,I'm not a member.,Ben üye değilim.
million,milyon,isim,B2,,I know a million jokes.,Bir milyon fıkra biliyorum.
nature,"mahiyet, doğa, tabiat",isim,B1,,He has a mild nature.,Onun ılımlı bir doğası var.
ocean,"okyanus, umman, derya",isim,B1,,I can smell the ocean.,Okyanusun kokusunu alabiliyorum.
organs,aza,isim,B1,,No vital organs were damaged.,Hiçbir hayati organ hasar görmedi.
painting,"tablo, resim, ressamlık",isim,B2,,It's only a painting.,Bu sadece bir tablo.
paintings,"tablo, resim, ressamlık",isim,B2,,Did you see the paintings?,Tabloları gördünüz mü?
patients,"hastalar, hasta ve yaralılar",isim,B2,,I have a lot of patients.,Benim bir sürü hatam var.
physician,"tıp adamı, hekim, tabip",isim,B2,,He is not a physician.,O bir doktor değil.
physics,fizik,isim,B2,,I got a B in physics.,Fizikten B aldım.
plant,"bitki, tesis, fabrika",isim,B1,,Did you plant this tree?,Bu ağacı sen mi diktin?
price,"bedel, fiyat, ücret",isim,B1,,I'll pay any price.,Ben herhangi bir fiyatı öderim.
regulation,"düzenleme, nizam, regülasyon",isim,C1,,"The regulation was abolished, but then it was reenacted.",Düzenleme kaldırıldı ama sonra yeniden yürürlüğe kondu.
research,"incelemek, araştırmak, araştırma yapmak",isim,B2,,I did a little research.,Birazcık araştırma yaptım.
researcher,"araştırmacı, araştırıcı, araştırma görevlisi",isim,C1,"scientist, analyst, investigator","He said, ""I plan to become a researcher.""","O, ""bir araştırmacı olmayı planlıyorum"" dedi."
researchers,araştırmacılar,isim,C1,,Researchers say that it's easier to lose weight if you eat three square meals a day.,Araştırmacılar günde üç doyurucu yemek yersen kilo vermenin daha kolay olduğunu söylüyor.
rivers,"her yol roma'ya çıkar, su akar yolunu bulur, tilkinin dönüp dolaşıp geleceği yer yine kürkçü dükkanıdır",isim,B1,,There are many rivers in India.,Hindistan'da birçok nehir var.
rule,"hüküm sürmek, hükmetmek, kural",isim,B1,,It's a good rule.,Bu iyi bir kural.
science,"ilim, bilim, beceri",isim,B2,,I'm good at science.,Ben bilimde iyiyim.
shape,"şekillendirmek, biçim vermek, şekil vermek",isim,B1,,I'm in bad shape.,Ben kötü durumdayım.
skill,"maharet, beceri, hüner",isim,B1,,He showed a lot of skill.,O bir sürü yetenek gösterdi.
skills,"vasıflar, beceriler",isim,B1,,Don't you have any skills?,Herhangi bir becerin yok mu?
society,"toplum, dernek, cemiyet",isim,B2,,He is a danger to society.,"O, toplum için bir tehlikedir."
species,"tür, ortak özellikleri olan grup, hayal",isim,B2,,It is an endangered species.,Nesli tükenmekte olan bir türdür.
statement,"ifade, söz, beyan",isim,B2,,I have a brief statement.,Benim kısa bir açıklamam var.
students,öğrenciler,isim,B2,,I think they're students.,Sanırım onlar öğrenci.
surgery,"ameliyat, ameliyathane, cerrahlık",isim,B2,,It's not brain surgery.,"O, beyin ameliyatı değil."
symptom,"belirti, alamet, emare",isim,B2,,Do you have this symptom often?,Sık sık bu belirtilerin olur mu?
technologies,teknolojiler,isim,C1,,The investigation highlighted the critical role of technologies.,Soruşturma teknolojiler kavramının kritik rolünü vurguladı.
technology,"teknoloji, uygulayımbilim, mühendislik bilgisi",isim,C1,,I am thankful for technology.,Ben teknoloji için minettarım.
teeth,"diş çıkarmak, dişler, en şiddetli noktası",isim,B1,,I have two bad teeth.,İki kötü dişim var.
therapies,"tedaviler, terapiler",isim,B2,,The investigation highlighted the critical role of therapies.,Soruşturma tedaviler kavramının kritik rolünü vurguladı.
therapist,"terapist, sağaltımcı, doktor",isim,B2,,I'm seeing a therapist.,Bir terapistle görüşüyorum.
therapy,"iyileştirme, tedavi, sağaltım",isim,B2,treatment,I think I need therapy.,Ben terapiye ihtiyacım olduğunu düşünüyorum.
thrill,"heyecan, heyecanlandırmak, etkilemek",isim,B1,,They do it just for the thrill of it.,Onlar onu sadece onun büyük heyecanı için yapıyor.
tooth,"diş, dişle kaplamak, pütürlü yapmak",isim,B1,,I had a tooth pulled.,Ben bir diş çektirdim.
treatment,"tedavi, sağlık bakımı, muamele",isim,B2,"medication, cure, therapy, remedy",I expect no special treatment.,Özel muamele görmeyi beklemiyorum.
treatments,"yeni tedaviler, iklimsel özel vasıtalar ve tıbbi tedavi konularında karşılıklı yardıma dair avrupa sözleşmesi, alüminyum alaşımlarının anodik işlemleri",isim,C1,,How much will all the treatments cost?,Tüm tedaviler ne kadara mal olacak?
vaccination,"aşılama, aşı yapma, aşı",isim,C1,,The vaccination left a funny little mark on my arm.,Aşı kolumda komik küçük bir iz bıraktı.
vaccine,"aşı, aşı maddesi, aşıya ait",isim,B2,,Do you have the vaccine?,Aşınız var mı?
war,"harp, savaş, savaş halinde olmak",isim,B1,,He is a war orphan.,"O, bir savaş yetimidir?"
warming,"dayak atma, ısınma, ısıtma",isim,B2,,I'm just warming up.,Daha yeni ısınıyorum.
warmth,"sıcaklık, ısı, ateşlilik",isim,B1,,I remember the warmth of his arms.,Onun kollarının sıcaklığını hatırlıyorum.
warrior,"savaşçı, cenkçi, silahşor",isim,B2,,The warrior is conscious of both his strength and his weakness.,Savaşçı hem gücünün hem de zayıflığının bilincindedir.
weather,"hava, hava durumu, yalpalamak",isim,B2,,"Nice weather, isn't it?","Güzel hava, değil mi?"
will,"vasiyet, irade, dilemek",isim,B1,,I will buy a car.,Bir araba alacağım.
workshop,"çalıştay, seminer, zanaatçıya ait atölye",isim,B2,,I am working at the workshop.,Ben atölyede çalışıyorum.
wr,"kırmızı renkli, monoazo bir organik pigment",isim,B1,,I'd like to wring Tom's neck.,Tom'un boynunu sıkmak istiyorum.
