Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
C1 İleri Niteleme Sıfatları,beneficial,"yararlı, faydalı, kazançlı",sıfat,C1,,That would be very beneficial.,Bu çok yararlı olacaktı.
B1-B2 Sık Çıkan Akademik Sıfatlar,best,"en iyi, geçmek, baskın çıkmak",sıfat,B1,,I'll do my best.,Ben elimden gelenin en iyisini yapacağım.
C1 İleri Niteleme Sıfatları,bewildered,"şaşkın, afallamış, sersemlemiş",sıfat,C1,,The empirical results of the study were remarkably bewildered.,Çalışmanın ampirik sonuçlarının son derece şaşkın olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,biologic,"biyoloji ile ilgili, biyolojik",sıfat,B2,,The empirical results of the study were remarkably biologic.,Çalışmanın ampirik sonuçlarının son derece biyoloji ile ilgili olduğu görüldü.
C1 İleri Niteleme Sıfatları,biological,"yaşambilimsel, dirimbilimsel, biyolojik",sıfat,C1,,He's my biological father.,O benim biyolojik babam.
B1-B2 Sık Çıkan Akademik Sıfatlar,biting,"ısırma, sokma, iğneli",sıfat,B1,,The dog is biting Tom.,Köpek Tom'u ısırıyor.
B1-B2 Sık Çıkan Akademik Sıfatlar,blind,"kör, kör etmek, körletmek",sıfat,B1,,I didn't go blind.,Kör olmadım.
B1-B2 Sık Çıkan Akademik Sıfatlar,boiling,"kaynama, haşlama, kaynatma",sıfat,B2,,It's boiling in here.,Burada hava çok bunaltıcı.
B1-B2 Sık Çıkan Akademik Sıfatlar,bored,"sıkılmış, delinmiş, bıkkın",sıfat,B1,,I'm bored right now.,Şu anda sıkıldım.
B1-B2 Sık Çıkan Akademik Sıfatlar,botanical,"bitkibilimsel, bitkisel, botanik",sıfat,B2,,We found many strange plants in a botanical garden.,Biz bir botanik bahçesinde çok tuhaf bitkiler bulduk.
B1-B2 Sık Çıkan Akademik Sıfatlar,both,"her ikisi de, her iki, her ikisi",sıfat,B1,,We can both do it.,İkimiz bunu yapabiliriz.
B1-B2 Sık Çıkan Akademik Sıfatlar,british,"ingiliz, ingiliz halkı, ingilizler",sıfat,B2,,The British climbed the hill.,İngilizler tepeye tırmandı.
B1-B2 Sık Çıkan Akademik Sıfatlar,broke,"parasız, züğürt, meteliksiz",sıfat,B1,,I broke Tom's nose.,Ben Tom'un burnunu kırdım.
C1 İleri Niteleme Sıfatları,calibrated,"taksimatlı, ayarlanmış, ayarlı",sıfat,C1,,This instrument needs to be calibrated.,Bu alet ayarlanmalı.
B1-B2 Sık Çıkan Akademik Sıfatlar,calm,"sakinleştirmek, sakinlik, soğukkanlı",sıfat,B1,,I have to stay calm.,Sakin kalmak zorundayım.
B1-B2 Sık Çıkan Akademik Sıfatlar,calming,"yatıştırıcı, teskin, huzur veren",sıfat,B2,,The empirical results of the study were remarkably calming.,Çalışmanın ampirik sonuçlarının son derece yatıştırıcı olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,captured,"mazbut, yakalanmış, esir edilmiş",sıfat,B2,,I won't stay and be captured.,Kalmayacağım ve yakalanmayacağım.
C1 İleri Niteleme Sıfatları,cardiovascular,"kardiyovasküler, kalp ve damarlara ilişkin",sıfat,C1,,Kickboxing is great cardiovascular exercise.,Kick boks yapmak harika bir kardiyo egzersizidir.
Akademik Zarflar (-ly / Derece),carefully,"özenle, idareli biçimde, itinayla",zarf,B2,,Let's do this carefully.,Bunu özenle yapalım.
B1-B2 Sık Çıkan Akademik Sıfatlar,carried,"taşınan, taşınmış, kabul edildi/edilmiştir!",sıfat,B2,,Don't get carried away.,Abartma.
Akademik Zarflar (-ly / Derece),cautiously,"ihtiyatla, dikkatlice, temkinli bir şekilde",zarf,C1,,You have to move cautiously in this matter.,Bu konuda temkinli hareket etmek zorundayız.
B1-B2 Sık Çıkan Akademik Sıfatlar,celestial,"gökyüzü ile ilgili, gök, göksel",sıfat,B2,,The empirical results of the study were remarkably celestial.,Çalışmanın ampirik sonuçlarının son derece gökyüzü ile ilgili olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,cellular,"hücresel, cep telefonu, gözeli",sıfat,B2,,The empirical results of the study were remarkably cellular.,Çalışmanın ampirik sonuçlarının son derece hücresel olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,certain,"kesin, belirli, belli",sıfat,B2,inevitable,I can't be certain.,Emin olamıyorum.
C1 İleri Niteleme Sıfatları,challenging,"dürtücü, zorlu, meydan okuma",sıfat,C1,,Are you challenging my authority?,Benim otoriteme karşı mı çıkıyorsun?
B1-B2 Sık Çıkan Akademik Sıfatlar,changed,"değiştirilmiş, değişmiş, değişime uğramış",sıfat,B2,,I'm a changed man.,Ben değişmiş bir insanım.
B1-B2 Sık Çıkan Akademik Sıfatlar,charged,"yüklenmiş, şarj edilmiş, dolu",sıfat,B2,,You charged me too much.,Siz bana çok fazla ücret ödettiniz.
B1-B2 Sık Çıkan Akademik Sıfatlar,charming,"cazibeli, alımlı, çekici",sıfat,B2,,She has a charming face.,Onun çekici bir yüzü var.
B1-B2 Sık Çıkan Akademik Sıfatlar,cheerful,"neşeli, mutluluk veren, şen",sıfat,B2,,He is a cheerful boy.,"O, neşeli bir çocuktur."
B1-B2 Sık Çıkan Akademik Sıfatlar,cheery,"neşeyle, neşeli, keyifli",sıfat,B1,,The empirical results of the study were remarkably cheery.,Çalışmanın ampirik sonuçlarının son derece neşeyle olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,chemical,"kimyasal madde, kimyasal, kimyevi",sıfat,B2,,Magnesium is a chemical element.,Magnezyum kimyasal bir elementtir.
B1-B2 Sık Çıkan Akademik Sıfatlar,choice,"tercih, seçenek, ayırma",sıfat,B1,,Do I have a choice?,Bir seçeneğim var mı?
B1-B2 Sık Çıkan Akademik Sıfatlar,chronic,"kronik, müzmin, devamlı",sıfat,B2,,She suffers from a chronic illness.,O kronik bir hastalıktan muzdarip.
B1-B2 Sık Çıkan Akademik Sıfatlar,classic,"klasik, klas, değerini kanıtlamış yapıt",sıfat,B2,,This song is a classic.,Bu şarkı bir klasik.
B1-B2 Sık Çıkan Akademik Sıfatlar,classical,"klasik, klas, eski dile ait",sıfat,B2,,Do you like classical music?,Klasik müzik hoşuna gidiyor mu?
B1-B2 Sık Çıkan Akademik Sıfatlar,clear,"belirgin, açık, net",sıfat,B1,,It's a clear day.,Bu açık bir gün.
Akademik Zarflar (-ly / Derece),clearly,"açık bir biçimde, açıkça, ayan beyan",zarf,B2,"openly, frankly, plainly",It's clearly a fake.,Bunun sahte olduğu çok belli.
Akademik Zarflar (-ly / Derece),cleverly,"zekice, akıllıca",zarf,B2,,The empirical results of the study were remarkably cleverly.,Çalışmanın ampirik sonuçlarının son derece zekice olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,cloudy,"bulutlu, gölgeli, töhmet altında",sıfat,B1,,It's a cloudy day.,Bulutlu bir gün.
C1 İleri Niteleme Sıfatları,collaborative,"işbirlikçi, ortak çalışmaya dayalı",sıfat,C1,,It was a collaborative effort.,Ortak çalışmaya dayalı bir çabaydı.
B1-B2 Sık Çıkan Akademik Sıfatlar,collected,"toplu, aklı başında, sakinleşmiş",sıfat,B2,,He collected a lot of stamps.,"O, çok sayıda pul topladı."
C1 İleri Niteleme Sıfatları,collective,"toplu, müşterek, kolektif",sıfat,C1,,Collective interests must be protected.,Toplu çıkarlar korunmalıdır.
B1-B2 Sık Çıkan Akademik Sıfatlar,colorless,"renksiz, sıkıcı, soluk",sıfat,B2,,The empirical results of the study were remarkably colorless.,Çalışmanın ampirik sonuçlarının son derece renksiz olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,colossal,"şaşırtıcı, iri yarı, ızbandut gibi",sıfat,B2,,What a colossal waste of time!,Ne devasa bir zaman kaybı!
B1-B2 Sık Çıkan Akademik Sıfatlar,combined,"karma, birleşik, bileşik",sıfat,B2,,He combined two ideas into one.,"O, iki fikri teke dönüştürdü."
C1 İleri Niteleme Sıfatları,comfortable,"rahat, rahatlatıcı, teselli edici",sıfat,C1,,I'm comfortable with it.,Ben onunla rahatım.
B1-B2 Sık Çıkan Akademik Sıfatlar,coming,"geliş, gelme, varış",sıfat,B1,,I'm coming to you.,Sana geliyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,common,"alışılmış, alelade, yaygın",sıfat,B1,,It's a common name.,Bu yaygın bir isim.
B1-B2 Sık Çıkan Akademik Sıfatlar,compared,"karşılaştırılmış, karşılaştırılan",sıfat,B2,,I compared notes with Tom.,Tom'la görüş alışverişinde bulundum.
B1-B2 Sık Çıkan Akademik Sıfatlar,competing,"yarışma, rekabet, rakip",sıfat,B2,,I want to keep competing.,Ben yarışmaya devam etmek istiyorum.
B1-B2 Sık Çıkan Akademik Sıfatlar,complete,"tamamlamak, tam, bütün",sıfat,B2,,I hope it's complete.,Umarım o tamdır.
Akademik Zarflar (-ly / Derece),completely,"büsbütün, tamamen, komple",zarf,C1,,I'm not completely sure.,Tam olarak emin değilim.
C1 İleri Niteleme Sıfatları,complicated,"çetrefil, komplike, çetrefilli",sıfat,C1,,It's a complicated story.,Bu anlaşılması zor bir hikaye.
C1 İleri Niteleme Sıfatları,comprehensive,"etraflı, kapsamlı, tam veya her şey dahil",sıfat,C1,,This is a comprehensive approach.,Bu kapsamlı bir yaklaşımdır.
C1 İleri Niteleme Sıfatları,computational,"sayısal, hesaba dayalı, bilgisayımsal",sıfat,C1,,The empirical results of the study were remarkably computational.,Çalışmanın ampirik sonuçlarının son derece sayısal olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,conceal,"gizlemek, gizli tutmak, örtbas etmek",sıfat,B2,,I can't conceal it from you.,Onu senden gizleyemem.
B1-B2 Sık Çıkan Akademik Sıfatlar,concealed,"gizlenen, gizlenmiş, saklı",sıfat,B2,,He concealed the fact from me.,"O, gerçeği benden gizledi."
B1-B2 Sık Çıkan Akademik Sıfatlar,concerned,"ilgili, endişeli, alakadar",sıfat,B2,,I'm a little concerned.,Biraz endişeliyim.
B1-B2 Sık Çıkan Akademik Sıfatlar,conducted,"bir rehber ya da lider tarafından idare edilen, yürütülen",sıfat,B2,,An autopsy will be conducted.,Bir otopsi yapılacak.
B1-B2 Sık Çıkan Akademik Sıfatlar,confined,"sınırlı, sınırlanmış, sınırlandırılmış",sıfat,B2,,He is confined to bed now.,"O, şimdi yatağa mahkûm."
B1-B2 Sık Çıkan Akademik Sıfatlar,confused,"şaşkın, zihni bulanık, karmakarışık",sıfat,B2,,I'm a bit confused.,Biraz kafam karıştı.
B1-B2 Sık Çıkan Akademik Sıfatlar,confusing,"şaşırtma, çetrefil, kafa karıştırıcı",sıfat,B2,,It was confusing to me.,Bu benim kafamı karıştırıyordu.
Akademik Zarflar (-ly / Derece),consciously,"bile bile, kasten, bilinçli olarak",zarf,C1,,The empirical results of the study were remarkably consciously.,Çalışmanın ampirik sonuçlarının son derece bile bile olduğu görüldü.
C1 İleri Niteleme Sıfatları,considerable,"hatırı sayılır derecede, kaydadeğer, hatırı sayılır",sıfat,C1,,He has a considerable income.,O önemli bir gelire sahiptir.
C1 İleri Niteleme Sıfatları,considered,"dikkate alınan, saygıdeğer, dikkate alınmış",sıfat,C1,,I hadn't considered that.,Ben onu dikkate almadım.
C1 İleri Niteleme Sıfatları,consistent,"istikrarlı, tutarlı, bağıntılı",sıfat,C1,,We're just being consistent.,Her şeye bakıyoruz.
B1-B2 Sık Çıkan Akademik Sıfatlar,constant,"sabit, durağan, değişmez",sıfat,B2,persistent,I'm in constant danger.,Sürekli tehlikedeyim.
B1-B2 Sık Çıkan Akademik Sıfatlar,consumed,tamamen harcanmış,sıfat,B2,,The fire consumed the whole house.,Yangın bütün evi yuttu.
B1-B2 Sık Çıkan Akademik Sıfatlar,consuming,"yakan, tüketici, bitiren",sıfat,B2,,This is a very time-consuming task.,Bu çok zaman alan bir görevdir.
C1 İleri Niteleme Sıfatları,contagious,"bulaşıcı, geçici, salgın",sıfat,C1,,Tom's smile was contagious.,Tom'un gülümsemesi bulaşıcıydı.
C1 İleri Niteleme Sıfatları,contemporary,"modern, çağdaş, günümüze ait",sıfat,C1,,Scott was a contemporary of Byron.,"Scott, çağdaş bir Byron'du."
B1-B2 Sık Çıkan Akademik Sıfatlar,continual,"ardı arkası kesilmeyen, durmadan, ardı arkası gelmeyen",sıfat,B2,,Today is the fifth day of continual stock price decline.,Bugün süregelen hisse senedi fiyat düşüşünün beşinci günüdür.
B1-B2 Sık Çıkan Akademik Sıfatlar,continued,"devamlı, aralıksız, devam eden",sıfat,B2,,He continued to mock me.,O beni taklit etmeye devam etti.
Akademik Zarflar (-ly / Derece),continuously,"aralıksız, sürekli, harıl harıl",zarf,C1,,It rained continuously all day.,Tüm gün sürekli yağmur yağdı.
C1 İleri Niteleme Sıfatları,convenient,"müsait, münasip, uygun",sıfat,C1,,It's much more convenient.,Bu çok daha uygun.
C1 İleri Niteleme Sıfatları,conventional,"geleneksel, itibari, basmakalıp",sıfat,C1,,Why are conventional language classes so boring?,Neden geleneksel dil dersleri bu kadar sıkıcı?
C1 İleri Niteleme Sıfatları,convincing,"inandırıcı, ikna edici, ikna",sıfat,C1,,That wasn't very convincing.,Bu çok inandırıcı değildi.
B1-B2 Sık Çıkan Akademik Sıfatlar,cool,"soğutmak, serinlik, serin",sıfat,B1,,I'm so not cool.,Hiç cool değilim.
C1 İleri Niteleme Sıfatları,cooperative,"kooperatif, işbirliği, yardımcı",sıfat,C1,,I tried to be cooperative.,Yardımcı olmaya çalıştım.
B1-B2 Sık Çıkan Akademik Sıfatlar,countless,"sayısız, çok, hadsiz hesapsız",sıfat,B2,,Countless lives have been lost.,Pek çok hayat kayboldu.
B1-B2 Sık Çıkan Akademik Sıfatlar,crazy,"deli, çıldırmış, çılgın",sıfat,B1,,I am a bit crazy.,Ben biraz deliyim.
B1-B2 Sık Çıkan Akademik Sıfatlar,creamy,"kremalı, kaymaklı, kremsi",sıfat,B1,,"I love thick, creamy mushroom soup.","Koyu, kremalı mantar çorbası severim."
B1-B2 Sık Çıkan Akademik Sıfatlar,credible,"inandırıcı, güvenilir, inanılır",sıfat,B2,,Tom's story sounded credible.,Tom'un hikayesi kulağa inanılır gibi geliyordu.
B1-B2 Sık Çıkan Akademik Sıfatlar,critical,"kritik, ciddi, hassas",sıfat,B2,,Don't be so critical.,Bu kadar eleştirici olmayın.
B1-B2 Sık Çıkan Akademik Sıfatlar,crucial,"çok önemli, kritik, önemli",sıfat,B2,,The timing will be crucial.,Zamanlama çok önemli olacak.
B1-B2 Sık Çıkan Akademik Sıfatlar,cultural,"kültürel, ekinsel",sıfat,B2,,It's a cultural thing.,Bu kültürel bir şey.
Akademik Zarflar (-ly / Derece),culturally,kültürel olarak,zarf,C1,,The empirical results of the study were remarkably culturally.,Çalışmanın ampirik sonuçlarının son derece kültürel olarak olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,customary,"göreneksel, alışılmış, adet olan",sıfat,B2,,It's customary for waiters and waitresses to introduce themselves using only their first names.,Bay ve bayan garsonların ilk isimlerini kullanarak kendilerini tanıtması gelenekseldir.
B1-B2 Sık Çıkan Akademik Sıfatlar,dangerous,"tehlikeli, çekinceli, riskli",sıfat,B2,,I think it's dangerous.,Sanırım o tehlikeli.
B1-B2 Sık Çıkan Akademik Sıfatlar,dark,"karanlık, koyu, belirsizlik",sıfat,B1,,It's dark in here.,Burası karanlık.
B1-B2 Sık Çıkan Akademik Sıfatlar,dated,"tarihli, eski, tarih verilmiş",sıfat,B1,,It's a little dated.,O biraz demode.
B1-B2 Sık Çıkan Akademik Sıfatlar,dazzling,"göz kamaştırıcı, baş döndürücü, baş döndüren",sıfat,B2,"stunning, marvelous, impressive",The empirical results of the study were remarkably dazzling.,Çalışmanın ampirik sonuçlarının son derece göz kamaştırıcı olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,decided,"kararlı, karar verilmiş, tartışmasız",sıfat,B2,,I've decided to go.,Gitmeye karar verdim.
B1-B2 Sık Çıkan Akademik Sıfatlar,deep,"derin, deniz, derince",sıfat,B1,,He's deep in debt.,"O, borca batmış."
B1-B2 Sık Çıkan Akademik Sıfatlar,defined,"tanımlanmış, belirtili, tamlanan",sıfat,B2,,Tom's muscles are well-defined.,Tom'un kasları iyi tanımlanmıştır.
B1-B2 Sık Çıkan Akademik Sıfatlar,definite,"belirli, belli, mahdut",sıfat,B2,,I have no definite plans.,Kesin planlarım yok.
Akademik Zarflar (-ly / Derece),definitely,"kesinlikle, tamamen, elbette",zarf,C1,,I'll definitely do that.,Bunu kesinlikle yapacağım.
B1-B2 Sık Çıkan Akademik Sıfatlar,delayed,"rötarlı, geciktirilmiş, tehirli",sıfat,B2,,Tom's flight was delayed.,Tom'un uçuşu ertelendi.
Akademik Zarflar (-ly / Derece),deliberately,"kasten, bilerek, kasti olarak",zarf,C1,,I didn't do it deliberately.,Kasten yapmadım.
B1-B2 Sık Çıkan Akademik Sıfatlar,delicious,"nefis, leziz, lezzetli",sıfat,B2,,I think this is delicious.,Bunun lezzetli olduğunu düşünüyorum.
C1 İleri Niteleme Sıfatları,demonstrated,"ispat edilmiş, ispat edilen",sıfat,C1,,The salesman demonstrated how to use it.,Satıcı onun nasıl kullanılacağını gösterdi.
C1 İleri Niteleme Sıfatları,dependable,"güvenilir, güvenli, güvenilebilir",sıfat,C1,,I'm pretty sure Tom's dependable.,Tom'un güvenilebilir olduğuna oldukça eminim.
B1-B2 Sık Çıkan Akademik Sıfatlar,dependent,"bağımlı, bağımlı kimse, başkasına muhtaç kimse",sıfat,B2,,We're dependent on each other.,Biz birbirimize bağlıyız.
B1-B2 Sık Çıkan Akademik Sıfatlar,desired,"geçer, arzu edilen, gerekli",sıfat,B2,,We all want to be desired.,Hepimiz arzulanmak istiyoruz.
B1-B2 Sık Çıkan Akademik Sıfatlar,detailed,"ayrıntılı, detaylı, ayrıntılandırılmış",sıfat,B2,,I expect a detailed report.,Ayrıntılı bir rapor bekliyorum.
C1 İleri Niteleme Sıfatları,determined,"azimli, belirlenmiş, kararlı",sıfat,C1,persistent,She's a determined woman.,"O, kararlı bir kadın."
C1 İleri Niteleme Sıfatları,detrimental,"zararlı, muzır, zarar veren",sıfat,C1,,Tom's stressful job is having a detrimental effect on his health.,Tom'un stresli işi sağlığı üzerinde zararlı bir etkiye sahiptir.
B1-B2 Sık Çıkan Akademik Sıfatlar,developed,"gelişmiş, bayındırlaşmak, bayındır",sıfat,B2,,He developed his own theory.,"O, kendi teorisini geliştirdi."
B1-B2 Sık Çıkan Akademik Sıfatlar,diagnosed,teşhis edilmiş,sıfat,B2,,Have you ever been diagnosed with HIV?,Hiç HIV tanısı aldınız mı?
C1 İleri Niteleme Sıfatları,diagnostic,"teşhis, tanısal, kontrol",sıfat,C1,,The empirical results of the study were remarkably diagnostic.,Çalışmanın ampirik sonuçlarının son derece teşhis olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,dietary,"rejim kuralları, rejim yemeği, perhiz yemeği",sıfat,B2,,The empirical results of the study were remarkably dietary.,Çalışmanın ampirik sonuçlarının son derece rejim kuralları olduğu görüldü.
B1-B2 Sık Çıkan Akademik Sıfatlar,different,"farklı, değişik, başka",sıfat,B2,,It's all so different.,Onun hepsi çok farklı.
B1-B2 Sık Çıkan Akademik Sıfatlar,difficult,"çetin, zor, zorlu",sıfat,B2,,It's a difficult job.,Bu zor bir iş.
