Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
B1 Temel Sınav Fiilleri,attach,"yapıştırmak, bağlamak, iliştirmek",fiil,B1,,Attach labels to all the bags.,Bütün çantalara etiketleri takın.
B2 İleri Akademik Fiiller,attempt,"teşebbüs etmek, girişimde bulunmak, kalkışmak",fiil,B2,,His attempt ended in failure.,Onun girişimi başarısızlıkla sonuçlandı.
B2 İleri Akademik Fiiller,attract,"cezbetmek, celp etmek, çekmek",fiil,B2,,She likes to attract attention.,O dikkat çekmeyi sever.
B1 Temel Sınav Fiilleri,avoid,"önlemek, kaçınmak, sakınmak",fiil,B1,,You can't avoid it.,Bunu önleyemezsin.
B2 İleri Akademik Fiiller,avoided,"kaçınılmak, karaya oturma tehlikesi nedeniyle kaçınılması gereken bölge",fiil,B2,,This can't be avoided.,Bu kaçınılamaz.
B1 Temel Sınav Fiilleri,away,"uzak, uzağa, uzakta",fiil,B1,,I won't go away.,Uzaklara gitmeyeceğim.
B1 Temel Sınav Fiilleri,back,"art, arkalık, sırt",fiil,B1,,I can't go back.,Geri dönemem.
B1 Temel Sınav Fiilleri,be,"bulunmak, olmak, var olmak",fiil,B1,,Don't be a pig.,Bir aynasız olmayın.
B1 Temel Sınav Fiilleri,bear,"dayanmak, katlanmak, taşımak",fiil,B1,,I can't bear it.,Ben buna katlanamam.
B1 Temel Sınav Fiilleri,became,"çok fazla büyümeden önlenmek, önünü almak/önlemek, ne oldu",fiil,B1,,I became Tom's friend.,Tom'un arkadaşı oldum.
B1 Temel Sınav Fiilleri,become,"haline gelmek, olmak, dönüşmek",fiil,B1,,What'll become of me?,Bana ne olacak?
B1 Temel Sınav Fiilleri,been,"yapılan zararı telafi etmek, yapmıştır, imzalamıştır",fiil,B1,,It's been a week.,Bir hafta oldu.
B1 Temel Sınav Fiilleri,began,"başlamadan bitmek, dünya kurulduğundan beri, taşlar yerine oturdu işte",fiil,B1,,He began a new life.,"O, yeni bir hayata başladı."
B1 Temel Sınav Fiilleri,begin,"başlatmak, başlamak, began - begun",fiil,B1,,I'm about to begin.,Başlamak üzereyim.
B1 Temel Sınav Fiilleri,beware,"çekinmek, sakınmak, gözünü açmak",fiil,B1,,Beware of the double standards.,Çifte standartlara dikkat edin.
B2 İleri Akademik Fiiller,bicycle,"bisiklet, bisiklet kullanarak gitmek, bisikletle gezmek",fiil,B2,,It's a new bicycle.,O yeni bir bisiklet.
B1 Temel Sınav Fiilleri,bind,"ciltlemek, bağlamak, bound - bound",fiil,B1,,He knows how to bind books.,"O, kitapları nasıl ciltleyeceğini bilir."
B1 Temel Sınav Fiilleri,bite,"ısırmak, lokma, bit - bitten",fiil,B1,,I won't bite you.,Seni ısırmayacağım.
B1 Temel Sınav Fiilleri,bleed,"bled - bled, para sızdırmak, yolmak",fiil,B1,,He has a nose bleed.,Onun burnu kanıyor.
B1 Temel Sınav Fiilleri,blow,"esmek, üflemek, darbe",fiil,B1,,That's a big blow.,Bu büyük bir darbe.
B1 Temel Sınav Fiilleri,break,"kopmak, kırmak, bozmak",fiil,B1,,I'm on my break.,Ben moladayım.
B1 Temel Sınav Fiilleri,bring,"getirmek, brought - brought, neden olmak",fiil,B1,,I'll bring it back.,Onu geri getireceğim.
B1 Temel Sınav Fiilleri,build,"inşa etmek, built - built, yapı yapmak",fiil,B1,,Let's build a fire.,Ateş yakalım.
B2 İleri Akademik Fiiller,captivate,"cezbetmek, çekmek, büyülemek",fiil,B2,,He knows how to captivate his audience.,Seyircisini nasıl çekeceğini bilir.
B2 İleri Akademik Fiiller,capture,"esir almak, ele geçirmek, tutsak etmek",fiil,B2,,I let them capture me.,Beni yakalamalarına izin verdim.
B1 Temel Sınav Fiilleri,carry,"taşımak, sürüklemek, elde etmek",fiil,B1,,I can't carry a tune.,Müzik yeteneğim yok.
B2 İleri Akademik Fiiller,challenge,"düelloya davet etmek, karşı çıkmak, meydan okumak",fiil,B2,,It's a real challenge.,Bu gerçek bir meydan okuma.
B1 Temel Sınav Fiilleri,char,"kömürleşmek, yakarak kömürleştirmek, karbonlaştırmak",fiil,B1,,The research committee agreed to char the proposed methodology.,Araştırma komitesi önerilen metodolojiyi kömürleşmek konusunda mutabık kaldı.
C1 Üst Düzey Paragraf Fiilleri,characterize,"nitelendirmek, simgesi olmak, farklı olmasını sağlamak",fiil,C1,,"The Japanese distribution system, characterized by layers of wholesale, is complex and costly.",Toptan satış tabakaları ile karakterize edilen Japon dağıtım sistemi karmaşık ve masraflıdır.
B1 Temel Sınav Fiilleri,cheat,"kopya çekmek, aldatmak, aldatma",fiil,B1,,You can't cheat fate.,Kaderi aldatamazsın.
B1 Temel Sınav Fiilleri,choose,"seçmek, chose - chosen, ayırmak",fiil,B1,,It's hard to choose.,Bunu seçmek zor.
B2 İleri Akademik Fiiller,clarify,"berraklaşmak, açıklamak, aydınlığa kavuşturmak",fiil,B2,,I'd like to clarify that.,Onu açıklamak istiyorum.
B2 İleri Akademik Fiiller,classmate,"sınıf arkadaşı, okul arkadaşı",fiil,B2,,I have a classmate who has a motorboat license.,Motorlu tekne lisansı olan bir sınıf arkadaşım var.
B2 İleri Akademik Fiiller,climate,"iklim, çevre, şartlar",fiil,B2,,I like the climate here.,Buranın iklimini seviyorum.
B1 Temel Sınav Fiilleri,climb,"tırmanmak, tırmanış, aşama kaydetmek",fiil,B1,,Don't climb on this!,Buna tırmanma!
B1 Temel Sınav Fiilleri,cloud,"bulut, karartmak, bozmak",fiil,B1,,I'm on cloud nine.,İçim içime sığmıyor.
B2 İleri Akademik Fiiller,collapse,"yığılmak, çökmek, çöküş",fiil,B2,,It's going to collapse.,Bu çökecek.
B2 İleri Akademik Fiiller,collect,"toplamak, biriktirmek, olmak",fiil,B2,,Did you collect them all?,Onların hepsini biriktirdin mi?
B2 İleri Akademik Fiiller,combine,"birleştirmek, birleşmek, kaynaştırmak",fiil,B2,,Combine all the parts to make one piece.,Tek parça yapmak için tüm parçaları birleştirin.
B1 Temel Sınav Fiilleri,come,"gelmek, came - come, gelip dayanmak",fiil,B1,,I'll come by bus.,Otobüsle geleceğim.
B2 İleri Akademik Fiiller,compete,"rekabet etmek, yarışmak, kapışmak",fiil,B2,,I want to compete again.,Tekrar rekabet etmek istiyorum.
B2 İleri Akademik Fiiller,compile,"derlemek, sıralamak, telif etmek",fiil,B2,,We should compile a list of everybody who would be willing to help.,Yardım etmeye istekli olacak herkesin bir listesini derlemeliyiz.
B2 İleri Akademik Fiiller,compose,"bestelemek, oluşturmak, gidermek",fiil,B2,,It's easy for him to compose a good poem.,Onun iyi bir şiir yazması kolay.
B2 İleri Akademik Fiiller,comprise,"kapsamak, içermek, içine almak",fiil,B2,,The research committee agreed to comprise the proposed methodology.,Araştırma komitesi önerilen metodolojiyi kapsamak konusunda mutabık kaldı.
B2 İleri Akademik Fiiller,conduct,"yürütmek, idare etmek, yönetmek",fiil,B2,"carry out, implement, apply, perform",I am ashamed of my conduct.,Davranışımdan utanıyorum.
B2 İleri Akademik Fiiller,confine,"sınırlandırmak, kapatmak, kapamak",fiil,B2,,Confine your remarks to the matter we are discussing.,Yorumlarını tartıştığımız konuyla sınırla.
B2 İleri Akademik Fiiller,confuse,"kafasını karıştırmak, zihnini karıştırmak, telaşlandırmak",fiil,B2,,Don't confuse the two.,İkisini karıştırma.
B2 İleri Akademik Fiiller,connect,"bağlamak, bağlanmak, birleşmek",fiil,B2,,How do I connect to your Wi-Fi?,Senin Wi-Fi'yına nasıl bağlanırım?
C1 Üst Düzey Paragraf Fiilleri,considerate,"düşünceli, hürmetkar, anlayışlı",fiil,C1,,He is a considerate father.,"O, düşünceli bir babadır."
C1 Üst Düzey Paragraf Fiilleri,constitute,"oluşturmak, teşkil etmek, kurmak",fiil,C1,,The research committee agreed to constitute the proposed methodology.,Araştırma komitesi önerilen metodolojiyi oluşturmak konusunda mutabık kaldı.
C1 Üst Düzey Paragraf Fiilleri,constitutes,"oluşturmak, teşkil etmek, kurmak",fiil,C1,,The research committee agreed to constitutes the proposed methodology.,Araştırma komitesi önerilen metodolojiyi oluşturmak konusunda mutabık kaldı.
B2 İleri Akademik Fiiller,construct,"inşa etmek, dikmek, resmetmek",fiil,B2,,After reading his books I feel I can construct a house.,Onun kitaplarını okuduktan sonra bir ev inşa edebileceğimi hissediyorum.
B2 İleri Akademik Fiiller,consume,"tüketmek, yakmak, tükenmek",fiil,B2,,The Swiss consume a large amount of beer.,İsviçre çok miktarda bira tüketiyor.
B2 İleri Akademik Fiiller,contain,"kapsamak, içermek, zaptetmek",fiil,B2,,Does it contain recycled material?,Geri dönüştürülmüş malzeme içeriyor mu?
B2 İleri Akademik Fiiller,continue,"devam ettirmek, sürmek, sürdürmek",fiil,B2,,Can I continue my trip?,Seyahatime devam edebilir miyim?
B2 İleri Akademik Fiiller,continues,"devam ettirmek, sürmek, sürdürmek",fiil,B2,,We just hope it continues.,Sadece onun devam edeceğini umuyoruz.
C1 Üst Düzey Paragraf Fiilleri,contribute,"katkı yapmak, katkıda bulunmak, vermek",fiil,C1,,I want to contribute more.,Daha fazla katkıda bulunmak istiyorum.
B2 İleri Akademik Fiiller,convert,"dönüştürmek, arıtmak, evirmek",fiil,B2,,You must convert dollars into the local currency.,Doları yerel para birimine dönüştürmelisiniz.
B1 Temel Sınav Fiilleri,convey,"iletmek, geçirmek, ulaştırmak",fiil,B1,,I want to convey my sympathy.,Sempatimi iletmek istiyorum.
B2 İleri Akademik Fiiller,convince,"ikna etmek, inandırmak, kandırmak",fiil,B2,,I can't convince Tom.,Tom'u ikna edemem.
B1 Temel Sınav Fiilleri,could,"-abilirdi, -er misin, -ebilirdi",fiil,B1,,Could I get a hug?,Sarılınabilir miyim?
B1 Temel Sınav Fiilleri,create,"meydana getirmek, oluşturmak, yaratmak",fiil,B1,,We didn't create it.,Onu biz yaratmadık.
B2 İleri Akademik Fiiller,cultivate,"ekip biçmek, yetiştirmek, gayret etmek",fiil,B2,,You should cultivate the habit of getting up early.,Erken kalkma alışkanlığını kazanmalısın.
B1 Temel Sınav Fiilleri,cure,"iyileştirmek, tedavi etmek, çare",fiil,B1,"treat, heal, remedy",Have you found a cure?,Bir çare buldun mu?
B1 Temel Sınav Fiilleri,damn,"suçu yüklemek, sövmek, lanet etmek",fiil,B1,,The research committee agreed to damn the proposed methodology.,Araştırma komitesi önerilen metodolojiyi suçu yüklemek konusunda mutabık kaldı.
B1 Temel Sınav Fiilleri,damp,"nem, rutubet, rutubetli",fiil,B1,,My hair is still damp.,Saçım hâlâ nemli.
B1 Temel Sınav Fiilleri,date,"çıkmak, randevuya çıkmak, zaman",fiil,B1,,It's not a date.,Bu bir randevu değil.
B1 Temel Sınav Fiilleri,debate,"çekişmek, çekişme, tartışma",fiil,B1,,It was a hot debate.,O sıcak bir tartışmaydı.
B1 Temel Sınav Fiilleri,decide,"karar vermek, belirlemek, azmetmek",fiil,B1,,I'll let you decide.,Karar vermene izin vereceğim.
B2 İleri Akademik Fiiller,decline,"zayıflamak, inişe geçmek, geri çevirmek",fiil,B2,"decrease, diminish, drop",I had to decline his offer.,Onun teklifini geri çevirmek zorunda kaldım.
B2 İleri Akademik Fiiller,decrease,"küçülmek, azaltmak, düşüş göstermek",fiil,B2,"diminish, decline",This medicine will decrease your pain.,Bu ilaç ağrını azaltacak.
B1 Temel Sınav Fiilleri,defeat,"yenmek, bozguna uğratmak, mağlup etmek",fiil,B1,,You can't defeat me.,Beni yenemezsin.
B1 Temel Sınav Fiilleri,defend,"savunmak, korumak, kanat açmak",fiil,B1,,I won't defend Tom.,Tom'u savunmayacağım.
B1 Temel Sınav Fiilleri,define,"tanımlamak, sınırlamak, belirtmek",fiil,B1,,Let's define our terms.,Şartlarımızı tanımlayalım.
B1 Temel Sınav Fiilleri,delay,"gecikmek, ertelemek, rötar",fiil,B1,,We had a slight delay.,Hafif bir gecikmemiz vardı.
B2 İleri Akademik Fiiller,delicate,"narin, hassas, kolay kırılabilen",fiil,B2,"fragile, sensitive, subtle",It's a delicate problem.,"O, hassas bir problem."
C1 Üst Düzey Paragraf Fiilleri,demonstrate,"ispat etmek, göstermek, kanıtlamak",fiil,C1,,I'll demonstrate it for you.,Bunu senin için kanıtlayacağım.
B1 Temel Sınav Fiilleri,deny,"yalanlamak, inkar etmek, reddetmek",fiil,B1,,I can't deny it.,Bunu inkar edemem.
B1 Temel Sınav Fiilleri,depend,"bağlı olmak, güvenmek, bağımlı olmak",fiil,B1,,Don't depend on it.,Ona bağlı olma.
B2 İleri Akademik Fiiller,deserve,"hak etmek, layık olmak, hak kazanmak",fiil,B2,,I don't deserve it.,Ben onu hak etmiyorum.
B2 İleri Akademik Fiiller,desperate,"çaresiz, umutsuz, her şeyi göze alabilen",fiil,B2,,I'm not that desperate.,O kadar da çaresiz değilim.
B1 Temel Sınav Fiilleri,detect,"keşfetmek, sezmek, belirlemek",fiil,B1,,I can't detect any pattern.,Ben bir bağlantı kuramadım.
B2 İleri Akademik Fiiller,determine,"azmetmek, kararlaştırmak, belirlemek",fiil,B2,,How did you determine that?,Onu nasıl kararlaştırdın?
B2 İleri Akademik Fiiller,develop,"geliştirmek, gelişmek, yıkamak",fiil,B2,,We must develop a plan.,Bir plan geliştirmeliyiz.
B2 İleri Akademik Fiiller,diagnose,"teşhis etmek, tanı koymak, teşhis koymak",fiil,B2,,Have you ever been diagnosed with HIV?,Hiç HIV tanısı aldınız mı?
B1 Temel Sınav Fiilleri,die,"ölmek, vefat etmek, rahmetli olmak",fiil,B1,,Don't die on me.,Üstümde ölme.
B2 İleri Akademik Fiiller,disappear,"ortadan kaybolmak, yok olmak, gözden kaybolmak",fiil,B2,,I just want to disappear.,Ben sadece ortadan kaybolmak istiyorum.
C1 Üst Düzey Paragraf Fiilleri,disappoint,"hayal kırıklığına uğratmak, altüst etmek, ümidini boşa çıkarmak",fiil,C1,,I won't disappoint you.,Ben seni hayal kırıklığına uğratmayacağım.
C1 Üst Düzey Paragraf Fiilleri,discovered,"keşfedilmek, açığa çıkarılmak, bulunmak",fiil,C1,,He discovered a new star.,Yeni bir yıldız keşfetti.
B2 İleri Akademik Fiiller,discuss,"görüşmek, tartışmak, ele almak",fiil,B2,,I can't discuss it.,Bunu tartışamam.
B2 İleri Akademik Fiiller,dismantle,"sökmek, çıkarmak, parçalamak",fiil,B2,,The research committee agreed to dismantle the proposed methodology.,Araştırma komitesi önerilen metodolojiyi sökmek konusunda mutabık kaldı.
B2 İleri Akademik Fiiller,dismiss,"azletmek, kovmak, işten atmak",fiil,B2,,Don't dismiss any possibility.,Hiçbir ihtimali dışlama.
B2 İleri Akademik Fiiller,dissolve,"eritmek, çözmek, son vermek",fiil,B2,,Dissolve the tablet in a glass of water.,Tableti bir bardak su içinde erit.
B1 Temel Sınav Fiilleri,do,"etmek, yapmak, did - done",fiil,B1,,I can't do it.,Onu yapamam.
B1 Temel Sınav Fiilleri,donate,"bağışta bulunmak, bağışlamak, hibe etmek",fiil,B1,,I didn't donate blood.,Kan bağışında bulunmadım.
B1 Temel Sınav Fiilleri,draw,"karalamak, çekmek, çizmek",fiil,B1,,I didn't draw this.,Bunu ben çizmedim.
B1 Temel Sınav Fiilleri,drop,"düşmek, düşürmek, düşüş",fiil,B1,decline,I won't drop it.,Onu düşürmeyeceğim.
B1 Temel Sınav Fiilleri,dwell,"ikamet etmek, dwelt/dwelled - dwelt/dwelled, kalmak",fiil,B1,,I try not to dwell on the past.,Geçmişte yaşamamaya çalışıyorum.
B2 İleri Akademik Fiiller,eclipse,"tutulmak, tutulma, sönmek",fiil,B2,,Did you see the eclipse?,Tutulmayı gördün mü?
B2 İleri Akademik Fiiller,elevate,"aklı/ruhu geliştirmek, terfi ettirmek, yükseltmek",fiil,B2,,The research committee agreed to elevate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi aklı/ruhu geliştirmek konusunda mutabık kaldı.
B2 İleri Akademik Fiiller,eliminate,"elemek, ekarte etmek, ortadan kaldırmak",fiil,B2,,We can eliminate parking fees.,Park ücretlerini ortadan kaldırabiliriz
B1 Temel Sınav Fiilleri,emerge,"ortaya çıkmak, meydana çıkmak, sudur etmek",fiil,B1,,She emerged from the kitchen.,"O, mutfaktan çıktı."
B1 Temel Sınav Fiilleri,emit,"atmak, yayınlamak, belirtmek",fiil,B1,,The research committee agreed to emit the proposed methodology.,Araştırma komitesi önerilen metodolojiyi atmak konusunda mutabık kaldı.
B1 Temel Sınav Fiilleri,employ,"işe almak, çalıştırmak, kullanmak",fiil,B1,,They don't employ enough people.,Yeteri kadar insan çalıştırmıyorlar.
B2 İleri Akademik Fiiller,encourage,"cesaretlendirmek, yüreklendirmek, özendirmek",fiil,B2,"foster, stimulate, support, inspire",I encourage you to do so.,Ben sizi öyle yapmaya teşvik ediyorum.
B2 İleri Akademik Fiiller,enlarge,"genişlemek, boyutunu büyütmek, büyütmek",fiil,B2,,They're going to enlarge their store.,Onlar mağazalarını büyütecek.
B1 Temel Sınav Fiilleri,ensure,"sağlama almak, sağlamak, garantiye almak",fiil,B1,,I'll do my best to ensure that such mistakes don't occur in the future.,Bu tür hataların gelecekte olmamasını sağlamak için elimden geleni yapacağım.
B2 İleri Akademik Fiiller,entertain,"eğlendirmek, oyalamak, ağırlamak",fiil,B2,,Will you entertain the guests while I get dressed?,Ben giyinirken misafirleri eğlendirir misin?
B2 İleri Akademik Fiiller,eradicate,"kökünü kurutmak, kökünden söküp atmak, kökünden sökmek",fiil,B2,,The way to reduce crime is to eradicate poverty.,Suçu azaltmanın yolu yoksulluğu ortadan kaldırmaktır.
B2 İleri Akademik Fiiller,estimate,"kestirmek, tahmin etmek, tahmin",fiil,B2,,Can you estimate its value?,Onun değerini tahmin edebilir misin?
B2 İleri Akademik Fiiller,evaluate,"değerlendirmek, ölçmek, değerlendirmeye almak",fiil,B2,,It's difficult to evaluate his ability.,Onun yeteneğini değerlendirmek zordur.
B1 Temel Sınav Fiilleri,ever,"durmadan, her zaman, daima",fiil,B1,,Don't ever let go.,Hiç bırakma.
C1 Üst Düzey Paragraf Fiilleri,everywhere,"her yer, her yere, her taraf",fiil,C1,,Cops can't be everywhere.,Polisler her yerde olamazlar.
B1 Temel Sınav Fiilleri,evolve,"evrim geçirmek, yavaş yavaş gelişmek, gelişmek",fiil,B1,,We did not evolve from monkeys. We share a common ancestor.,Biz maymunlardan evrim geçirmedik. Ortak bir atayı paylaşıyoruz.
B2 İleri Akademik Fiiller,examine,"muayene etmek, incelemek, yoklamak",fiil,B2,,I'll have to examine you.,Seni muayene etmem gerekecek.
B2 İleri Akademik Fiiller,execute,"infaz etmek, idam etmek, yapmak",fiil,B2,"apply, implement",We must execute his orders.,Onun emirlerini yerine getirmeliyiz.
B2 İleri Akademik Fiiller,exercise,"alıştırma yapmak, egzersiz yapmak, egzersiz",fiil,B2,,Do you like to exercise?,Egzersiz yapmak ister misin?
B2 İleri Akademik Fiiller,exhaust,"egzoz, paçavrasını çıkarmak, yormak",fiil,B2,tire,Exhaust from factories pollutes the air.,Fabrikalardan gelen gazlar havayı kirletir.
B2 İleri Akademik Fiiller,exhibit,"sergilemek, sergi, ortaya koymak",fiil,B2,,We'll see the exhibit tomorrow.,Sergiyi yarın göreceğiz.
B1 Temel Sınav Fiilleri,expand,"yayılmak, genişlemek, genişletmek",fiil,B1,,Can you expand on that?,Onu ayrıntılarıyla açıklayabilir misin?
B1 Temel Sınav Fiilleri,expect,"ummak, beklemek, ümit etmek",fiil,B1,,I didn't expect it.,Bunu beklemiyordum.
B1 Temel Sınav Fiilleri,expel,"defetmek, azletmek, çıkarmak",fiil,B1,,The research committee agreed to expel the proposed methodology.,Araştırma komitesi önerilen metodolojiyi defetmek konusunda mutabık kaldı.
B2 İleri Akademik Fiiller,expertise,"uzman görüşü sunmak, uzluk, ustalık",fiil,B2,,That's outside my area of expertise.,Bu benim uzmanlık alanımın dışında.
B2 İleri Akademik Fiiller,explain,"açıklamak, izah etmek, aydınlatmak",fiil,B2,,I can't explain it.,Onu açıklayamam.
B2 İleri Akademik Fiiller,explore,"keşfetmek, araştırmak, tetkik etmek",fiil,B2,,Let's explore the possibilities.,Olanakları inceleyelim.
B2 İleri Akademik Fiiller,express,"ifade etmek, açık, belli",fiil,B2,,How much is the express?,Ekspress ne kadar?
B1 Temel Sınav Fiilleri,extend,"sunmak, genişletmek, uzatmak",fiil,B1,,Can I extend my stay?,Kalışımı uzatabilir miyim?
C1 Üst Düzey Paragraf Fiilleri,exterminate,"kırmak, kökünü kurutmak, mahvetmek",fiil,C1,,The research committee agreed to exterminate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi kırmak konusunda mutabık kaldı.
C1 Üst Düzey Paragraf Fiilleri,facilitate,"hafifletmek, rahatlatmak, olanak tanımak",fiil,C1,,I think I can facilitate that.,Bunu kolaylaştırabileceğimi düşünüyorum
B1 Temel Sınav Fiilleri,fall,"inmek, düşmek, güz",fiil,B1,,I didn't fall down.,Ben düşmedim.
B1 Temel Sınav Fiilleri,feel,"hissetmek, felt - felt, sezmek",fiil,B1,,I can't feel it.,Bunu hissedemiyorum.
B1 Temel Sınav Fiilleri,find,"bulmak, found - found, rastlamak",fiil,B1,,I can't find it.,Onu bulamıyorum.
B1 Temel Sınav Fiilleri,fire,"ateşlemek, kovmak, yangın",fiil,B1,,I can't fire Tom.,Tom'u işten kovamam.
B1 Temel Sınav Fiilleri,first,"birinci, ilk, önce",fiil,B1,,I'll go in first.,İlk olarak ben gideceğim.
B2 İleri Akademik Fiiller,focalize,"küçük bir alana sınırlamak, odaklamak, odaklanmak",fiil,B2,,The research committee agreed to focalize the proposed methodology.,Araştırma komitesi önerilen metodolojiyi küçük bir alana sınırlamak konusunda mutabık kaldı.
B1 Temel Sınav Fiilleri,fog,"sis, donuklaşmak, sis kaplamak",fiil,B1,,The fog's very dense.,Sis çok yoğun.
