Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
businesses,"aile işletmeleri, emlak işleri, işlerin çoğunun fiziksel temsilciler vasıtası ile fiziksel ürünler satarak gerçekleştirildiği eski ve geleneksel ticaret yöntemi",isim,C1,,"As businesses failed, workers lost their jobs.",İşler başarısız sonuçlanınca işçiler işlerini kaybettiler.
capabilities,yetenekler,isim,C1,,The investigation highlighted the critical role of capabilities.,Soruşturma yetenekler kavramının kritik rolünü vurguladı.
capability,"kabiliyet, iktidar, yararlılık",isim,C1,,The investigation highlighted the critical role of capability.,Soruşturma kabiliyet kavramının kritik rolünü vurguladı.
challenges,zorluklar,isim,C1,,We do have some challenges.,Bazı zorluklarımız var.
characterization,"niteleme, nitelendirme, nitelendirilme",isim,C1,,The investigation highlighted the critical role of characterization.,Soruşturma niteleme kavramının kritik rolünü vurguladı.
circumference,"daire çevresi, dairenin etrafını dolaşan çizgi, dairenin çevresi",isim,C1,,The investigation highlighted the critical role of circumference.,Soruşturma daire çevresi kavramının kritik rolünü vurguladı.
clarification,"açıklık kazanma, açıklığa kavuşma, açıklığa kavuşturma",isim,C1,,The investigation highlighted the critical role of clarification.,Soruşturma açıklık kazanma kavramının kritik rolünü vurguladı.
classification,"sınıflandırma, klasman, adlandırma",isim,C1,,The investigation highlighted the critical role of classification.,Soruşturma sınıflandırma kavramının kritik rolünü vurguladı.
comedian's,"komedi yazarı, komedyen, güldürücü",isim,C1,,The investigation highlighted the critical role of comedian's.,Soruşturma komedi yazarı kavramının kritik rolünü vurguladı.
communication,"iletişim, temas, mesaj",isim,C1,,English is a means of communication.,İngilizce bir haberleşme aracıdır.
competence,"yeterlik, kabiliyet, yeterlilik",isim,C1,,I'm not questioning your competence.,Ben senin yeterliliğini sorgulamıyorum.
complement,"tamamlamak, tümlemek, mürettebat",isim,C1,,The wine complemented the meal perfectly.,Şarap yemeği mükemmel şekilde tamamladı.
compliment,"kompliman, iltifat, övgü",isim,C1,,He paid me a compliment.,O bana iltifat etti.
compliments,"selamlar, saygılar, tebrikler",isim,C1,,I got a lot of compliments on it.,Onun üzerine birçok övgü aldım.
conclusion,"sonuç, bitim, ceza",isim,C1,,It's a foregone conclusion.,Bu kaçınılmaz bir sonuç.
conclusions,"sonuçlar bildirgesi, sonuçlar",isim,C1,,Don't jump to conclusions.,Sonuçlara atlamayın.
conditions,"koşullar, şartlar, ahval",isim,C1,,It depends on the conditions.,Şartlara bağlıdır.
confidence,"güven, mahremiyet, itimat",isim,C1,,I had confidence in him.,Ona güvenim vardı.
connection,"bağ, bağlantı, alaka",isim,C1,,What's Tom's connection?,Tom'un bağlantısı nedir?
connectivity,"bağlanırlık, bağlantısallık, bağlanabilirlik",isim,C1,,The investigation highlighted the critical role of connectivity.,Soruşturma bağlanırlık kavramının kritik rolünü vurguladı.
consequence,"netice, sonuç, semere",isim,C1,,It's of no consequence.,Bu önemsiz.
constraint,"kısıtlama, baskı, kısıtlamak",isim,C1,,There are few legal constraints on the sale of firearms in the U.S.,ABD'de ateşli silah satışı üzerine birkaç yasal sınırlama vardır.
construction,"yapı, inşaat, inşa",isim,C1,,I'm a construction worker.,Ben bir inşaat işçisiyım.
containers,"içecek kapları, yiyecek kapları, kap adedi",isim,C1,,Do you know what's in those containers?,Şu konteynerlerde ne olduğunu biliyor musun?
containment,"tutma, kapsama, önleme",isim,C1,,The investigation highlighted the critical role of containment.,Soruşturma tutma kavramının kritik rolünü vurguladı.
corporation,"kurum, dernek, lonca",isim,C1,,She works for a large American corporation.,Büyük bir Amerikan şirketi için çalışıyor.
depression,"çöküntü, depresyon, bunalım",isim,C1,,She's in a depression.,O bir depresyonda.
development,"gelişim, gelişme, adet edinme",isim,C1,,This is a huge development.,Bu büyük bir gelişme.
difficulty,"zorluk, güçlük, açmazlık",isim,C1,,Are you in any difficulty?,Herhangi bir sıkıntı içinde misin?
disappearance,"gözden kaybolma, kaybolma, yok olma",isim,C1,,Everyone knows about Tom's disappearance.,Herkes Tom'un kaybolduğunu biliyor.
disappointment,"hüsran, hayal kırıklığı, ümidi boşa çıkma",isim,C1,,It was a huge disappointment.,Bu büyük bir hayal kırıklığıydı.
discomfort,"rahatsız etmek, rahatsızlık, bozmak",isim,C1,,Are you experiencing any discomfort?,Bir rahatsızlık hissediyor musunuz?
discussion,"tartışma, müzakere, bahis",isim,C1,,We had a heated discussion.,Hararetli bir tartışmamız vardı.
disturbance,"kargaşa, rahatsızlık, rahatsız etme",isim,C1,,The police intervened in the disturbance.,Polis rahatsızlığa müdahale etti.
disturbances,fitne,isim,C1,,The investigation highlighted the critical role of disturbances.,Soruşturma fitne kavramının kritik rolünü vurguladı.
efficiency,"liyakat, yeterlik, hızlı ve verimli çalışma",isim,C1,,The investigation highlighted the critical role of efficiency.,Soruşturma liyakat kavramının kritik rolünü vurguladı.
electricity,"elektrik, cereyan, çıngı",isim,C1,,There's no more electricity.,Artık elektrik yok.
empowering,"salahiyet tanıma, müsaade etme, salahiyet verme",isim,C1,,The investigation highlighted the critical role of empowering.,Soruşturma salahiyet tanıma kavramının kritik rolünü vurguladı.
enhancement,"artırılma, iyileştirme, artış",isim,C1,,Numerous other enhancements were added.,Sayısız başka iyileştirme eklendi.
entertainment,"eğlence, alem, ziyafet",isim,C1,,Music is a form of entertainment.,Müzik bir eğlence şeklidir.
enthusiasm,"heves, coşkunluk, coşku",isim,C1,,I love Tom's enthusiasm.,Tom'un hevesini seviyorum.
equilibrium,"denge, balans, kararlılık",isim,C1,,The investigation highlighted the critical role of equilibrium.,Soruşturma denge kavramının kritik rolünü vurguladı.
establishing,"tesis, kurma, tesbit",isim,C1,,The investigation highlighted the critical role of establishing.,Soruşturma tesis kavramının kritik rolünü vurguladı.
establishment,"kuruluş, kurum, tesis",isim,C1,,The investigation highlighted the critical role of establishment.,Soruşturma kuruluş kavramının kritik rolünü vurguladı.
evaluation,"değerlendirme, ölçüm, değer tahmini",isim,C1,,We want a complete evaluation.,Tam bir değerlendirme istiyoruz.
excitement,"heyecan, galeyan, coşku",isim,C1,,What's all the excitement?,Bütün bu heyecan ne?
exhibition,"sergi, gösteri, şölen",isim,C1,,The exhibition is now open.,Sergi şimdi açık.
expectation,"beklenti, ümit, olasılık",isim,C1,,It fell short of my expectation.,"O, beklentimi karşılamadı."
expectations,"beklentiler, bekleyiş, tahmin",isim,C1,,Tom's expectations are clear.,Tom'un beklentileri açık.
experience,"deneyim, tecrübe, görmek",isim,C1,,It was a bad experience.,Kötü bir deneyimdi.
experiences,"deneyimler, yaşananlar",isim,C1,,I've had similar experiences.,Benzer deneyimler yaşadım.
experiencing,"deneyim, deneyim etme",isim,C1,,Are you experiencing any discomfort?,Bir rahatsızlık hissediyor musunuz?
expertness,"bilirkişilik, ustalık, uzmanlık",isim,C1,,The investigation highlighted the critical role of expertness.,Soruşturma bilirkişilik kavramının kritik rolünü vurguladı.
exploration,"keşif, araştırma, inceleme",isim,C1,,The investigation highlighted the critical role of exploration.,Soruşturma keşif kavramının kritik rolünü vurguladı.
extinction,"söndürme, feshetme, sönme",isim,C1,,They are in danger of extinction.,Onlar yok olma tehdidi altında.
foundation,"dayanak, vakıf, kuruluş",isim,C1,,The rumor was without foundation.,Söylenti temelsizdi.
frustration,"hüsran, eziklik, hayal inkisarı",isim,C1,,I understand Tom's frustration.,Tom'un hayal kırıklığını anlıyorum.
greenhouse,"sera, kış bahçesi, camekan",isim,C1,,I grow orchids in my greenhouse.,Seramda orkide yetiştiririm.
guidelines,"öneriler, ana esaslar, yönlendirici ilkeler",isim,C1,,I'm following the guidelines.,Ben yönergeleri izliyorum.
headlights,farlar,isim,C1,,The headlights don't work.,Farlar çalışmıyor.
hypothesis,"hipotez, varsayım, kaziye",isim,C1,,It was only a hypothesis.,O sadece bir hipotezdi.
implementation,"uygulama, yürürlüğe koyma, uyarlama",isim,C1,,The investigation highlighted the critical role of implementation.,Soruşturma uygulama kavramının kritik rolünü vurguladı.
impression,"izlenim, etki, baskı",isim,C1,,He makes a bad impression.,Kötü bir izlenim bırakıyor.
improvement,"gelişim, ilerleme, iyileşme",isim,C1,,That would be an improvement.,Bu bir gelişme olur.
independence,"özgürlük, bağımsızlık, serbestlik",isim,C1,,The nation recently declared its independence.,Ulus son zamanlarda bağımsızlığını ilan etti.
indication,"belirti, anlatma, ölçüm",isim,C1,,I see no indication of that ever happening.,Onun olup bittiğine dair bir işaret görmüyorum.
information,"bilgi, ilmi vukuf, iddia",isim,C1,"knowledge, data, intel",I'd like some information.,Biraz bilgi istiyorum.
ingredient,"cüz, bir şeyin terkibine giren madde, bileşim maddesi",isim,C1,,What's the secret ingredient?,Gizli madde nedir?
inheritance,"veraset, miras, kalıt",isim,C1,,I've already spent my inheritance.,Mirasımı çoktan harcadım.
innovators,yenilikçiler,isim,C1,,The investigation highlighted the critical role of innovators.,Soruşturma yenilikçiler kavramının kritik rolünü vurguladı.
inoculation,"aşılama, aşı, aşılanma",isim,C1,,The investigation highlighted the critical role of inoculation.,Soruşturma aşılama kavramının kritik rolünü vurguladı.
instructor,"eğitmen, eğitici, asistan",isim,C1,,Is your brother a ski instructor?,Erkek kardeşin kayak eğitmeni mi?
instrument,"enstrüman, alet, belgit",isim,C1,,Do you play an instrument?,Bir enstrüman çalıyor musun?
instruments,"edevat, araç gereç, araçlar",isim,C1,,Do you play any instruments?,Herhangi bir müzik aleti çalıyor musun?
intelligence,"istihbarat, zeka, akıl",isim,C1,,Don't insult my intelligence.,Benim zekama hakaret etmeyin.
interactions,"ayrık etkileşimler, elektron-fonon etkileşimleri, geçişim etkileşimleri",isim,C1,,The investigation highlighted the critical role of interactions.,Soruşturma ayrık etkileşimler kavramının kritik rolünü vurguladı.
interference,"karışma, müdahale, girişim",isim,C1,,The investigation highlighted the critical role of interference.,Soruşturma karışma kavramının kritik rolünü vurguladı.
interruption,"sekte, kesinti, kesilme",isim,C1,,We're sorry for the interruption.,Böldüğümüz için üzgünüz.
interruptions,"kısa kesintiler ve gerilim değişmeleri ile ilgili bağışıklık deneyleri, kısa kesintiler, makine denetim kesilmeleri",isim,C1,,He doesn't allow interruptions.,"O, kesintilere izin vermez."
intervention,"araya girme, müdahale, aracılık",isim,C1,,The investigation highlighted the critical role of intervention.,Soruşturma araya girme kavramının kritik rolünü vurguladı.
introduction,"giriş, tanıtım, tavsiye mektubu",isim,C1,,Thank you for the introduction.,Tanıtım için teşekkür ederim.
limitation,"kısıtlama, sınırlama, limit",isim,C1,,It is important to know your own limitations.,Kendi sınırlarını bilmen önemlidir.
limitations,"kısıtlamalar, kısıtlar, sınırlar",isim,C1,,It is important to know your own limitations.,Kendi sınırlarını bilmen önemlidir.
literature,"literatür, edebiyat, kaynak",isim,C1,,Do you like French literature?,Fransız edebiyatını beğenir misin?
magician's,"sihirbaz, büyücü, gözbağcı",isim,C1,,The investigation highlighted the critical role of magician's.,Soruşturma sihirbaz kavramının kritik rolünü vurguladı.
maintaining,"koruma, kollama",isim,C1,,Maintaining that tie is important.,O kravata bakım yapmak önemlidir.
maintenance,"bakım, muhafaza, idame",isim,C1,,The website was down for maintenance.,Web sitesi bakım için devre dışıydı.
management,"işletme, idare, yönetim",isim,C1,,We're under new management.,Yeni yönetim altındayız.
manufacture,"imal etmek, üretim, uydurmak",isim,C1,,Robots are used to manufacture cars.,Robotlar araba üretmek içindir.
manufacturer,"imalatçı, yapımcı, üreticisi",isim,C1,,The manufacturer guaranteed the new machine for 5 years.,Üretici yeni makineye 5 yıl garanti verdi.
measurement,"ölçüm, ölçü, mesaha",isim,C1,,That's an exact measurement.,O bir tam ölçüm.
measurements,"ölçüler, ölçü birimi",isim,C1,,The measurements must be precise.,Ölçümler hassas olmalı.
neighborhood,"mahalle, muhit, komşular",isim,C1,,It's a bad neighborhood.,Bu kötü bir mahalle.
nutritionist,"diyetisyen, beslenme uzmanı, nütritiyonist",isim,C1,,The investigation highlighted the critical role of nutritionist.,Soruşturma diyetisyen kavramının kritik rolünü vurguladı.
observation,"gözetleme, gözlem, rasat",isim,C1,,Can I make one observation?,Ben bir gözlem yapabilir miyim?
opportunities,"fırsatlar, imkanlar",isim,C1,,Don't let opportunities pass by.,Fırsatların geçip gitmesine izin vermeyin.
opportunity,"olanak, imkan, fırsat",isim,C1,,It's a huge opportunity.,O büyük bir fırsat.
perception,"algı, algılanma, feraset",isim,C1,,Maybe it's a question of perception.,Belki bu bir algılama sorunudur.
performance,"performans, oynanma, gösteri",isim,C1,,I loved Tom's performance.,Tom'un performansını sevdim.
personality,"kişilik, şahsiyet, önemli kişi",isim,C1,,I like Tom's personality.,Tom'un kişiliğini seviyorum.
persuasion,"ikna etme, inandırma, ikna",isim,C1,,The investigation highlighted the critical role of persuasion.,Soruşturma ikna etme kavramının kritik rolünü vurguladı.
pharmacist,eczacı,isim,C1,,You should be a pharmacist.,Sen bir eczacı olmalısın.
phenomenon,"algılanabilen şey, olağanüstülük, olgu",isim,C1,,It's a normal phenomenon.,Bu normal bir olgudur.
photosynthesis,"fotosentez, ışılbireşim, ışık yardımı ile besin biriktirme süreçi",isim,C1,,The investigation highlighted the critical role of photosynthesis.,Soruşturma fotosentez kavramının kritik rolünü vurguladı.
population,"nüfus, ahali, sekene",isim,C1,,What's Boston's population?,Boston'un nüfusu nedir?
practicality,"kullanışlılık, uygulanabilirlik, pratiklik",isim,C1,,He is inclined to look at everything from the standpoint of its practicality and is neither stingy nor extravagant.,O her şeye pratikliği bakımından bakma eğilimindedir ve ne pinti ne de savurgandır.
precaution,"önlem, tedbir, ihtiyat",isim,C1,,It's just a precaution.,Bu sadece bir önlem.
precautions,önlemler,isim,C1,,Didn't you take precautions?,Önlemler almadın mı?
predictions,"tahminler, kehanetler",isim,C1,,I'm making no predictions.,Tahmin yapmıyorum.
prejudgment,"önyargı, yargılamadan verilen hüküm, peşin hüküm",isim,C1,,The investigation highlighted the critical role of prejudgment.,Soruşturma önyargı kavramının kritik rolünü vurguladı.
presentation,"sunum, sahneleme, arz",isim,C1,,How did the presentation go?,Sunum nasıl gitti?
presentations,sunular,isim,C1,,The investigation highlighted the critical role of presentations.,Soruşturma sunular kavramının kritik rolünü vurguladı.
prevention,"menetme, önlem, engelleme",isim,C1,,Prevention is the best medicine.,Korunmak en iyi ilaçtır.
production,"üretme, yapım, imal",isim,C1,,Production of rice has decreased.,Pirinç üretimi azaldı.
professionals,profesyonel,isim,C1,,Leave it to the professionals.,Bunu profesyonellere bırak.
progression,"ilerleme, devamlılık, sıra",isim,C1,,What's the chord progression?,Akort ilerlemesi nedir?
proportion,"orantı, oran, ayarlamak",isim,C1,,Each man's pay was in proportion to his work.,Her birinin ödemesi onun eseri ile orantılıydı.
protection,"himaye, koruma, korunma",isim,C1,,I don't need protection.,Korumaya ihtiyacım yok.
psychology,"ruh bilimi, psikoloji, tinbilim",isim,C1,,I have a degree in psychology.,Psikoloji diplomam var.
reachability,"ulaşılabilirlik, erişilebilirlik",isim,C1,,The investigation highlighted the critical role of reachability.,Soruşturma ulaşılabilirlik kavramının kritik rolünü vurguladı.
recommendation,"tavsiye, tavsiyename, iş başarı belgesi",isim,C1,,Do you have a recommendation?,Bir tavsiyen var mı?
recovering,"ihya, geri alma, kendine gelme",isim,C1,,He has no chance of recovering.,Onun iyileşme şansı yok.
rehabilitation,"rehabilitasyon, ıslah, haklarını geri verme",isim,C1,,Making amends is the first step toward rehabilitation.,Telafi etmek rehabilitasyona doğru ilk adımdır.
relativity,"izafiyet, bağıntıcılık, mensubiyet",isim,C1,,Few scientists understand the theory of relativity.,Görecelik teorisini az sayıda bilimci anlıyor.
relaxation,"dinlenme, relaksasyon, istirahat",isim,C1,,What do you do for relaxation?,Rahatlamak için ne yapıyorsun?
represents,"aşağıdaki tutarlardan daha yüksek olanını aşan, her nokta, ilgili boyut",isim,C1,,A talent agency represents actors.,Bir yetenek ajansı aktörleri temsil eder.
resilience,"elastikiyet, geri tepme, çabuk iyileşme gücü",isim,C1,,The investigation highlighted the critical role of resilience.,Soruşturma elastikiyet kavramının kritik rolünü vurguladı.
restlessness,"yerinde duramama, huzursuzluk, uykusuzluk",isim,C1,,His restlessness gave her a hint that something was wrong.,Onun huzursuzluğu ona bir şeylerin yanlış olduğuna dair bir ipucu verdi.
restoration,"restore etme, restorasyon, restorasyon dönemi",isim,C1,,The investigation highlighted the critical role of restoration.,Soruşturma restore etme kavramının kritik rolünü vurguladı.
restriction,"sınırlama, kısıtlama, tahdit",isim,C1,,They decided to abolish the old restriction.,Eski kısıtlamayı kaldırmaya karar verdiler.
revolution,"ihtilal, devrim, inkılap",isim,C1,,The French Revolution began in 1789.,Fransız Devrimi 1789 yılında başladı.
scientists,"bilim adamları, bilim insanları",isim,C1,,The scientists analyzed the data.,Bilim adamları veriyi analiz ettiler.
segregation,"ırk ayrımı, ayrı depolama, ayrı tutma",isim,C1,,The investigation highlighted the critical role of segregation.,Soruşturma ırk ayrımı kavramının kritik rolünü vurguladı.
skyscraper,gökdelen,isim,C1,,The skyscraper was built on a solid foundation.,Gökdelen sağlam bir temel üzerine inşa edildi.
skyscrapers,gökdelenler,isim,C1,,The investigation highlighted the critical role of skyscrapers.,Soruşturma gökdelenler kavramının kritik rolünü vurguladı.
specialist,"uzman, kompetan, uzman doktor",isim,C1,,I'm not a specialist.,Ben bir uzman değilim.
storytelling,"hikaye anlatıcılığı, hikaye anlatma sanatı, hikaye anlatma",isim,C1,,The investigation highlighted the critical role of storytelling.,Soruşturma hikaye anlatıcılığı kavramının kritik rolünü vurguladı.
substances,"tehlikeli atıklar, zehirli nesneler, tehlikeli maddeler",isim,C1,,Do you use any illegal substances?,Yasa dışı madde kullanıyor musunuz?
suggesting,"gösteren, farzedelim ki, öne süren",isim,C1,,I'm not suggesting that.,Onu önermiyorum.
suggestion,"telkin, öneri, telkin etme",isim,C1,,I've got a suggestion.,Bir önerim var.
suitability,"uygunluk, uygun olma, liyakat",isim,C1,,The investigation highlighted the critical role of suitability.,Soruşturma uygunluk kavramının kritik rolünü vurguladı.
supervision,"teftiş, nezaret, denetim",isim,C1,,The children need adult supervision.,Çocukların yetişkin gözetimine ihtiyaçları vardır.
supplement,"ek, tamamlamak, eklemek",isim,C1,,You had better supplement your diet with vitamins.,Diyetini vitaminlerle tamamlasan iyi olur.
supplements,"ücret ve maaşlara ek ödemeler, yan ödemeler, beslenme ve diyet destekleri",isim,C1,,The investigation highlighted the critical role of supplements.,Soruşturma ücret ve maaşlara ek ödemeler kavramının kritik rolünü vurguladı.
techniques,"taktikler, prosedürler, yöntemler",isim,C1,,I've learned a lot of techniques from Tom.,Tom'dan bir sürü teknik öğrendim.
temperature,"sıcaklık, ısı derecesi, ısı",isim,C1,,I took Tom's temperature.,Tom'un ateşini ölçtüm.
temperatures,"düşük sıcaklıklar, tüm dünyadaki en uç ortam sıcaklıkları, hafifçe yükselen sıcaklıklar",isim,C1,,Milder temperatures are expected next week.,Gelecek hafta daha hafif sıcaklıklar bekleniyor.
transformation,"dönüşüm, dönüştürme, inkılap",isim,C1,,The investigation highlighted the critical role of transformation.,Soruşturma dönüşüm kavramının kritik rolünü vurguladı.
transparency,"şeffaflık, saydamlık, diyapozitif",isim,C1,,Is transparency a bad thing?,Şeffaflık kötü bir şey mi?
transportation,"taşıma, nakliye, ulaştırma",isim,C1,,We have no means of transportation.,Taşımacılık araçlarımız yok.
typewriter,"daktilo, yazı makinesi, daktilo makinesi",isim,C1,,May I use your typewriter?,Ben senin daktilonu kullanabilir miyim?
understanding,"kavrayış, anlama, anlayış",isim,C1,,I keep on not understanding.,Anlamamaya devam ediyorum.
unevenness,"düzgünsüzlük, pürüz, yamukluk",isim,C1,,The investigation highlighted the critical role of unevenness.,Soruşturma düzgünsüzlük kavramının kritik rolünü vurguladı.
usefulness,"fayda, hayır, faydalılık",isim,C1,,The investigation highlighted the critical role of usefulness.,Soruşturma fayda kavramının kritik rolünü vurguladı.
