Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
combine,"birleştirmek, birleşmek, kaynaştırmak",fiil,B2,,Combine all the parts to make one piece.,Tek parça yapmak için tüm parçaları birleştirin.
compete,"rekabet etmek, yarışmak, kapışmak",fiil,B2,,I want to compete again.,Tekrar rekabet etmek istiyorum.
compile,"derlemek, sıralamak, telif etmek",fiil,B2,,We should compile a list of everybody who would be willing to help.,Yardım etmeye istekli olacak herkesin bir listesini derlemeliyiz.
compose,"bestelemek, oluşturmak, gidermek",fiil,B2,,It's easy for him to compose a good poem.,Onun iyi bir şiir yazması kolay.
comprise,"kapsamak, içermek, içine almak",fiil,B2,,The research committee agreed to comprise the proposed methodology.,Araştırma komitesi önerilen metodolojiyi kapsamak konusunda mutabık kaldı.
conduct,"yürütmek, idare etmek, yönetmek",fiil,B2,"carry out, implement, apply, perform",I am ashamed of my conduct.,Davranışımdan utanıyorum.
confine,"sınırlandırmak, kapatmak, kapamak",fiil,B2,,Confine your remarks to the matter we are discussing.,Yorumlarını tartıştığımız konuyla sınırla.
confuse,"kafasını karıştırmak, zihnini karıştırmak, telaşlandırmak",fiil,B2,,Don't confuse the two.,İkisini karıştırma.
connect,"bağlamak, bağlanmak, birleşmek",fiil,B2,,How do I connect to your Wi-Fi?,Senin Wi-Fi'yına nasıl bağlanırım?
construct,"inşa etmek, dikmek, resmetmek",fiil,B2,,After reading his books I feel I can construct a house.,Onun kitaplarını okuduktan sonra bir ev inşa edebileceğimi hissediyorum.
consume,"tüketmek, yakmak, tükenmek",fiil,B2,,The Swiss consume a large amount of beer.,İsviçre çok miktarda bira tüketiyor.
contain,"kapsamak, içermek, zaptetmek",fiil,B2,,Does it contain recycled material?,Geri dönüştürülmüş malzeme içeriyor mu?
continue,"devam ettirmek, sürmek, sürdürmek",fiil,B2,,Can I continue my trip?,Seyahatime devam edebilir miyim?
continues,"devam ettirmek, sürmek, sürdürmek",fiil,B2,,We just hope it continues.,Sadece onun devam edeceğini umuyoruz.
convert,"dönüştürmek, arıtmak, evirmek",fiil,B2,,You must convert dollars into the local currency.,Doları yerel para birimine dönüştürmelisiniz.
convince,"ikna etmek, inandırmak, kandırmak",fiil,B2,,I can't convince Tom.,Tom'u ikna edemem.
cultivate,"ekip biçmek, yetiştirmek, gayret etmek",fiil,B2,,You should cultivate the habit of getting up early.,Erken kalkma alışkanlığını kazanmalısın.
decline,"zayıflamak, inişe geçmek, geri çevirmek",fiil,B2,"decrease, diminish, drop",I had to decline his offer.,Onun teklifini geri çevirmek zorunda kaldım.
decrease,"küçülmek, azaltmak, düşüş göstermek",fiil,B2,"diminish, decline",This medicine will decrease your pain.,Bu ilaç ağrını azaltacak.
delicate,"narin, hassas, kolay kırılabilen",fiil,B2,"fragile, sensitive, subtle",It's a delicate problem.,"O, hassas bir problem."
deserve,"hak etmek, layık olmak, hak kazanmak",fiil,B2,,I don't deserve it.,Ben onu hak etmiyorum.
desperate,"çaresiz, umutsuz, her şeyi göze alabilen",fiil,B2,,I'm not that desperate.,O kadar da çaresiz değilim.
determine,"azmetmek, kararlaştırmak, belirlemek",fiil,B2,,How did you determine that?,Onu nasıl kararlaştırdın?
develop,"geliştirmek, gelişmek, yıkamak",fiil,B2,,We must develop a plan.,Bir plan geliştirmeliyiz.
diagnose,"teşhis etmek, tanı koymak, teşhis koymak",fiil,B2,,Have you ever been diagnosed with HIV?,Hiç HIV tanısı aldınız mı?
disappear,"ortadan kaybolmak, yok olmak, gözden kaybolmak",fiil,B2,,I just want to disappear.,Ben sadece ortadan kaybolmak istiyorum.
discuss,"görüşmek, tartışmak, ele almak",fiil,B2,,I can't discuss it.,Bunu tartışamam.
dismantle,"sökmek, çıkarmak, parçalamak",fiil,B2,,The research committee agreed to dismantle the proposed methodology.,Araştırma komitesi önerilen metodolojiyi sökmek konusunda mutabık kaldı.
dismiss,"azletmek, kovmak, işten atmak",fiil,B2,,Don't dismiss any possibility.,Hiçbir ihtimali dışlama.
dissolve,"eritmek, çözmek, son vermek",fiil,B2,,Dissolve the tablet in a glass of water.,Tableti bir bardak su içinde erit.
eclipse,"tutulmak, tutulma, sönmek",fiil,B2,,Did you see the eclipse?,Tutulmayı gördün mü?
elevate,"aklı/ruhu geliştirmek, terfi ettirmek, yükseltmek",fiil,B2,,The research committee agreed to elevate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi aklı/ruhu geliştirmek konusunda mutabık kaldı.
eliminate,"elemek, ekarte etmek, ortadan kaldırmak",fiil,B2,,We can eliminate parking fees.,Park ücretlerini ortadan kaldırabiliriz
encourage,"cesaretlendirmek, yüreklendirmek, özendirmek",fiil,B2,"foster, stimulate, support, inspire",I encourage you to do so.,Ben sizi öyle yapmaya teşvik ediyorum.
enlarge,"genişlemek, boyutunu büyütmek, büyütmek",fiil,B2,,They're going to enlarge their store.,Onlar mağazalarını büyütecek.
entertain,"eğlendirmek, oyalamak, ağırlamak",fiil,B2,,Will you entertain the guests while I get dressed?,Ben giyinirken misafirleri eğlendirir misin?
eradicate,"kökünü kurutmak, kökünden söküp atmak, kökünden sökmek",fiil,B2,,The way to reduce crime is to eradicate poverty.,Suçu azaltmanın yolu yoksulluğu ortadan kaldırmaktır.
estimate,"kestirmek, tahmin etmek, tahmin",fiil,B2,,Can you estimate its value?,Onun değerini tahmin edebilir misin?
evaluate,"değerlendirmek, ölçmek, değerlendirmeye almak",fiil,B2,,It's difficult to evaluate his ability.,Onun yeteneğini değerlendirmek zordur.
examine,"muayene etmek, incelemek, yoklamak",fiil,B2,,I'll have to examine you.,Seni muayene etmem gerekecek.
execute,"infaz etmek, idam etmek, yapmak",fiil,B2,"apply, implement",We must execute his orders.,Onun emirlerini yerine getirmeliyiz.
exercise,"alıştırma yapmak, egzersiz yapmak, egzersiz",fiil,B2,,Do you like to exercise?,Egzersiz yapmak ister misin?
exhaust,"egzoz, paçavrasını çıkarmak, yormak",fiil,B2,tire,Exhaust from factories pollutes the air.,Fabrikalardan gelen gazlar havayı kirletir.
exhibit,"sergilemek, sergi, ortaya koymak",fiil,B2,,We'll see the exhibit tomorrow.,Sergiyi yarın göreceğiz.
expertise,"uzman görüşü sunmak, uzluk, ustalık",fiil,B2,,That's outside my area of expertise.,Bu benim uzmanlık alanımın dışında.
explain,"açıklamak, izah etmek, aydınlatmak",fiil,B2,,I can't explain it.,Onu açıklayamam.
explore,"keşfetmek, araştırmak, tetkik etmek",fiil,B2,,Let's explore the possibilities.,Olanakları inceleyelim.
express,"ifade etmek, açık, belli",fiil,B2,,How much is the express?,Ekspress ne kadar?
focalize,"küçük bir alana sınırlamak, odaklamak, odaklanmak",fiil,B2,,The research committee agreed to focalize the proposed methodology.,Araştırma komitesi önerilen metodolojiyi küçük bir alana sınırlamak konusunda mutabık kaldı.
foresee,"öngörmek, ileriyi görmek, foresaw - foreseen",fiil,B2,,Nobody can foresee what'll happen.,Kimse ne olacağını öngöremez.
forward,"ileri, ileriye doğru, yollamak",fiil,B2,,I look forward to it.,Onu dört gözle bekliyorum.
frustrate,"engellemek, yıldırmak, set çekmek",fiil,B2,,I know you're frustrated.,Sinirli olduğunu biliyorum.
generate,"meydana getirmek, oluşturmak, üretmek",fiil,B2,,We have to generate new revenue.,Yeni gelir üretmek zorundayız.
identify,"tanımlamak, tanımak, kimliğini saptamak",fiil,B2,,I can't identify it.,Teşhis edemiyorum.
immediate,"acil, hemen ardından gelen, hazır",fiil,B2,,Are you in immediate danger?,Sen yakın tehlike içinde misin?
impress,"iz bırakmak, hayran bırakmak, etkilemek",fiil,B2,,You don't impress me.,Beni etkilemiyorsun.
improve,"geliştirmek, gelişmek, ilerletmek",fiil,B2,enhance,I'm trying to improve.,Geliştirmeye çalışıyorum.
incline,"meyletmek, eğilmek, bayır",fiil,B2,,I'm inclined to agree.,Kabul etmeye eğilimliyim.
include,"katmak, içermek, kapsamak",fiil,B2,,Include me in your plans.,Planlarınıza beni ekleyin.
increase,"arttırmak, artmak, çoğalmak",fiil,B2,,It was a huge increase.,Büyük bir artış oldu.
indicate,"göstergesi olmak, belirtisi olmak, işaret etmek",fiil,B2,,A closed fist can indicate stress.,Kapalı bir yumruk stres gösterebilir.
inhabit,"oturmak, iskan etmek, ikamet etmek",fiil,B2,,What animals inhabit those islands?,Şu adalarda hangi hayvanlar yaşar?
initiate,"başlatmak, göstermek, üyeliğe kabul etmek",fiil,B2,,The research committee agreed to initiate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi başlatmak konusunda mutabık kaldı.
interrupt,"sekte vurmak, söze karışmak, kesmek",fiil,B2,,"Don't interrupt me, Tom.","Sözümü kesme, Tom."
intervene,"araya girmek, müdahale etmek, arada olmak",fiil,B2,,I don't want to intervene.,Müdahale etmek istemiyorum.
introduce,"tanıtmak, tanıştırmak, içeri sokmak",fiil,B2,,Let me introduce my wife.,Karımı tanıtmama izin ver.
maintain,"sürdürmek, bakım yapmak, bakmak",fiil,B2,,We need to maintain focus.,Bizim odakları korumamız gerekiyor.
medicate,"ilaçla tedavi etmek, ilaç vermek, içine ilaç katmak",fiil,B2,treat,The research committee agreed to medicate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi ilaçla tedavi etmek konusunda mutabık kaldı.
monetize,"para olarak tedavüle koymak, parayı yasal olarak kullanma yetkisi vermek, para basmak",fiil,B2,,The research committee agreed to monetize the proposed methodology.,Araştırma komitesi önerilen metodolojiyi para olarak tedavüle koymak konusunda mutabık kaldı.
navigate,"gemi ile geçmek, seyretmek, dümen tutmak",fiil,B2,"steer, pilot, maneuver",The research committee agreed to navigate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi gemi ile geçmek konusunda mutabık kaldı.
observe,"gözlemlemek, gözlem yapmak, gözetlemek",fiil,B2,,I'm just here to observe.,Ben sadece gözlemek için buradayım.
obstruct,"engellemek, menetmeye çalışmak, tıkanmak",fiil,B2,,A large pillar obstructs the view of the lake.,Büyük bir direk göl manzarasını engelliyor.
operate,"ameliyat etmek, çalıştırmak, işletmek",fiil,B2,,We have to operate immediately.,Derhal ameliyat etmek zorundayız.
perform,"rol yapmak, yapmak, yerine getirmek",fiil,B2,conduct,You must perform your duty.,Görevini yerine getirmelisin.
persuade,"ikna etmek, razı etmek, aklını çelmek",fiil,B2,,He tried to persuade her.,"O, onu ikna etmeye çalıştı."
postpone,"ertelemek, ötelemek, rafa koymak",fiil,B2,,Can we postpone the trip?,Seyahati erteleyebilir miyiz?
precise,"kesin, kesinlik, titizlikle yapılmış",fiil,B2,,My watch is very precise.,Saatim çok dakik.
predict,"öngörmek, önceden söylemek, tahmin etmek",fiil,B2,,I can predict the future.,Geleceği tahmin edebilirim.
prepare,"hazırlamak, düzmek, pişirmek",fiil,B2,,I need time to prepare.,Hazırlanmak için zamana ihtiyacım var.
present,"sunmak, takdim etmek, şimdiki zaman",fiil,B2,,I got you a present.,Sana bir hediye aldım.
preserve,"muhafaza etmek, korumak, zarardan korumak",fiil,B2,,Refrigerators help to preserve food.,Buzdolapları gıdanın korunmasına yardımcı olur.
prevent,"engellemek, önlemek, engel olmak",fiil,B2,,I can prevent all that.,Onun hepsini engelleyebilirim.
private,"er, mahrem, özel",fiil,B2,,It's a private joke.,Bu özel bir şaka.
proceed,"ilerlemek, devam etmek, çıkmak",fiil,B2,,I'm ready to proceed.,Devam etmeye hazırım.
produce,"üretmek, imal etmek, çıkarmak",fiil,B2,,These fields produce fine crops.,Bu tarlalar güzel ekinler üretir.
prohibit,"önlemek, önüne geçmek, yasak etmek",fiil,B2,,The law prohibits minors from smoking.,"Kanun, yaşı küçük olanların sigara içmesini yasaklıyor."
promise,"söz vermek, söz, vadetmek",fiil,B2,,I promise I'll try.,Deneyeceğime söz veriyorum.
promote,"tanıtımını yapmak, desteklemek, terfi ettirmek",fiil,B2,foster,His job is to promote sales.,Onun işi satışları yükseltmektir.
protect,"korumak, himaye etmek, muhafaza etmek",fiil,B2,,I can't protect Tom.,Tom'u koruyamam.
protest,"protesto, karşı çıkmak, itiraz etmek",fiil,B2,,Aren't you going to protest?,Protesto etmeyecek misin?
provide,"sağlamak, temin etmek, donatmak",fiil,B2,,Cows provide us with milk.,İnekler bize süt sağlar.
recognize,"tanımak, haklı bulmak, bilmek",fiil,B2,,I don't recognize it.,Onu tanımıyorum.
recommend,"tavsiye etmek, salık vermek, önermek",fiil,B2,,I don't recommend it.,Onu tavsiye etmiyorum.
refrain,"kendini tutmak, çekinmek, geri durmak",fiil,B2,,You should refrain from smoking.,Sigara içmekten çekinmelisin.
relying,"istinat, istinaden, güvenerek",fiil,B2,,Everybody is relying on you.,Herkes size güveniyor.
remained,"kaldı, geriye kalan",fiil,B2,,He remained a poor man.,"O, fakir bir adam kaldı."
represent,"temsil etmek, yansıtmak, anlatmak",fiil,B2,"symbolize, stand for, signify, depict",What company do you represent?,Hangi şirketi temsil ediyorsun?
require,"gerekmek, ihtiyacı olmak, gerek duymak",fiil,B2,,Do you require our help?,Yardımımıza ihtiyacın var mı?
resemble,"benzemek, andırmak, kan çekmek",fiil,B2,,I think you resemble your mother.,Sanırım annene benziyorsun.
resolve,"kesin karar vermek, azmetmek, ahdetmek",fiil,B2,,It is impossible to resolve the conflict.,Bu çatışmayı çözmek imkansız.
restrict,"sınırlamak, kısıtlamak, hasretmek",fiil,B2,,He feels this new law will restrict his freedom.,"Bu yeni kanunun, özgürlüğünü kısıtlayacağını hissediyor."
reverse,"ters, yerlerini değiştirmek, tersine döndürmek",fiil,B2,,Can you do it in reverse?,Bunu tersten yapabilir misin?
revolve,"dönmek, devir yapmak, yuvarlanmak",fiil,B2,,The planets revolve around the sun.,Gezegenler güneşin etrafında döner.
roommate,oda arkadaşı,fiil,B2,,I'm Tom's roommate.,Ben Tom'un oda arkadaşıyım.
satisfy,"tatmin etmek, doyurmak, yerine getirmek",fiil,B2,,We can't satisfy everyone.,Biz herkesi tatmin edemeyiz.
sometimes,"bazen, ara sıra, arada",fiil,B2,,I admit I sometimes cry.,İtiraf ediyorum ki bazen ağlarım.
stimulate,"uyarmak, dürtmek, kamçılamak",fiil,B2,"foster, encourage, motivate, spur",Spending money stimulates the economy.,Harcanan para ekonomiyi canlandırıyor.
stretch,"uzatmak, gerinmek, germek",fiil,B2,,Let's stretch our legs.,Bacaklarımızı gerelim.
subside,"çökelmek, çökmek, geçmek",fiil,B2,,The flood began to subside.,Sel alçalmaya başladı.
suggest,"önermek, meydana atmak, tavsiye etmek",fiil,B2,,I suggest we go home.,Eve gitmemizi öneriyorum.
support,"desteklemek, destek, yardım etmek",fiil,B2,encourage,I won't support that.,Onu desteklemeyeceğim.
surprise,"şaşırtmak, şaşkınlık, sürpriz",fiil,B2,,It wasn't a surprise.,O bir sürpriz değildi.
suspend,"askıya almak, uzaklaştırma vermek, sallantıda bırakmak",fiil,B2,,I got suspended for a month.,Bir ay uzaklaştırma aldım.
sustain,"güç vermek, ayakta tutmak, uğramak",fiil,B2,,We know we can't sustain that.,Onu devam ettiremeyeceğimizi biliyoruz.
symbolize,"sembolü olmak, simgelemek, simgesi olmak",fiil,B2,"represent, stand for, embody, signify",An olive branch symbolizes peace.,Bir zeytin dalı barışı sembolize eder.
tomorrow,"yarın, gelecekte",fiil,B2,,I can't go tomorrow.,Yarın gidemem.
transform,"dönüşmek, dönüştürmek, çevirmek",fiil,B2,,Repetition does not transform a lie into a truth.,Tekrarlama bir yalanı gerçeğe dönüştürmez.
transmit,"iletmek, ulaştırmak, yayınlamak",fiil,B2,,We have to transmit our culture to the next generation.,Biz gelecek nesillere kültürümüzü aktarmak zorundayız.
ultimate,"nihai, son, sonuç",fiil,B2,,It's the ultimate test.,Bu nihai test.
unchange,"eski haline getirmek, önceki haline getirmek, değişmemek",fiil,B2,,The research committee agreed to unchange the proposed methodology.,Araştırma komitesi önerilen metodolojiyi eski haline getirmek konusunda mutabık kaldı.
unfreeze,"unfroze - unfrozen, serbest bırakmak, buzunu çözmek",fiil,B2,,The research committee agreed to unfreeze the proposed methodology.,Araştırma komitesi önerilen metodolojiyi unfroze - unfrozen konusunda mutabık kaldı.
utilize,"faydalı hale getirmek, yararlanmak, yarar sağlamak",fiil,B2,,We had better utilize our natural resources.,Doğal kaynaklarımızdan faydalansak iyi olur.
yesterday,dün,fiil,B2,,I got my pay yesterday.,Dün ödememi aldım.
